"almondnuts","brazil_nuts","celery","code","eggs","gluten","hazelnut","ingredients","lupin","macadamia_nuts","milk","mustard","new_lang","nuts","peanut","sesame","source","soy"
"0","0","0","42256199","0","0","0","Duits: Orangenschale gefriergetrocknet; gerieben 97%; Orangenöl 3% Sporen: Mosterd; Noten; Soja","0","0","0","0","german: orange peel freezer; grated 97%; orange oil 3% trace: mustard; nuts; soy bean","1","0","0","alnatura","1"
"0","0","0","42256199","0","0","0","Duits: Orangenschale gefriergetrocknet; gerieben 97%; Orangenöl 3% Sporen: Mosterd; Noten; Soja","0","0","0","1","german: orange peel freezer; grated 97%; orange oil 3% trace: mustard; nuts; soy bean","1","0","0","open_food_facts","1"
"0","0","0","42256199","0","0","0","97% sinaasappelschillen (gevriesdroogd; geraspt)|3% sinaasappel olie","0","0","0","0","97% sinaasappelschillen (gevriesdroogd; geraspt)|3% sinaasappel olie","1","0","0","piccantino","1"
"0","0","0","4104420073722","0","0","0","Duits: Frische Vollmilch Allergenen: Melk","0","0","2","0","german: freshness full milk allergen: milk","0","0","0","alnatura","0"
"0","0","0","4104420073722","0","0","0","Zutaten / Inhaltsstoffe: Frische Vollmilch*. * aus ökologischer Landwirtschaft ** aus biologisch-dynamischer Landwirtschaft",,"0","2","0","ingredients / Inhaltsstoffe: freshness full milk*. * out of ecological agriculture ** out of biologisch-dynamischer agriculture","0","0",,"dasistdrin","0"
"0","0","0","4104420073722","0","0","0","Duits: Frische Vollmilch Allergenen: Melk","0","0","2","0","german: freshness full milk allergen: milk","0","0","0","open_food_facts","0"
"0","0","0","4104420045828","0","0","0","Duits: Hagebutten* 55%; Rohrohrzucker*; Zitronensaftkonzentrat*; Geliermittel: Pektin.","0","0","0","0","german: rose hips* 55%; pipe sugar*; lemon juice concentrate*; gelling agent: pectin.","0","0","0","alnatura","0"
"0","0","0","4104420045828","0","0","0","Zutaten / Inhaltsstoffe: Hagebutten* (55%); Rohrohrzucker*; Zitronensaft*; Geliermittel: Apfelpektin. * aus ökologischer Landwirtschaft ** aus biologisch-dynamischer Landwirtschaft",,"0","0","0","ingredients / Inhaltsstoffe: rose hips* (55%); pipe sugar*; lemon juice*; gelling agent: apple pectin. * out of ecological agriculture ** out of biologisch-dynamischer agriculture","0","0",,"dasistdrin","0"
"0","0","0","4104420045828","0","0","0","Hagebutten* 55%; Rübenzucker*; Zitronensaftkonzentrat*; Geliermittel: Pektin *aus biologischer Landwirtschaft.","0","0","0","0","rose hips* 55%; beet sugar*; lemon juice concentrate*; gelling agent: pectin *out of biological agriculture.","0","0","0","migipedia","0"
"0","0","0","4104420045828","0","0","0","Duits: Hagebutten* 55%; Rohrohrzucker*; Zitronensaftkonzentrat*; Geliermittel: Pektin.","0","0","0","0","german: rose hips* 55%; pipe sugar*; lemon juice concentrate*; gelling agent: pectin.","0","0","0","open_food_facts","0"
"0","0","0","4104420038660","0","0","0","Zutaten / Inhaltsstoffe: Espresso*. * aus ökologischer Landwirtschaft ** aus biologisch-dynamischer Landwirtschaft",,"0","0","0","ingredients / Inhaltsstoffe: Espresso*. * out of ecological agriculture ** out of biologisch-dynamischer agriculture","0","0",,"dasistdrin","0"
"0","0","0","4104420022287","0","2","0","Duits: Gerste Allergenen: Gluten Sporen: Sesamzaad; Soja","0","0","0","0","german: barley allergen: gluten trace: sesame seed; soy bean","0","0","1","alnatura","1"
"0","0","0","4104420022287","0","2","0","Duits: Gerste Allergenen: Gluten Sporen: Sesamzaad; Soja","0","0","0","0","german: barley allergen: gluten trace: sesame seed; soy bean","0","0","1","open_food_facts","1"
"0","0","0","42256205","0","0","0","Duits: Zitronenschale gefriergetrocknet; gerieben 97%; Zitronenöl 3%","0","0","0","0","german: lemon peel freezer; grated 97%; lemon oil 3%","0","0","0","alnatura","0"
