"celery","code","eggs","gluten","ingredients","lupin","milk","mustard","new_lang","nuts","peanut","sesame","source","soy","gluten_gs","eggs_gs","nuts_gs","milk_gs","peanut_gs","soy_gs","nuts_orig","milk_orig","gluten_orig","soy_orig","peanut_orig","eggs_orig"
0.0,4104420006065,0,2,"Duits: Hartweizengrieß; Tomatenpulver 1%; Spinatpulver 1%. Allergenen: Gluten Sporen: Eieren; Soja",0.0,0,0.0,"german: durum wheat; tomato 1%; spinach powder 1%. allergen: gluten trace: eggs; soy bean",0,0,0.0,"alnatura",1,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0
0.0,4104420006065,0,2,"Duits: Hartweizengrieß; Tomatenpulver 1%; Spinatpulver 1%. Allergenen: Gluten Sporen: Eieren; Soja",0.0,0,0.0,"german: durum wheat; tomato 1%; spinach powder 1%. allergen: gluten trace: eggs; soy bean",0,0,0.0,"open_food_facts",1,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0
0.0,4104420007963,0,1,"Frans: Chocolat au lait* 38 % (sucre de canne brut*; beurre de cacao*; poudre de lait entier*; pâte de cacao*); noix de cajou*; grillées 35 %; praliné 24 % (sucre de canne brut*; noisettes* 38 %; pâte de cacao*; beurre de cacao*); sucre de canne brut* Allergenen: Melk; Noten",0.0,2,0.0,"frans: chocolat of lait* 38 % (sugar of cane brut*; butter of cacao*; powder of lait entire*; dough of cacao*); nut of cashew*; grilled 35 %; praline 24 % (sugar of cane brut*; hazelnut* 38 %; dough of cacao*; butter of cacao*); sugar of cane brut* allergen: milk; nuts",2,0,0.0,"alnatura",0,1.0,0.0,2.0,2.0,0.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0
0.0,4104420007963,0,1,"Zutaten / Inhaltsstoffe: Vollmilchschokolade* 39% (Rohrohrzucker*; Kakaobutter*; Vollmilchpulver*; Kakaomasse*); Nougat* 26% (Rohrohrzucker*; Haselnüsse* 22%; Kakaomasse*; Kakobutter*) geröstete Cashewkerne* 19%; geröstete Macadamianüsse* 13%; Rohrohrzucker*. *aus ökologischer Landwirtschaft. Kann Spuren von erdnüssen und Gluten enthalten.","",2,0.0,"ingredients / Inhaltsstoffe: whole milk chocolate* 39% (pipe sugar*; cocoa butter*; milk powder*; cocoa*); nougat* 26% (pipe sugar*; hazelnuts* 22%; cocoa*; Kakobutter*) geröstete cashew seeds* 19%; geröstete macadamia nuts* 13%; pipe sugar*. *out of ecological agriculture. can traces von peanut and gluten contain.",2,1,"","dasistdrin",1,1.0,0.0,2.0,2.0,0.0,1.0,2.0,2.0,1.0,0.0,1.0,0.0
0.0,4104420007963,0,1,"Frans: Chocolat au lait* 38 % (sucre de canne brut*; beurre de cacao*; poudre de lait entier*; pâte de cacao*); noix de cajou*; grillées 35 %; praliné 24 % (sucre de canne brut*; noisettes* 38 %; pâte de cacao*; beurre de cacao*); sucre de canne brut* Allergenen: Melk; Noten",0.0,2,0.0,"frans: chocolat of lait* 38 % (sugar of cane brut*; butter of cacao*; powder of lait entire*; dough of cacao*); nut of cashew*; grilled 35 %; praline 24 % (sugar of cane brut*; hazelnut* 38 %; dough of cacao*; butter of cacao*); sugar of cane brut* allergen: milk; nuts",2,0,0.0,"open_food_facts",0,1.0,0.0,2.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0
0.0,4104420007987,2,2,"Duits: Rohrohrzucker; Zartbitterschokolade 20% (Kakaomasse; Rohrohrzucker; Kakaobutter);Hühnereiweiß; Weizenvollkornmehl; Marzipan (Mandeln 65%; Rohrohrzucker; Wasser; Invertzuckersirup); Roggenvollkornmehl; Vollei; Honig; Mandeln 5%; Orangenschalen kandiert (Glukose-Fruktose-Sirup; Orangenschalen; Zitronensaft); Backoblaten (Weizenmehl; Kartoffelstärke); Zuckerrübensirup; Agavendicksaft; Haselnüsse; Apfelfaser; Süßlupinenmehl; Lebkuchengewürze; Verdickungsmittel: Guarkernmehl; Meersalz Allergenen: Eieren; Gluten; Lupine; Noten Sporen: Melk; Noten; Soja",2.0,1,0.0,"german: pipe sugar; daring chocolate 20% (cocoa; pipe sugar; cocoa butter);chicken; full grain flour; marzipan (almond 65%; pipe sugar; water; invert sugar syrup); ryean and; volleyy; honig; almond 5%; oranga candied (Glukose-Fruktose-Sirup; oranga; lemon juice); baking (wheat flour; potato strength); sugar beet syrup; agave syrup; hazelnuts; apfelfaser; sweet lupine flour; gingerbread spices; thickener: guar gum; sea-salt allergen: eggs; gluten; lupine; nuts trace: milk; nuts; soy bean",2,0,0.0,"alnatura",1,2.0,2.0,2.0,1.0,0.0,1.0,2.0,1.0,2.0,1.0,0.0,2.0
0.0,4104420007987,2,2,"Duits: Rohrohrzucker; Zartbitterschokolade 20% (Kakaomasse; Rohrohrzucker; Kakaobutter);Hühnereiweiß; Weizenvollkornmehl; Marzipan (Mandeln 65%; Rohrohrzucker; Wasser; Invertzuckersirup); Roggenvollkornmehl; Vollei; Honig; Mandeln 5%; Orangenschalen kandiert (Glukose-Fruktose-Sirup; Orangenschalen; Zitronensaft); Backoblaten (Weizenmehl; Kartoffelstärke); Zuckerrübensirup; Agavendicksaft; Haselnüsse; Apfelfaser; Süßlupinenmehl; Lebkuchengewürze; Verdickungsmittel: Guarkernmehl; Meersalz Allergenen: Eieren; Gluten; Lupine; Noten Sporen: Melk; Noten; Soja",2.0,1,0.0,"german: pipe sugar; daring chocolate 20% (cocoa; pipe sugar; cocoa butter);chicken; full grain flour; marzipan (almond 65%; pipe sugar; water; invert sugar syrup); ryean and; volleyy; honig; almond 5%; oranga candied (Glukose-Fruktose-Sirup; oranga; lemon juice); baking (wheat flour; potato strength); sugar beet syrup; agave syrup; hazelnuts; apfelfaser; sweet lupine flour; gingerbread spices; thickener: guar gum; sea-salt allergen: eggs; gluten; lupine; nuts trace: milk; nuts; soy bean",2,0,0.0,"open_food_facts",1,2.0,2.0,2.0,1.0,0.0,1.0,2.0,1.0,2.0,1.0,0.0,2.0
0.0,4104420010628,0,2,"Duits: Gelbe Linsen; Sonnenblumenöl Sporen: Gluten; Noten; Pinda; Sesamzaad",0.0,0,0.0,"german: yellow lenses; sunflower oil trace: gluten; nuts; peanut; sesame seed",2,2,2.0,"alnatura",0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0
0.0,4104420010628,0,1,"Zutaten / Inhaltsstoffe: Gelbe Linsen*; Sonnenblumenöl*. Kann Spuren von erdnüssen; anderen Nüssen; Sesam und Gluten enthalten. * aus ökologischer Landwirtschaft ** aus biologisch-dynamischer Landwirtschaft","",0,0.0,"ingredients / Inhaltsstoffe: yellow lenses*; sunflower oil*. can traces von peanut; others nuts; sesame and gluten contain. * out of ecological agriculture ** out of biologisch-dynamischer agriculture",2,1,"","dasistdrin",0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0.0,4104420010628,0,2,"Duits: Gelbe Linsen; Sonnenblumenöl Sporen: Gluten; Noten; Pinda; Sesamzaad",0.0,0,0.0,"german: yellow lenses; sunflower oil trace: gluten; nuts; peanut; sesame seed",2,2,0.0,"open_food_facts",0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
