"eudract_number","double_blind","single_blind","open","randomised","crossover","parallel_group","controlled","arms"
"2004-000232-91","No","No","Yes","Yes","No","Yes","Yes","2+"
"2004-000232-91","No","No","Yes","Yes","No","Yes","Yes","2+"
"2004-000232-91","No","No","Yes","Yes","No","Yes","Yes","2+"
"2004-001307-35","No","No","Yes","Yes","No","Yes","Yes","2+"
"2004-002203-32","No","No","Yes","Yes","No","No","Yes","2+"
"2004-002203-32","No","No","Yes","Yes","No","No","Yes","2+"
"2004-002203-32","No","No","Yes","Yes","No","No","Yes","2+"
"2004-002203-32","No","No","Yes","Yes","No","No","Yes","2+"
"2004-002203-32","No","No","Yes","Yes","No","No","Yes","2+"
"2004-002203-32","No","No","Yes","Yes","No","No","Yes","2+"
"2005-000454-73","Yes","No","No","Yes","Yes","No","Yes","2+"
"2005-000454-73","Yes","No","No","Yes","Yes","No","Yes","2+"
"2005-000454-73","Yes","No","No","Yes","Yes","No","Yes","2+"
"2005-000454-73","Yes","No","No","Yes","Yes","No","Yes","2+"
"2005-000454-73","Yes","No","No","Yes","Yes","No","Yes","2+"
"2005-000454-73","Yes","No","No","Yes","Yes","No","Yes","2+"
"2005-001678-28","Yes","No","No","Yes","No","Yes","Yes","2+"
"2005-001747-29","Yes","No","No","Yes","No","Yes","Yes","2+"
"2005-001747-29","Yes","No","No","Yes","No","Yes","Yes","2+"
"2005-001747-29","Yes","No","No","Yes","No","Yes","Yes","2+"
"2005-001747-29","Yes","No","No","Yes","No","Yes","Yes","2+"
"2005-001747-29","Yes","No","No","Yes","No","Yes","Yes","2+"
"2005-001747-29","Yes","No","No","Yes","No","Yes","Yes","2+"
"2005-001747-29","Yes","No","No","Yes","No","Yes","Yes","2+"
"2005-001747-29","Yes","No","No","Yes","No","Yes","Yes","2+"
"2005-001747-29","Yes","No","No","Yes","No","Yes","Yes","2+"
"2005-001747-29","Yes","No","No","Yes","No","Yes","Yes","2+"
"2005-002524-34","No","No","Yes","No","No","No","No","1"
"2005-002524-34","No","No","Yes","No","No","No","No","1"
"2005-002524-34","No","No","Yes","No","No","No","No","1"
"2005-002524-34","No","No","Yes","No","No","No","No","1"
"2005-002524-34","No","No","Yes","No","No","No","No","1"
"2005-002524-34","No","No","Yes","No","No","No","No","1"
"2005-002524-34","No","No","Yes","No","No","No","No","1"
"2005-002618-40","No","No","Yes","No","Yes","No","No","2+"
"2005-002796-32","Yes","No","No","Yes","No","Yes","Yes","2+"
"2005-003440-66","Yes","No","No","Yes","No","Yes","Yes","2+"
"2005-003440-66","Yes","No","No","Yes","No","Yes","Yes","2+"
"2005-003440-66","Yes","No","No","Yes","No","Yes","Yes","2+"
"2005-003440-66","Yes","No","No","Yes","No","Yes","Yes","2+"
"2005-003440-66","Yes","No","No","Yes","No","Yes","Yes","2+"
"2005-003440-66","Yes","No","No","Yes","No","Yes","Yes","2+"
"2005-003440-66","Yes","No","No","Yes","No","Yes","Yes","2+"
"2005-003440-66","Yes","No","No","Yes","No","Yes","Yes","2+"
"2005-003440-66","Yes","No","No","Yes","No","Yes","Yes","2+"
"2005-003440-66","Yes","No","No","Yes","No","Yes","Yes","2+"
"2005-003440-66","Yes","No","No","Yes","No","Yes","Yes","2+"
"2005-003484-23","No","No","Yes","Yes","No","Yes","Yes","2+"
"2005-003593-16","Yes","No","No","Yes","No","Yes","Yes","1"
"2005-003593-16","Yes","No","No","Yes","No","Yes","Yes","1"
"2005-003593-16","Yes","No","No","Yes","No","Yes","Yes","1"
"2005-004094-25","No","No","Yes","Yes","No","Yes","Yes","2+"
"2005-004094-25","No","No","Yes","Yes","No","Yes","Yes","2+"
"2005-004094-25","No","No","Yes","Yes","No","Yes","Yes","2+"
"2005-004094-25","No","No","Yes","Yes","No","Yes","Yes","2+"
"2005-004094-25","No","No","Yes","Yes","No","Yes","Yes","2+"
"2005-004094-25","No","No","Yes","Yes","No","Yes","Yes","2+"
"2005-004094-25","No","No","Yes","Yes","No","Yes","Yes","2+"
"2005-004094-25","No","No","Yes","Yes","No","Yes","Yes","2+"
"2005-004094-25","No","No","Yes","Yes","No","Yes","Yes","2+"
"2005-004094-25","No","No","Yes","Yes","No","Yes","Yes","2+"
"2005-004094-25","No","No","Yes","Yes","No","Yes","Yes","2+"
"2005-004094-25","No","No","Yes","Yes","No","Yes","Yes","2+"
"2005-004094-25","No","No","Yes","Yes","No","Yes","Yes","2+"
