"eudract_number","title","protocol_country_code","double_blind","single_blind","open","design","randomised","crossover","parallel_group","controlled","arms","active_comparator","placebo","open_gs","single_blind_gs","double_blind_gs","randomised_gs","crossover_gs","parallel_group_gs","arms_gs","controlled_gs","arms_probab0","arms_probab1","arms_probab2","arms_orig","open_probab0","open_probab1","open_orig","double_blind_probab0","double_blind_probab1","double_blind_orig","single_blind_probab0","single_blind_probab1","single_blind_orig","controlled_probab0","controlled_probab1","controlled_orig","parallel_group_probab0","parallel_group_probab1","parallel_group_orig","crossover_probab0","crossover_probab1","crossover_orig","randomised_probab0","randomised_probab1","randomised_orig"
"2004-000232-91","GvHD prophylaxis with ATG-Fresenius S in allogenic Stem Cell Transplantation from matched unrelated donors: A randomised phase III multicenter trial comparing a standard GvHD prophylaxies with cyclosporine A and Methotrexate with additional pretransplant ATG-Fresenius S","ES","No","No","Yes","ok","Yes","Yes","Yes","Yes","2+","","","Yes","No","No","Yes","No","Yes","2+","Yes",0.0002359185832441256,0.19932439591483353,0.8004396855019225,"-1",0.06210973944459586,0.9378902605554041,"Yes",0.9577053335405169,0.042294666459483106,"No",0.7615143287448425,0.23848567125515752,"No",0.04035273710079845,0.9596472628992015,"Yes",0.41594573705739646,0.5840542629426035,"",0.10466221367493711,0.8953377863250629,"",0.11714146644602952,0.8828585335539705,"Yes"
"2004-000232-91","EICH Profilaxis con ATeGe-FRESENIUS en trasplante alogénico de progenitores hematopoyéticos procedente de donantes no emparentados","FI","No","Yes","Yes","","No","Yes","No","No","1","","","Yes","No","No","Yes","No","Yes","2+","Yes",0.005696574344797934,0.7730905010826994,0.2212129245725026,"-1",0.4033942406362446,0.5966057593637554,"Information not present in EudraCT",0.7066893924175426,0.29331060758245747,"Information not present in EudraCT",0.04814424024154085,0.9518557597584592,"Information not present in EudraCT",0.6867886160109877,0.31321138398901227,"Yes",0.7038869158192396,0.29611308418076043,"",0.18792695786074032,0.8120730421392597,"",0.7737548541353122,0.2262451458646878,"Yes"
"2004-000232-91","GvHD prophylaxis with ATG-Fresenius S in allogenic Stem Cell Transplantation from matched unrelated donors: A randomised phase III multicenter trial comparing a standard GvHD prophylaxies with cyclosporine A and Methotrexate with additional pretransplant ATG-Fresenius S","IT","No","No","Yes","ok","Yes","Yes","Yes","Yes","2+","","","Yes","No","No","Yes","No","Yes","2+","Yes",0.0002359185832441256,0.19932439591483353,0.8004396855019225,"-1",0.06210973944459586,0.9378902605554041,"Yes",0.9577053335405169,0.042294666459483106,"No",0.7615143287448425,0.23848567125515752,"No",0.04035273710079845,0.9596472628992015,"Yes",0.41594573705739646,0.5840542629426035,"",0.10466221367493711,0.8953377863250629,"",0.11714146644602952,0.8828585335539705,"Yes"
"2004-001307-35","A prospective open label randomised parallel group comparative pilot study to study the efficacy and safety of highly purified Menotrophin versus recombinant FSH (Follitropin alfa) administered subcutaneously to subfertile female patients undergoing IVF using antagonist downregulation.","GB","No","No","Yes","ok","No","No","Yes","Yes","1","Yes","No","Yes","No","No","Yes","No","Yes","2+","Yes",0.00016607275448777753,0.6327731077280706,0.3670608195174416,"-1",0.0035211451321414122,0.9964788548678586,"Yes",0.9992388651789403,0.0007611348210596453,"No",0.8329573321863674,0.16704266781363267,"No",0.11124436625430989,0.8887556337456901,"Yes",0.20236313126426975,0.7976368687357303,"No",0.9991248943978059,0.000875105602194053,"No",0.5051447595138787,0.4948552404861213,"Yes"
"2004-002203-32","A Multicenter Open-Label Randomized Phase III Trial Comparing Immediate Adjuvant Hormonal Therapy (ELIGARD®- leuprolide acetate) in Combination with TAXOTERE® (docetaxel) Administered Every Three Weeks Versus Hormonal Therapy Alone Versus Deferred Therapy Followed by the Same Therapeutic Options in Patients with Prostate Cancer at High Risk of Relapse After Radical Prostatectomy","GB","No","No","Yes","ok","Yes","No","No","Yes","2+","Yes","No","Yes","No","No","Yes","No","No","2+","Yes",2.128512437744764e-06,0.0037474667612694187,0.9962504047262928,"-1",0.00012163801286935172,0.9998783619871306,"Yes",0.9997347080893962,0.0002652919106037737,"No",0.999764285054899,0.00023571494510098007,"No",0.2328780466009649,0.7671219533990351,"Yes",0.6977462281745276,0.3022537718254724,"No",0.9997186728007227,0.0002813271992773356,"No",0.002041411963100259,0.9979585880368997,"Yes"
"2004-002203-32","A Multicenter Open-Label Randomized Phase III Trial Comparing Immediate Adjuvant Hormonal Therapy (ELIGARD®- leuprolide acetate) in Combination with TAXOTERE® (docetaxel) Administered Every Three Weeks Versus Hormonal Therapy Alone Versus Deferred Therapy Followed by the Same Therapeutic Options in Patients with Prostate Cancer at High Risk of Relapse After Radical Prostatectomy","HU","No","No","Yes","ok","Yes","No","No","Yes","2+","Yes","No","Yes","No","No","Yes","No","No","2+","Yes",2.128512437744764e-06,0.0037474667612694187,0.9962504047262928,"-1",0.00012163801286935172,0.9998783619871306,"Yes",0.9997347080893962,0.0002652919106037737,"No",0.999764285054899,0.00023571494510098007,"No",0.2328780466009649,0.7671219533990351,"Yes",0.6977462281745276,0.3022537718254724,"No",0.9997186728007227,0.0002813271992773356,"No",0.002041411963100259,0.9979585880368997,"Yes"
"2004-002203-32","A Multicenter Open-Label Randomized Phase III Trial Comparing Immediate Adjuvant Hormonal Therapy (ELIGARD®- leuprolide acetate) in Combination with TAXOTERE® (docetaxel) Administered Every Three Weeks Versus Hormonal Therapy Alone Versus Deferred Therapy Followed by the Same Therapeutic Options in Patients with Prostate Cancer at High Risk of Relapse After Radical Prostatectomy","DE","No","No","Yes","ok","Yes","No","No","Yes","2+","Yes","No","Yes","No","No","Yes","No","No","2+","Yes",2.128512437744764e-06,0.0037474667612694187,0.9962504047262928,"-1",0.00012163801286935172,0.9998783619871306,"Yes",0.9997347080893962,0.0002652919106037737,"No",0.999764285054899,0.00023571494510098007,"No",0.2328780466009649,0.7671219533990351,"Yes",0.6977462281745276,0.3022537718254724,"No",0.9997186728007227,0.0002813271992773356,"No",0.002041411963100259,0.9979585880368997,"Yes"
"2004-002203-32","A Multicenter Open-Label Randomized Phase III Trial Comparing Immediate Adjuvant Hormonal Therapy (ELIGARD®- leuprolide acetate) in Combination with TAXOTERE® (docetaxel) Administered Every Three Weeks Versus Hormonal Therapy Alone Versus Deferred Therapy Followed by the Same Therapeutic Options in Patients with Prostate Cancer at High Risk of Relapse After Radical Prostatectomy","IT","No","No","Yes","ok","Yes","No","No","Yes","2+","Yes","No","Yes","No","No","Yes","No","No","2+","Yes",2.128512437744764e-06,0.0037474667612694187,0.9962504047262928,"-1",0.00012163801286935172,0.9998783619871306,"Yes",0.9997347080893962,0.0002652919106037737,"No",0.999764285054899,0.00023571494510098007,"No",0.2328780466009649,0.7671219533990351,"Yes",0.6977462281745276,0.3022537718254724,"No",0.9997186728007227,0.0002813271992773356,"No",0.002041411963100259,0.9979585880368997,"Yes"
"2004-002203-32","A Multicenter Open-Label Randomized Phase III Trial Comparing Immediate Adjuvant Hormonal Therapy (ELIGARD®- leuprolide acetate) in Combination with TAXOTERE® (docetaxel) Administered Every Three Weeks Versus Hormonal Therapy Alone Versus Deferred Therapy Followed by the Same Therapeutic Options in Patients with Prostate Cancer at High Risk of Relapse After Radical Prostatectomy","BE","No","No","Yes","ok","Yes","No","No","Yes","2+","Yes","No","Yes","No","No","Yes","No","No","2+","Yes",2.128512437744764e-06,0.0037474667612694187,0.9962504047262928,"-1",0.00012163801286935172,0.9998783619871306,"Yes",0.9997347080893962,0.0002652919106037737,"No",0.999764285054899,0.00023571494510098007,"No",0.2328780466009649,0.7671219533990351,"Yes",0.6977462281745276,0.3022537718254724,"No",0.9997186728007227,0.0002813271992773356,"No",0.002041411963100259,0.9979585880368997,"Yes"
"2004-002203-32","A Multicenter Open-Label Randomized Phase III Trial Comparing Immediate Adjuvant Hormonal Therapy (ELIGARD®- leuprolide acetate) in Combination with TAXOTERE® (docetaxel) Administered Every Three Weeks Versus Hormonal Therapy Alone Versus Deferred Therapy Followed by the Same Therapeutic Options in Patients with Prostate Cancer at High Risk of Relapse After Radical Prostatectomy","AT","No","No","Yes","ok","Yes","No","No","Yes","2+","Yes","No","Yes","No","No","Yes","No","No","2+","Yes",2.128512437744764e-06,0.0037474667612694187,0.9962504047262928,"-1",0.00012163801286935172,0.9998783619871306,"Yes",0.9997347080893962,0.0002652919106037737,"No",0.999764285054899,0.00023571494510098007,"No",0.2328780466009649,0.7671219533990351,"Yes",0.6977462281745276,0.3022537718254724,"No",0.9997186728007227,0.0002813271992773356,"No",0.002041411963100259,0.9979585880368997,"Yes"
