"eudract_number","title","protocol_country_code","double_blind","single_blind","open","design","randomised","crossover","parallel_group","controlled","arms","active_comparator","placebo","open_gs","single_blind_gs","double_blind_gs","randomised_gs","crossover_gs","parallel_group_gs","arms_gs","controlled_gs","arms_probab0","arms_probab1","arms_probab2","arms_orig","open_probab0","open_probab1","open_orig","double_blind_probab0","double_blind_probab1","double_blind_orig","single_blind_probab0","single_blind_probab1","single_blind_orig","controlled_probab0","controlled_probab1","controlled_orig","parallel_group_probab0","parallel_group_probab1","parallel_group_orig","crossover_probab0","crossover_probab1","crossover_orig","randomised_probab0","randomised_probab1","randomised_orig"
"2004-000232-91","GvHD prophylaxis with ATG-Fresenius S in allogenic Stem Cell Transplantation from matched unrelated donors: A randomised phase III multicenter trial comparing a standard GvHD prophylaxies with cyclosporine A and Methotrexate with additional pretransplant ATG-Fresenius S","ES","No","No","Yes","ok","Yes","No","No","Yes","2+","","","Yes","No","No","Yes","No","Yes","2+","Yes",3.6649309705233127e-44,1.1757839445222206e-05,0.9999882421605573,"-1",9.304179240456753e-12,0.9999999999907062,"Yes",0.9999999999945146,5.495858241277321e-12,"No",0.9999999999999432,6.066004275741559e-14,"No",1.0258231382845644e-12,0.9999999999989768,"Yes",0.9667726341538881,0.03322736584610897,"",0.9999642870769161,3.571292306998046e-05,"",0.26585157383062824,0.7341484261693714,"Yes"
"2004-000232-91","EICH Profilaxis con ATeGe-FRESENIUS en trasplante alogénico de progenitores hematopoyéticos procedente de donantes no emparentados","FI","No","No","Yes","","No","No","No","No","1","","","Yes","No","No","Yes","No","Yes","2+","Yes",9.104918645280841e-07,0.9990566493475787,0.0009424401605629412,"-1",2.7333266163174374e-07,0.9999997266673352,"Information not present in EudraCT",0.9999998661308586,1.338691476807274e-07,"Information not present in EudraCT",0.9998813733966782,0.00011862660331678765,"Information not present in EudraCT",0.9084530247371702,0.091546975262835,"Yes",0.998473700356292,0.001526299643712919,"",0.9999995057418772,4.942581291770347e-07,"",0.999972536478241,2.7463521761527946e-05,"Yes"
"2004-000232-91","GvHD prophylaxis with ATG-Fresenius S in allogenic Stem Cell Transplantation from matched unrelated donors: A randomised phase III multicenter trial comparing a standard GvHD prophylaxies with cyclosporine A and Methotrexate with additional pretransplant ATG-Fresenius S","IT","No","No","Yes","ok","Yes","No","No","Yes","2+","","","Yes","No","No","Yes","No","Yes","2+","Yes",3.6649309705233127e-44,1.1757839445222206e-05,0.9999882421605573,"-1",9.304179240456753e-12,0.9999999999907062,"Yes",0.9999999999945146,5.495858241277321e-12,"No",0.9999999999999432,6.066004275741559e-14,"No",1.0258231382845644e-12,0.9999999999989768,"Yes",0.9667726341538881,0.03322736584610897,"",0.9999642870769161,3.571292306998046e-05,"",0.26585157383062824,0.7341484261693714,"Yes"
"2004-001307-35","A prospective open label randomised parallel group comparative pilot study to study the efficacy and safety of highly purified Menotrophin versus recombinant FSH (Follitropin alfa) administered subcutaneously to subfertile female patients undergoing IVF using antagonist downregulation.","GB","No","Yes","Yes","ok","Yes","No","Yes","Yes","2+","Yes","No","Yes","No","No","Yes","No","Yes","2+","Yes",2.1942265115329675e-39,1.4752223383578858e-06,0.9999985247776604,"-1",0.049504256650345135,0.9504957433496556,"Yes",0.9999800681424376,1.993185755401773e-05,"No",5.505912450113971e-05,0.9999449408755026,"No",3.716492110552958e-08,0.9999999628350914,"Yes",0.004460160005545696,0.9955398399944416,"No",0.999999999809461,1.9054336570598931e-10,"No",2.947714182650856e-07,0.9999997052285758,"Yes"
"2004-002203-32","A Multicenter Open-Label Randomized Phase III Trial Comparing Immediate Adjuvant Hormonal Therapy (ELIGARD®- leuprolide acetate) in Combination with TAXOTERE® (docetaxel) Administered Every Three Weeks Versus Hormonal Therapy Alone Versus Deferred Therapy Followed by the Same Therapeutic Options in Patients with Prostate Cancer at High Risk of Relapse After Radical Prostatectomy","GB","No","No","Yes","ok","Yes","No","No","Yes","2+","Yes","No","Yes","No","No","Yes","No","No","2+","Yes",2.26248169951226e-71,3.826508688000732e-08,0.999999961734887,"-1",6.783674472988408e-08,0.9999999321632368,"Yes",0.9999999119554029,8.804460770036404e-08,"No",1.0,1.2430332226150153e-21,"No",6.100504053857438e-05,0.9999389949594504,"Yes",0.9999559675100554,4.4032489947156726e-05,"No",1.0,1.9994921957616996e-14,"No",1.5754422687506255e-08,0.9999999842455625,"Yes"
"2004-002203-32","A Multicenter Open-Label Randomized Phase III Trial Comparing Immediate Adjuvant Hormonal Therapy (ELIGARD®- leuprolide acetate) in Combination with TAXOTERE® (docetaxel) Administered Every Three Weeks Versus Hormonal Therapy Alone Versus Deferred Therapy Followed by the Same Therapeutic Options in Patients with Prostate Cancer at High Risk of Relapse After Radical Prostatectomy","HU","No","No","Yes","ok","Yes","No","No","Yes","2+","Yes","No","Yes","No","No","Yes","No","No","2+","Yes",2.26248169951226e-71,3.826508688000732e-08,0.999999961734887,"-1",6.783674472988408e-08,0.9999999321632368,"Yes",0.9999999119554029,8.804460770036404e-08,"No",1.0,1.2430332226150153e-21,"No",6.100504053857438e-05,0.9999389949594504,"Yes",0.9999559675100554,4.4032489947156726e-05,"No",1.0,1.9994921957616996e-14,"No",1.5754422687506255e-08,0.9999999842455625,"Yes"
"2004-002203-32","A Multicenter Open-Label Randomized Phase III Trial Comparing Immediate Adjuvant Hormonal Therapy (ELIGARD®- leuprolide acetate) in Combination with TAXOTERE® (docetaxel) Administered Every Three Weeks Versus Hormonal Therapy Alone Versus Deferred Therapy Followed by the Same Therapeutic Options in Patients with Prostate Cancer at High Risk of Relapse After Radical Prostatectomy","DE","No","No","Yes","ok","Yes","No","No","Yes","2+","Yes","No","Yes","No","No","Yes","No","No","2+","Yes",2.26248169951226e-71,3.826508688000732e-08,0.999999961734887,"-1",6.783674472988408e-08,0.9999999321632368,"Yes",0.9999999119554029,8.804460770036404e-08,"No",1.0,1.2430332226150153e-21,"No",6.100504053857438e-05,0.9999389949594504,"Yes",0.9999559675100554,4.4032489947156726e-05,"No",1.0,1.9994921957616996e-14,"No",1.5754422687506255e-08,0.9999999842455625,"Yes"
"2004-002203-32","A Multicenter Open-Label Randomized Phase III Trial Comparing Immediate Adjuvant Hormonal Therapy (ELIGARD®- leuprolide acetate) in Combination with TAXOTERE® (docetaxel) Administered Every Three Weeks Versus Hormonal Therapy Alone Versus Deferred Therapy Followed by the Same Therapeutic Options in Patients with Prostate Cancer at High Risk of Relapse After Radical Prostatectomy","IT","No","No","Yes","ok","Yes","No","No","Yes","2+","Yes","No","Yes","No","No","Yes","No","No","2+","Yes",2.26248169951226e-71,3.826508688000732e-08,0.999999961734887,"-1",6.783674472988408e-08,0.9999999321632368,"Yes",0.9999999119554029,8.804460770036404e-08,"No",1.0,1.2430332226150153e-21,"No",6.100504053857438e-05,0.9999389949594504,"Yes",0.9999559675100554,4.4032489947156726e-05,"No",1.0,1.9994921957616996e-14,"No",1.5754422687506255e-08,0.9999999842455625,"Yes"
"2004-002203-32","A Multicenter Open-Label Randomized Phase III Trial Comparing Immediate Adjuvant Hormonal Therapy (ELIGARD®- leuprolide acetate) in Combination with TAXOTERE® (docetaxel) Administered Every Three Weeks Versus Hormonal Therapy Alone Versus Deferred Therapy Followed by the Same Therapeutic Options in Patients with Prostate Cancer at High Risk of Relapse After Radical Prostatectomy","BE","No","No","Yes","ok","Yes","No","No","Yes","2+","Yes","No","Yes","No","No","Yes","No","No","2+","Yes",2.26248169951226e-71,3.826508688000732e-08,0.999999961734887,"-1",6.783674472988408e-08,0.9999999321632368,"Yes",0.9999999119554029,8.804460770036404e-08,"No",1.0,1.2430332226150153e-21,"No",6.100504053857438e-05,0.9999389949594504,"Yes",0.9999559675100554,4.4032489947156726e-05,"No",1.0,1.9994921957616996e-14,"No",1.5754422687506255e-08,0.9999999842455625,"Yes"
"2004-002203-32","A Multicenter Open-Label Randomized Phase III Trial Comparing Immediate Adjuvant Hormonal Therapy (ELIGARD®- leuprolide acetate) in Combination with TAXOTERE® (docetaxel) Administered Every Three Weeks Versus Hormonal Therapy Alone Versus Deferred Therapy Followed by the Same Therapeutic Options in Patients with Prostate Cancer at High Risk of Relapse After Radical Prostatectomy","AT","No","No","Yes","ok","Yes","No","No","Yes","2+","Yes","No","Yes","No","No","Yes","No","No","2+","Yes",2.26248169951226e-71,3.826508688000732e-08,0.999999961734887,"-1",6.783674472988408e-08,0.9999999321632368,"Yes",0.9999999119554029,8.804460770036404e-08,"No",1.0,1.2430332226150153e-21,"No",6.100504053857438e-05,0.9999389949594504,"Yes",0.9999559675100554,4.4032489947156726e-05,"No",1.0,1.9994921957616996e-14,"No",1.5754422687506255e-08,0.9999999842455625,"Yes"
