"eudract_number","title","protocol_country_code","double_blind","single_blind","open","design","randomised","crossover","parallel_group","controlled","arms","active_comparator","placebo","open_gs","single_blind_gs","double_blind_gs","randomised_gs","crossover_gs","parallel_group_gs","arms_gs","controlled_gs","arms_probab0","arms_probab1","arms_probab2","arms_orig","open_probab0","open_probab1","open_orig","double_blind_probab0","double_blind_probab1","double_blind_orig","single_blind_probab0","single_blind_probab1","single_blind_orig","controlled_probab0","controlled_probab1","controlled_orig","parallel_group_probab0","parallel_group_probab1","parallel_group_orig","crossover_probab0","crossover_probab1","crossover_orig","randomised_probab0","randomised_probab1","randomised_orig"
"2004-000232-91","GvHD prophylaxis with ATG-Fresenius S in allogenic Stem Cell Transplantation from matched unrelated donors: A randomised phase III multicenter trial comparing a standard GvHD prophylaxies with cyclosporine A and Methotrexate with additional pretransplant ATG-Fresenius S","ES","No","No","Yes","ok","Yes","No","No","Yes","2+","","","Yes","No","No","Yes","No","Yes","2+","Yes",3.250256122555584e-05,0.05228084698319435,0.9476866722106934,"-1",0.07773113250732422,0.9222688674926758,"Yes",0.9204738140106201,0.07952621579170227,"No",0.9933327436447144,0.006667269393801689,"No",0.054222047328948975,0.945777952671051,"Yes",0.5034628510475159,0.49653714895248413,"",0.9363752603530884,0.06362472474575043,"",0.018617749214172363,0.9813822507858276,"Yes"
"2004-000232-91","EICH Profilaxis con ATeGe-FRESENIUS en trasplante alogénico de progenitores hematopoyéticos procedente de donantes no emparentados","FI","No","Yes","No","","No","Yes","Yes","Yes","1","","","Yes","No","No","Yes","No","Yes","2+","Yes",0.0002048417372861877,0.5296210646629333,0.4701741337776184,"-1",0.5466196537017822,0.4533803462982178,"Information not present in EudraCT",0.5507978200912476,0.44920220971107483,"Information not present in EudraCT",0.2028714418411255,0.7971285581588745,"Information not present in EudraCT",0.45991361141204834,0.5400863885879517,"Yes",0.49697232246398926,0.5030276775360107,"",0.29924440383911133,0.7007555961608887,"",0.5724811553955078,0.4275188744068146,"Yes"
"2004-000232-91","GvHD prophylaxis with ATG-Fresenius S in allogenic Stem Cell Transplantation from matched unrelated donors: A randomised phase III multicenter trial comparing a standard GvHD prophylaxies with cyclosporine A and Methotrexate with additional pretransplant ATG-Fresenius S","IT","No","No","Yes","ok","Yes","No","No","Yes","2+","","","Yes","No","No","Yes","No","Yes","2+","Yes",3.250256122555584e-05,0.05228084698319435,0.9476866722106934,"-1",0.07773113250732422,0.9222688674926758,"Yes",0.9204738140106201,0.07952621579170227,"No",0.9933327436447144,0.006667269393801689,"No",0.054222047328948975,0.945777952671051,"Yes",0.5034628510475159,0.49653714895248413,"",0.9363752603530884,0.06362472474575043,"",0.018617749214172363,0.9813822507858276,"Yes"
"2004-001307-35","A prospective open label randomised parallel group comparative pilot study to study the efficacy and safety of highly purified Menotrophin versus recombinant FSH (Follitropin alfa) administered subcutaneously to subfertile female patients undergoing IVF using antagonist downregulation.","GB","No","No","Yes","ok","Yes","No","Yes","Yes","2+","Yes","No","Yes","No","No","Yes","No","Yes","2+","Yes",5.182086169952527e-06,0.008881168439984322,0.9911137223243713,"-1",0.000982522964477539,0.9990174770355225,"Yes",0.9998731017112732,0.00012690706353168935,"No",0.9927029013633728,0.007297114469110966,"No",0.03297513723373413,0.9670248627662659,"Yes",0.03377377986907959,0.9662262201309204,"No",0.9996050596237183,0.0003949267265852541,"No",0.004881143569946289,0.9951188564300537,"Yes"
"2004-002203-32","A Multicenter Open-Label Randomized Phase III Trial Comparing Immediate Adjuvant Hormonal Therapy (ELIGARD®- leuprolide acetate) in Combination with TAXOTERE® (docetaxel) Administered Every Three Weeks Versus Hormonal Therapy Alone Versus Deferred Therapy Followed by the Same Therapeutic Options in Patients with Prostate Cancer at High Risk of Relapse After Radical Prostatectomy","GB","No","No","Yes","ok","Yes","No","Yes","Yes","2+","Yes","No","Yes","No","No","Yes","No","No","2+","Yes",7.677191206312273e-06,0.0014530980261042714,0.9985392093658447,"-1",0.00035703182220458984,0.9996429681777954,"Yes",0.9997873306274414,0.00021264249517116696,"No",0.9986298680305481,0.001370130223222077,"No",0.008577287197113037,0.991422712802887,"Yes",0.3591001033782959,0.6408998966217041,"No",0.9982229471206665,0.0017770732520148158,"No",0.014850854873657227,0.9851491451263428,"Yes"
"2004-002203-32","A Multicenter Open-Label Randomized Phase III Trial Comparing Immediate Adjuvant Hormonal Therapy (ELIGARD®- leuprolide acetate) in Combination with TAXOTERE® (docetaxel) Administered Every Three Weeks Versus Hormonal Therapy Alone Versus Deferred Therapy Followed by the Same Therapeutic Options in Patients with Prostate Cancer at High Risk of Relapse After Radical Prostatectomy","HU","No","No","Yes","ok","Yes","No","Yes","Yes","2+","Yes","No","Yes","No","No","Yes","No","No","2+","Yes",7.677191206312273e-06,0.0014530980261042714,0.9985392093658447,"-1",0.00035703182220458984,0.9996429681777954,"Yes",0.9997873306274414,0.00021264249517116696,"No",0.9986298680305481,0.001370130223222077,"No",0.008577287197113037,0.991422712802887,"Yes",0.3591001033782959,0.6408998966217041,"No",0.9982229471206665,0.0017770732520148158,"No",0.014850854873657227,0.9851491451263428,"Yes"
"2004-002203-32","A Multicenter Open-Label Randomized Phase III Trial Comparing Immediate Adjuvant Hormonal Therapy (ELIGARD®- leuprolide acetate) in Combination with TAXOTERE® (docetaxel) Administered Every Three Weeks Versus Hormonal Therapy Alone Versus Deferred Therapy Followed by the Same Therapeutic Options in Patients with Prostate Cancer at High Risk of Relapse After Radical Prostatectomy","DE","No","No","Yes","ok","Yes","No","Yes","Yes","2+","Yes","No","Yes","No","No","Yes","No","No","2+","Yes",7.677191206312273e-06,0.0014530980261042714,0.9985392093658447,"-1",0.00035703182220458984,0.9996429681777954,"Yes",0.9997873306274414,0.00021264249517116696,"No",0.9986298680305481,0.001370130223222077,"No",0.008577287197113037,0.991422712802887,"Yes",0.3591001033782959,0.6408998966217041,"No",0.9982229471206665,0.0017770732520148158,"No",0.014850854873657227,0.9851491451263428,"Yes"
"2004-002203-32","A Multicenter Open-Label Randomized Phase III Trial Comparing Immediate Adjuvant Hormonal Therapy (ELIGARD®- leuprolide acetate) in Combination with TAXOTERE® (docetaxel) Administered Every Three Weeks Versus Hormonal Therapy Alone Versus Deferred Therapy Followed by the Same Therapeutic Options in Patients with Prostate Cancer at High Risk of Relapse After Radical Prostatectomy","IT","No","No","Yes","ok","Yes","No","Yes","Yes","2+","Yes","No","Yes","No","No","Yes","No","No","2+","Yes",7.677191206312273e-06,0.0014530980261042714,0.9985392093658447,"-1",0.00035703182220458984,0.9996429681777954,"Yes",0.9997873306274414,0.00021264249517116696,"No",0.9986298680305481,0.001370130223222077,"No",0.008577287197113037,0.991422712802887,"Yes",0.3591001033782959,0.6408998966217041,"No",0.9982229471206665,0.0017770732520148158,"No",0.014850854873657227,0.9851491451263428,"Yes"
"2004-002203-32","A Multicenter Open-Label Randomized Phase III Trial Comparing Immediate Adjuvant Hormonal Therapy (ELIGARD®- leuprolide acetate) in Combination with TAXOTERE® (docetaxel) Administered Every Three Weeks Versus Hormonal Therapy Alone Versus Deferred Therapy Followed by the Same Therapeutic Options in Patients with Prostate Cancer at High Risk of Relapse After Radical Prostatectomy","BE","No","No","Yes","ok","Yes","No","Yes","Yes","2+","Yes","No","Yes","No","No","Yes","No","No","2+","Yes",7.677191206312273e-06,0.0014530980261042714,0.9985392093658447,"-1",0.00035703182220458984,0.9996429681777954,"Yes",0.9997873306274414,0.00021264249517116696,"No",0.9986298680305481,0.001370130223222077,"No",0.008577287197113037,0.991422712802887,"Yes",0.3591001033782959,0.6408998966217041,"No",0.9982229471206665,0.0017770732520148158,"No",0.014850854873657227,0.9851491451263428,"Yes"
"2004-002203-32","A Multicenter Open-Label Randomized Phase III Trial Comparing Immediate Adjuvant Hormonal Therapy (ELIGARD®- leuprolide acetate) in Combination with TAXOTERE® (docetaxel) Administered Every Three Weeks Versus Hormonal Therapy Alone Versus Deferred Therapy Followed by the Same Therapeutic Options in Patients with Prostate Cancer at High Risk of Relapse After Radical Prostatectomy","AT","No","No","Yes","ok","Yes","No","Yes","Yes","2+","Yes","No","Yes","No","No","Yes","No","No","2+","Yes",7.677191206312273e-06,0.0014530980261042714,0.9985392093658447,"-1",0.00035703182220458984,0.9996429681777954,"Yes",0.9997873306274414,0.00021264249517116696,"No",0.9986298680305481,0.001370130223222077,"No",0.008577287197113037,0.991422712802887,"Yes",0.3591001033782959,0.6408998966217041,"No",0.9982229471206665,0.0017770732520148158,"No",0.014850854873657227,0.9851491451263428,"Yes"
