"eudract_number","title","protocol_country_code","double_blind","single_blind","open","design","randomised","crossover","parallel_group","controlled","arms","active_comparator","placebo","open_gs","single_blind_gs","double_blind_gs","randomised_gs","crossover_gs","parallel_group_gs","arms_gs","controlled_gs","arms_orig","open_orig","double_blind_orig","single_blind_orig","controlled_orig","parallel_group_orig","crossover_orig","randomised_orig"
"2004-000232-91","GvHD prophylaxis with ATG-Fresenius S in allogenic Stem Cell Transplantation from matched unrelated donors: A randomised phase III multicenter trial comparing a standard GvHD prophylaxies with cyclosporine A and Methotrexate with additional pretransplant ATG-Fresenius S","ES","No","No","Yes","ok","Yes","No","No","Yes","2+","","","Yes","No","No","Yes","No","Yes","2+","Yes","-1","Yes","No","No","Yes","","","Yes"
"2004-000232-91","EICH Profilaxis con ATeGe-FRESENIUS en trasplante alogénico de progenitores hematopoyéticos procedente de donantes no emparentados","FI","No","Yes","No","","No","Yes","Yes","Yes","1","","","Yes","No","No","Yes","No","Yes","2+","Yes","-1","Information not present in EudraCT","Information not present in EudraCT","Information not present in EudraCT","Yes","","","Yes"
"2004-000232-91","GvHD prophylaxis with ATG-Fresenius S in allogenic Stem Cell Transplantation from matched unrelated donors: A randomised phase III multicenter trial comparing a standard GvHD prophylaxies with cyclosporine A and Methotrexate with additional pretransplant ATG-Fresenius S","IT","No","No","Yes","ok","Yes","No","No","Yes","2+","","","Yes","No","No","Yes","No","Yes","2+","Yes","-1","Yes","No","No","Yes","","","Yes"
"2004-001307-35","A prospective open label randomised parallel group comparative pilot study to study the efficacy and safety of highly purified Menotrophin versus recombinant FSH (Follitropin alfa) administered subcutaneously to subfertile female patients undergoing IVF using antagonist downregulation.","GB","No","No","Yes","ok","Yes","No","Yes","Yes","2+","Yes","No","Yes","No","No","Yes","No","Yes","2+","Yes","-1","Yes","No","No","Yes","No","No","Yes"
"2004-002203-32","A Multicenter Open-Label Randomized Phase III Trial Comparing Immediate Adjuvant Hormonal Therapy (ELIGARD®- leuprolide acetate) in Combination with TAXOTERE® (docetaxel) Administered Every Three Weeks Versus Hormonal Therapy Alone Versus Deferred Therapy Followed by the Same Therapeutic Options in Patients with Prostate Cancer at High Risk of Relapse After Radical Prostatectomy","GB","No","No","Yes","ok","Yes","No","Yes","Yes","2+","Yes","No","Yes","No","No","Yes","No","No","2+","Yes","-1","Yes","No","No","Yes","No","No","Yes"
"2004-002203-32","A Multicenter Open-Label Randomized Phase III Trial Comparing Immediate Adjuvant Hormonal Therapy (ELIGARD®- leuprolide acetate) in Combination with TAXOTERE® (docetaxel) Administered Every Three Weeks Versus Hormonal Therapy Alone Versus Deferred Therapy Followed by the Same Therapeutic Options in Patients with Prostate Cancer at High Risk of Relapse After Radical Prostatectomy","HU","No","No","Yes","ok","Yes","No","Yes","Yes","2+","Yes","No","Yes","No","No","Yes","No","No","2+","Yes","-1","Yes","No","No","Yes","No","No","Yes"
"2004-002203-32","A Multicenter Open-Label Randomized Phase III Trial Comparing Immediate Adjuvant Hormonal Therapy (ELIGARD®- leuprolide acetate) in Combination with TAXOTERE® (docetaxel) Administered Every Three Weeks Versus Hormonal Therapy Alone Versus Deferred Therapy Followed by the Same Therapeutic Options in Patients with Prostate Cancer at High Risk of Relapse After Radical Prostatectomy","DE","No","No","Yes","ok","Yes","No","Yes","Yes","2+","Yes","No","Yes","No","No","Yes","No","No","2+","Yes","-1","Yes","No","No","Yes","No","No","Yes"
"2004-002203-32","A Multicenter Open-Label Randomized Phase III Trial Comparing Immediate Adjuvant Hormonal Therapy (ELIGARD®- leuprolide acetate) in Combination with TAXOTERE® (docetaxel) Administered Every Three Weeks Versus Hormonal Therapy Alone Versus Deferred Therapy Followed by the Same Therapeutic Options in Patients with Prostate Cancer at High Risk of Relapse After Radical Prostatectomy","IT","No","No","Yes","ok","Yes","No","Yes","Yes","2+","Yes","No","Yes","No","No","Yes","No","No","2+","Yes","-1","Yes","No","No","Yes","No","No","Yes"
"2004-002203-32","A Multicenter Open-Label Randomized Phase III Trial Comparing Immediate Adjuvant Hormonal Therapy (ELIGARD®- leuprolide acetate) in Combination with TAXOTERE® (docetaxel) Administered Every Three Weeks Versus Hormonal Therapy Alone Versus Deferred Therapy Followed by the Same Therapeutic Options in Patients with Prostate Cancer at High Risk of Relapse After Radical Prostatectomy","BE","No","No","Yes","ok","Yes","No","Yes","Yes","2+","Yes","No","Yes","No","No","Yes","No","No","2+","Yes","-1","Yes","No","No","Yes","No","No","Yes"
"2004-002203-32","A Multicenter Open-Label Randomized Phase III Trial Comparing Immediate Adjuvant Hormonal Therapy (ELIGARD®- leuprolide acetate) in Combination with TAXOTERE® (docetaxel) Administered Every Three Weeks Versus Hormonal Therapy Alone Versus Deferred Therapy Followed by the Same Therapeutic Options in Patients with Prostate Cancer at High Risk of Relapse After Radical Prostatectomy","AT","No","No","Yes","ok","Yes","No","Yes","Yes","2+","Yes","No","Yes","No","No","Yes","No","No","2+","Yes","-1","Yes","No","No","Yes","No","No","Yes"
