"eudract_number","title","protocol_country_code","double_blind","single_blind","open","design","randomised","crossover","parallel_group","controlled","arms","active_comparator","placebo","open_gs","single_blind_gs","double_blind_gs","randomised_gs","crossover_gs","parallel_group_gs","arms_gs","controlled_gs","arms_probab0","arms_probab1","arms_probab2","arms_orig","open_probab0","open_probab1","open_orig","double_blind_probab0","double_blind_probab1","double_blind_orig","single_blind_probab0","single_blind_probab1","single_blind_orig","controlled_probab0","controlled_probab1","controlled_orig","parallel_group_probab0","parallel_group_probab1","parallel_group_orig","crossover_probab0","crossover_probab1","crossover_orig","randomised_probab0","randomised_probab1","randomised_orig"
"2004-000232-91","GvHD prophylaxis with ATG-Fresenius S in allogenic Stem Cell Transplantation from matched unrelated donors: A randomised phase III multicenter trial comparing a standard GvHD prophylaxies with cyclosporine A and Methotrexate with additional pretransplant ATG-Fresenius S","ES","No","Yes","Yes","ok","No","Yes","No","No","1","","","Yes","No","No","Yes","No","Yes","2+","Yes",0.01305822384610956,0.6974693397712441,0.28947243638264625,"-1",0.3160454059297352,0.6839545940702648,"Yes",0.7100016138106646,0.2899983861893354,"No",0.11986724026917717,0.8801327597308228,"No",0.6243672044560806,0.3756327955439194,"Yes",0.5705275147535943,0.4294724852464057,"",0.09178126806055864,0.9082187319394414,"",0.680512040640727,0.31948795935927304,"Yes"
"2004-000232-91","EICH Profilaxis con ATeGe-FRESENIUS en trasplante alogénico de progenitores hematopoyéticos procedente de donantes no emparentados","FI","No","Yes","Yes","","No","Yes","No","No","1","","","Yes","No","No","Yes","No","Yes","2+","Yes",0.013545872692590605,0.8505644996980155,0.1358896276093939,"-1",0.3689287919845725,0.6310712080154275,"Information not present in EudraCT",0.6673430673339402,0.33265693266605983,"Information not present in EudraCT",0.037851927253075957,0.962148072746924,"Information not present in EudraCT",0.803187576001849,0.196812423998151,"Yes",0.6166936833394672,0.3833063166605329,"",0.09933439266980071,0.9006656073301993,"",0.8430641806946286,0.15693581930537132,"Yes"
"2004-000232-91","GvHD prophylaxis with ATG-Fresenius S in allogenic Stem Cell Transplantation from matched unrelated donors: A randomised phase III multicenter trial comparing a standard GvHD prophylaxies with cyclosporine A and Methotrexate with additional pretransplant ATG-Fresenius S","IT","No","Yes","Yes","ok","No","Yes","No","No","1","","","Yes","No","No","Yes","No","Yes","2+","Yes",0.01305822384610956,0.6974693397712441,0.28947243638264625,"-1",0.3160454059297352,0.6839545940702648,"Yes",0.7100016138106646,0.2899983861893354,"No",0.11986724026917717,0.8801327597308228,"No",0.6243672044560806,0.3756327955439194,"Yes",0.5705275147535943,0.4294724852464057,"",0.09178126806055864,0.9082187319394414,"",0.680512040640727,0.31948795935927304,"Yes"
"2004-001307-35","A prospective open label randomised parallel group comparative pilot study to study the efficacy and safety of highly purified Menotrophin versus recombinant FSH (Follitropin alfa) administered subcutaneously to subfertile female patients undergoing IVF using antagonist downregulation.","GB","No","Yes","Yes","ok","No","Yes","Yes","No","1","Yes","No","Yes","No","No","Yes","No","Yes","2+","Yes",0.008919157582951712,0.832470697247966,0.15861014516908242,"-1",0.1403783832991442,0.8596216167008558,"Yes",0.8974092886643672,0.10259071133563277,"No",0.0649880209882695,0.9350119790117305,"No",0.7586496964739967,0.2413503035260033,"Yes",0.45378052568688054,0.5462194743131195,"No",0.37072597804490226,0.6292740219550977,"No",0.7733963382103299,0.22660366178967006,"Yes"
"2004-002203-32","A Multicenter Open-Label Randomized Phase III Trial Comparing Immediate Adjuvant Hormonal Therapy (ELIGARD®- leuprolide acetate) in Combination with TAXOTERE® (docetaxel) Administered Every Three Weeks Versus Hormonal Therapy Alone Versus Deferred Therapy Followed by the Same Therapeutic Options in Patients with Prostate Cancer at High Risk of Relapse After Radical Prostatectomy","GB","No","No","Yes","ok","Yes","No","Yes","No","1","Yes","No","Yes","No","No","Yes","No","No","2+","Yes",0.010014137379696912,0.5166714740084736,0.4733143886118295,"-1",0.11376555828278623,0.8862344417172138,"Yes",0.8813911166465805,0.11860888335341947,"No",0.5628024769445807,0.4371975230554192,"No",0.6920734347262856,0.3079265652737144,"Yes",0.47763691154291044,0.5223630884570896,"No",0.6248487881252203,0.3751512118747798,"No",0.40108023321679087,0.5989197667832091,"Yes"
"2004-002203-32","A Multicenter Open-Label Randomized Phase III Trial Comparing Immediate Adjuvant Hormonal Therapy (ELIGARD®- leuprolide acetate) in Combination with TAXOTERE® (docetaxel) Administered Every Three Weeks Versus Hormonal Therapy Alone Versus Deferred Therapy Followed by the Same Therapeutic Options in Patients with Prostate Cancer at High Risk of Relapse After Radical Prostatectomy","HU","No","No","Yes","ok","Yes","No","Yes","No","1","Yes","No","Yes","No","No","Yes","No","No","2+","Yes",0.010014137379696912,0.5166714740084736,0.4733143886118295,"-1",0.11376555828278623,0.8862344417172138,"Yes",0.8813911166465805,0.11860888335341947,"No",0.5628024769445807,0.4371975230554192,"No",0.6920734347262856,0.3079265652737144,"Yes",0.47763691154291044,0.5223630884570896,"No",0.6248487881252203,0.3751512118747798,"No",0.40108023321679087,0.5989197667832091,"Yes"
"2004-002203-32","A Multicenter Open-Label Randomized Phase III Trial Comparing Immediate Adjuvant Hormonal Therapy (ELIGARD®- leuprolide acetate) in Combination with TAXOTERE® (docetaxel) Administered Every Three Weeks Versus Hormonal Therapy Alone Versus Deferred Therapy Followed by the Same Therapeutic Options in Patients with Prostate Cancer at High Risk of Relapse After Radical Prostatectomy","DE","No","No","Yes","ok","Yes","No","Yes","No","1","Yes","No","Yes","No","No","Yes","No","No","2+","Yes",0.010014137379696912,0.5166714740084736,0.4733143886118295,"-1",0.11376555828278623,0.8862344417172138,"Yes",0.8813911166465805,0.11860888335341947,"No",0.5628024769445807,0.4371975230554192,"No",0.6920734347262856,0.3079265652737144,"Yes",0.47763691154291044,0.5223630884570896,"No",0.6248487881252203,0.3751512118747798,"No",0.40108023321679087,0.5989197667832091,"Yes"
"2004-002203-32","A Multicenter Open-Label Randomized Phase III Trial Comparing Immediate Adjuvant Hormonal Therapy (ELIGARD®- leuprolide acetate) in Combination with TAXOTERE® (docetaxel) Administered Every Three Weeks Versus Hormonal Therapy Alone Versus Deferred Therapy Followed by the Same Therapeutic Options in Patients with Prostate Cancer at High Risk of Relapse After Radical Prostatectomy","IT","No","No","Yes","ok","Yes","No","Yes","No","1","Yes","No","Yes","No","No","Yes","No","No","2+","Yes",0.010014137379696912,0.5166714740084736,0.4733143886118295,"-1",0.11376555828278623,0.8862344417172138,"Yes",0.8813911166465805,0.11860888335341947,"No",0.5628024769445807,0.4371975230554192,"No",0.6920734347262856,0.3079265652737144,"Yes",0.47763691154291044,0.5223630884570896,"No",0.6248487881252203,0.3751512118747798,"No",0.40108023321679087,0.5989197667832091,"Yes"
"2004-002203-32","A Multicenter Open-Label Randomized Phase III Trial Comparing Immediate Adjuvant Hormonal Therapy (ELIGARD®- leuprolide acetate) in Combination with TAXOTERE® (docetaxel) Administered Every Three Weeks Versus Hormonal Therapy Alone Versus Deferred Therapy Followed by the Same Therapeutic Options in Patients with Prostate Cancer at High Risk of Relapse After Radical Prostatectomy","BE","No","No","Yes","ok","Yes","No","Yes","No","1","Yes","No","Yes","No","No","Yes","No","No","2+","Yes",0.010014137379696912,0.5166714740084736,0.4733143886118295,"-1",0.11376555828278623,0.8862344417172138,"Yes",0.8813911166465805,0.11860888335341947,"No",0.5628024769445807,0.4371975230554192,"No",0.6920734347262856,0.3079265652737144,"Yes",0.47763691154291044,0.5223630884570896,"No",0.6248487881252203,0.3751512118747798,"No",0.40108023321679087,0.5989197667832091,"Yes"
"2004-002203-32","A Multicenter Open-Label Randomized Phase III Trial Comparing Immediate Adjuvant Hormonal Therapy (ELIGARD®- leuprolide acetate) in Combination with TAXOTERE® (docetaxel) Administered Every Three Weeks Versus Hormonal Therapy Alone Versus Deferred Therapy Followed by the Same Therapeutic Options in Patients with Prostate Cancer at High Risk of Relapse After Radical Prostatectomy","AT","No","No","Yes","ok","Yes","No","Yes","No","1","Yes","No","Yes","No","No","Yes","No","No","2+","Yes",0.010014137379696912,0.5166714740084736,0.4733143886118295,"-1",0.11376555828278623,0.8862344417172138,"Yes",0.8813911166465805,0.11860888335341947,"No",0.5628024769445807,0.4371975230554192,"No",0.6920734347262856,0.3079265652737144,"Yes",0.47763691154291044,0.5223630884570896,"No",0.6248487881252203,0.3751512118747798,"No",0.40108023321679087,0.5989197667832091,"Yes"
"2005-000454-73","A multicenter randomized double-blind placebo-controlled 3-arm study of the efficacy and safety of 2 doses of lenalidomide versus placebo in red blood cell (RBC) transfusion-dependent subjects with low- or intermediate-1-risk myelodyplastic syndromes (MDS) associated with a deletion (del) 5q[31] cytogenetic abnormality.","BE","Yes","No","No","ok","Yes","Yes","Yes","Yes","2+","No","Yes","No","No","Yes","Yes","Yes","No","2+","Yes",0.011129126869321208,0.31728742617272776,0.671583446957951,"2+",0.8562863645993968,0.14371363540060328,"No",0.13830467233760668,0.8616953276623933,"Yes",0.795456993709024,0.20454300629097596,"No",0.2413730846256903,0.7586269153743097,"Yes",0.3295963651225541,0.6704036348774459,"Yes",0.4233413018544695,0.5766586981455305,"No",0.23736263464792307,0.7626373653520769,"Yes"
"2005-000454-73","A multicenter randomized double-blind placebo-controlled 3-arm study of the efficacy and safety of 2 doses of lenalidomide versus placebo in red blood cell (RBC) transfusion-dependent subjects with low- or intermediate-1-risk myelodyplastic syndromes (MDS) associated with a deletion (del) 5q[31] cytogenetic abnormality.","IT","Yes","No","No","ok","Yes","Yes","Yes","Yes","2+","No","Yes","No","No","Yes","Yes","Yes","No","2+","Yes",0.011129126869321208,0.31728742617272776,0.671583446957951,"2+",0.8562863645993968,0.14371363540060328,"No",0.13830467233760668,0.8616953276623933,"Yes",0.795456993709024,0.20454300629097596,"No",0.2413730846256903,0.7586269153743097,"Yes",0.3295963651225541,0.6704036348774459,"Yes",0.4233413018544695,0.5766586981455305,"No",0.23736263464792307,0.7626373653520769,"Yes"
"2005-000454-73","A MULTICENTER RANDOMIZED DOUBLE-BLIND PLACEBOCONTROLLED 3-ARM STUDY OF THE EFFICACY AND SAFETY OF 2 DOSES OF LENALIDOMIDE VERSUS PLACEBO IN RED BLOOD CELL (RBC) TRANSFUSION-DEPENDENT SUBJECTS WITH LOW- OR INTERMEDIATE-1-RISK MYELODYSPLASTIC SYNDROMES (MDS) ASSOCIATED WITH A DELETION (DEL) 5Q[31] CYTOGENETIC ABNORMALITY","GB","Yes","No","No","ok","Yes","Yes","Yes","Yes","2+","No","Yes","No","No","Yes","Yes","Yes","No","2+","Yes",0.012529918681030674,0.49251370299771485,0.49495637832125444,"2+",0.7271462475709214,0.2728537524290786,"No",0.2626117553034427,0.7373882446965573,"Yes",0.7085956024530679,0.29140439754693215,"No",0.41174731546888077,0.5882526845311192,"Yes",0.37316870575981553,0.6268312942401845,"Yes",0.3539681448786488,0.6460318551213512,"No",0.3975348963052051,0.6024651036947949,"Yes"
