"eudract_number","title","protocol_country_code","double_blind","single_blind","open","design","randomised","crossover","parallel_group","controlled","arms","active_comparator","placebo","open_gs","single_blind_gs","double_blind_gs","randomised_gs","crossover_gs","parallel_group_gs","arms_gs","controlled_gs","arms_probab0","arms_probab1","arms_probab2","arms_orig","open_probab0","open_probab1","open_orig","double_blind_probab0","double_blind_probab1","double_blind_orig","single_blind_probab0","single_blind_probab1","single_blind_orig","controlled_probab0","controlled_probab1","controlled_orig","parallel_group_probab0","parallel_group_probab1","parallel_group_orig","crossover_probab0","crossover_probab1","crossover_orig","randomised_probab0","randomised_probab1","randomised_orig"
"2004-000232-91","GvHD prophylaxis with ATG-Fresenius S in allogenic Stem Cell Transplantation from matched unrelated donors: A randomised phase III multicenter trial comparing a standard GvHD prophylaxies with cyclosporine A and Methotrexate with additional pretransplant ATG-Fresenius S","ES","No","No","Yes","ok","Yes","No","Yes","Yes","2+","","","Yes","No","No","Yes","No","Yes","2+","Yes",0.0007315682618836085,0.1852330804712116,0.8140353512669065,"-1",0.09099920613403745,0.9090007938659622,"Yes",0.9178971835970411,0.0821028164029587,"No",0.9489039495965103,0.05109605040349316,"No",0.04978428343865921,0.950215716561339,"Yes",0.31454635550173526,0.685453644498268,"",0.5800104195523792,0.4199895804476239,"",0.3892024139560276,0.610797586043975,"Yes"
"2004-000232-91","EICH Profilaxis con ATeGe-FRESENIUS en trasplante alogénico de progenitores hematopoyéticos procedente de donantes no emparentados","FI","No","No","Yes","","No","No","No","No","1","","","Yes","No","No","Yes","No","Yes","2+","Yes",0.04799663656482044,0.8183046024169748,0.13369876101820521,"-1",0.08566385147793096,0.9143361485220697,"Information not present in EudraCT",0.9189445276506707,0.08105547234932661,"Information not present in EudraCT",0.6991314706985327,0.3008685293014695,"Information not present in EudraCT",0.7181231950772049,0.28187680492279726,"Yes",0.7111025805478837,0.2888974194521145,"",0.8721182153648748,0.1278817846351225,"",0.9128256769820436,0.08717432301795795,"Yes"
"2004-000232-91","GvHD prophylaxis with ATG-Fresenius S in allogenic Stem Cell Transplantation from matched unrelated donors: A randomised phase III multicenter trial comparing a standard GvHD prophylaxies with cyclosporine A and Methotrexate with additional pretransplant ATG-Fresenius S","IT","No","No","Yes","ok","Yes","No","Yes","Yes","2+","","","Yes","No","No","Yes","No","Yes","2+","Yes",0.0007315682618836085,0.1852330804712116,0.8140353512669065,"-1",0.09099920613403745,0.9090007938659622,"Yes",0.9178971835970411,0.0821028164029587,"No",0.9489039495965103,0.05109605040349316,"No",0.04978428343865921,0.950215716561339,"Yes",0.31454635550173526,0.685453644498268,"",0.5800104195523792,0.4199895804476239,"",0.3892024139560276,0.610797586043975,"Yes"
"2004-001307-35","A prospective open label randomised parallel group comparative pilot study to study the efficacy and safety of highly purified Menotrophin versus recombinant FSH (Follitropin alfa) administered subcutaneously to subfertile female patients undergoing IVF using antagonist downregulation.","GB","No","Yes","No","ok","Yes","No","Yes","Yes","2+","Yes","No","Yes","No","No","Yes","No","Yes","2+","Yes",1.8449214795698086e-05,0.14043847427731873,0.8595430765078826,"-1",0.7495999532698718,0.25040004673012506,"Yes",0.6147177736734442,0.3852822263265538,"No",0.05035636544662445,0.9496436345533767,"No",0.06838634525574039,0.9316136547442561,"Yes",0.12918422645844543,0.8708157735415581,"No",0.9456878342231482,0.05431216577685219,"No",0.08402627745751579,0.9159737225424873,"Yes"
"2004-002203-32","A Multicenter Open-Label Randomized Phase III Trial Comparing Immediate Adjuvant Hormonal Therapy (ELIGARD®- leuprolide acetate) in Combination with TAXOTERE® (docetaxel) Administered Every Three Weeks Versus Hormonal Therapy Alone Versus Deferred Therapy Followed by the Same Therapeutic Options in Patients with Prostate Cancer at High Risk of Relapse After Radical Prostatectomy","GB","No","No","Yes","ok","Yes","No","No","Yes","2+","Yes","No","Yes","No","No","Yes","No","No","2+","Yes",3.474250186378416e-06,0.11964752515979804,0.8803490005900173,"-1",0.3298686358997004,0.6701313641002997,"Yes",0.7080509280489851,0.2919490719510129,"No",0.9924143117130548,0.0075856882869445846,"No",0.22997210943847946,0.7700278905615225,"Yes",0.5855249914004602,0.4144750085995364,"No",0.9817099633864708,0.018290036613532387,"No",0.0929306242016118,0.9070693757983892,"Yes"
"2004-002203-32","A Multicenter Open-Label Randomized Phase III Trial Comparing Immediate Adjuvant Hormonal Therapy (ELIGARD®- leuprolide acetate) in Combination with TAXOTERE® (docetaxel) Administered Every Three Weeks Versus Hormonal Therapy Alone Versus Deferred Therapy Followed by the Same Therapeutic Options in Patients with Prostate Cancer at High Risk of Relapse After Radical Prostatectomy","HU","No","No","Yes","ok","Yes","No","No","Yes","2+","Yes","No","Yes","No","No","Yes","No","No","2+","Yes",3.474250186378416e-06,0.11964752515979804,0.8803490005900173,"-1",0.3298686358997004,0.6701313641002997,"Yes",0.7080509280489851,0.2919490719510129,"No",0.9924143117130548,0.0075856882869445846,"No",0.22997210943847946,0.7700278905615225,"Yes",0.5855249914004602,0.4144750085995364,"No",0.9817099633864708,0.018290036613532387,"No",0.0929306242016118,0.9070693757983892,"Yes"
"2004-002203-32","A Multicenter Open-Label Randomized Phase III Trial Comparing Immediate Adjuvant Hormonal Therapy (ELIGARD®- leuprolide acetate) in Combination with TAXOTERE® (docetaxel) Administered Every Three Weeks Versus Hormonal Therapy Alone Versus Deferred Therapy Followed by the Same Therapeutic Options in Patients with Prostate Cancer at High Risk of Relapse After Radical Prostatectomy","DE","No","No","Yes","ok","Yes","No","No","Yes","2+","Yes","No","Yes","No","No","Yes","No","No","2+","Yes",3.474250186378416e-06,0.11964752515979804,0.8803490005900173,"-1",0.3298686358997004,0.6701313641002997,"Yes",0.7080509280489851,0.2919490719510129,"No",0.9924143117130548,0.0075856882869445846,"No",0.22997210943847946,0.7700278905615225,"Yes",0.5855249914004602,0.4144750085995364,"No",0.9817099633864708,0.018290036613532387,"No",0.0929306242016118,0.9070693757983892,"Yes"
"2004-002203-32","A Multicenter Open-Label Randomized Phase III Trial Comparing Immediate Adjuvant Hormonal Therapy (ELIGARD®- leuprolide acetate) in Combination with TAXOTERE® (docetaxel) Administered Every Three Weeks Versus Hormonal Therapy Alone Versus Deferred Therapy Followed by the Same Therapeutic Options in Patients with Prostate Cancer at High Risk of Relapse After Radical Prostatectomy","IT","No","No","Yes","ok","Yes","No","No","Yes","2+","Yes","No","Yes","No","No","Yes","No","No","2+","Yes",3.474250186378416e-06,0.11964752515979804,0.8803490005900173,"-1",0.3298686358997004,0.6701313641002997,"Yes",0.7080509280489851,0.2919490719510129,"No",0.9924143117130548,0.0075856882869445846,"No",0.22997210943847946,0.7700278905615225,"Yes",0.5855249914004602,0.4144750085995364,"No",0.9817099633864708,0.018290036613532387,"No",0.0929306242016118,0.9070693757983892,"Yes"
"2004-002203-32","A Multicenter Open-Label Randomized Phase III Trial Comparing Immediate Adjuvant Hormonal Therapy (ELIGARD®- leuprolide acetate) in Combination with TAXOTERE® (docetaxel) Administered Every Three Weeks Versus Hormonal Therapy Alone Versus Deferred Therapy Followed by the Same Therapeutic Options in Patients with Prostate Cancer at High Risk of Relapse After Radical Prostatectomy","BE","No","No","Yes","ok","Yes","No","No","Yes","2+","Yes","No","Yes","No","No","Yes","No","No","2+","Yes",3.474250186378416e-06,0.11964752515979804,0.8803490005900173,"-1",0.3298686358997004,0.6701313641002997,"Yes",0.7080509280489851,0.2919490719510129,"No",0.9924143117130548,0.0075856882869445846,"No",0.22997210943847946,0.7700278905615225,"Yes",0.5855249914004602,0.4144750085995364,"No",0.9817099633864708,0.018290036613532387,"No",0.0929306242016118,0.9070693757983892,"Yes"
"2004-002203-32","A Multicenter Open-Label Randomized Phase III Trial Comparing Immediate Adjuvant Hormonal Therapy (ELIGARD®- leuprolide acetate) in Combination with TAXOTERE® (docetaxel) Administered Every Three Weeks Versus Hormonal Therapy Alone Versus Deferred Therapy Followed by the Same Therapeutic Options in Patients with Prostate Cancer at High Risk of Relapse After Radical Prostatectomy","AT","No","No","Yes","ok","Yes","No","No","Yes","2+","Yes","No","Yes","No","No","Yes","No","No","2+","Yes",3.474250186378416e-06,0.11964752515979804,0.8803490005900173,"-1",0.3298686358997004,0.6701313641002997,"Yes",0.7080509280489851,0.2919490719510129,"No",0.9924143117130548,0.0075856882869445846,"No",0.22997210943847946,0.7700278905615225,"Yes",0.5855249914004602,0.4144750085995364,"No",0.9817099633864708,0.018290036613532387,"No",0.0929306242016118,0.9070693757983892,"Yes"
