"arms","open","double_blind","single_blind","controlled","parallel_group","crossover","randomised","eudract_number","title","protocol_country_code"
"2+","Yes","No","No","Yes","No","No","No","2008-006954-17","AN OPEN-LABEL MULTI-CENTER CONTROLLED CLINICAL TRIAL OF ECULIZUMAB IN ADULT PATIENTS WITH PLASMA THERAPY-SENSITIVE ATYPICAL HEMOLYTIC UREMIC SYNDROME (AHUS)","AT"
"2+","Yes","No","No","Yes","No","No","No","2008-006954-17","AN OPEN-LABEL MULTI-CENTER CONTROLLED CLINICAL TRIAL OF ECULIZUMAB IN ADULT PATIENTS WITH PLASMA THERAPY-SENSITIVE ATYPICAL HEMOLYTIC UREMIC SYNDROME (AHUS)","ES"
"2+","Yes","No","No","Yes","No","No","No","2008-006954-17","AN OPEN-LABEL MULTI-CENTER CONTROLLED CLINICAL TRIAL OF ECULIZUMAB IN ADULT PATIENTS WITH PLASMA THERAPY-SENSITIVE ATYPICAL HEMOLYTIC UREMIC SYNDROME (AHUS)","NL"
"2+","Yes","No","No","Yes","No","No","No","2008-006954-17","AN OPEN-LABEL MULTI-CENTER CONTROLLED CLINICAL TRIAL OF ECULIZUMAB IN ADULT PATIENTS WITH PLASMA THERAPY-SENSITIVE ATYPICAL HEMOLYTIC UREMIC SYNDROME (AHUS)","SE"
"2+","Yes","No","No","Yes","No","No","No","2008-006954-17","AN OPEN-LABEL MULTI-CENTER CONTROLLED CLINICAL TRIAL OF ECULIZUMAB IN ADULT PATIENTS WITH PLASMA THERAPY-SENSITIVE ATYPICAL HEMOLYTIC UREMIC SYNDROME (AHUS)","GB"
"2+","Yes","No","No","Yes","No","No","No","2008-006954-17","AN OPEN-LABEL MULTI-CENTER CONTROLLED CLINICAL TRIAL OF ECULIZUMAB IN ADULT PATIENTS WITH PLASMA THERAPY-SENSITIVE ATYPICAL HEMOLYTIC UREMIC SYNDROME (AHUS)","FR"
"2+","Yes","No","No","Yes","No","No","No","2008-006954-17","AN OPEN-LABEL MULTI-CENTER CONTROLLED CLINICAL TRIAL OF ECULIZUMAB IN ADULT PATIENTS WITH PLASMA THERAPY-SENSITIVE ATYPICAL HEMOLYTIC UREMIC SYNDROME (AHUS)","DE"
"2+","No","Yes","No","Yes","No","No","Yes","2015-002222-40","Randomized Placebo-Controlled Double Blind Phase 2 Study of Patritumab (U3-1287) in Combination with Cetuximab plus Platinum Based Therapy in First Line Setting in Subjects with Recurrent or Metastatic Squamous Cell Carcinoma of the Head and Neck","DE"
"2+","No","Yes","No","Yes","No","No","Yes","2015-002222-40","Randomized Placebo-Controlled Double Blind Phase 2 Study of Patritumab (U3-1287) in Combination with Cetuximab plus Platinum Based Therapy in First Line Setting in Subjects with Recurrent or Metastatic Squamous Cell Carcinoma of the Head and Neck","HU"
"2+","No","Yes","No","Yes","No","No","Yes","2015-002222-40","Randomized Placebo-Controlled Double Blind Phase 2 Study of Patritumab (U3-1287) in Combination with Cetuximab plus Platinum Based Therapy in First Line Setting in Subjects with Recurrent or Metastatic Squamous Cell Carcinoma of the Head and Neck","BE"
