"active_comparator","arms","controlled","crossover","design","double_blind","eudract_number","open","parallel_group","placebo","protocol_country_code","randomised","single_blind","title","open_gs","open_orig","arms_gs","arms_orig","double_blind_gs","double_blind_orig","single_blind_gs","single_blind_orig","controlled_gs","controlled_orig","parallel_group_gs","parallel_group_orig","crossover_gs","crossover_orig","randomised_gs","randomised_orig"
"","1","No","No","","No","2013-001903-36","Yes","No","","FR","No","No","A PHASE 2 MULTICENTER OPEN-LABEL STUDY TO DETERMINE THE EFFICACY AND SAFETY OF POMALIDOMIDE (CC-4047) IN COMBINATION WITH LOW-DOSE DEXAMETHASONE IN SUBJECTS WITH RELAPSED OR REFRACTORY MULTIPLE MYELOMA AND MODERATE OR SEVERE RENAL IMPAIRMENT INCLUDING SUBJECTS UNDERGOING HEMODIALYSIS","Yes","Yes","1","1","No","No","No","No","No","No","No","No","No","No","No","No"
"","1","No","No","","No","2013-001903-36","Yes","No","","GB","No","No","A PHASE 2 MULTICENTER OPEN-LABEL STUDY TO DETERMINE THE EFFICACY AND SAFETY OF POMALIDOMIDE (CC-4047) IN COMBINATION WITH LOW-DOSE DEXAMETHASONE IN SUBJECTS WITH RELAPSED OR REFRACTORY MULTIPLE MYELOMA AND MODERATE OR SEVERE RENAL IMPAIRMENT INCLUDING SUBJECTS UNDERGOING HEMODIALYSISΜία Φάσης ΙΙ Πολυκεντρική Ανοικτής Επισήμανσης Ερευνητικού Προϊόντος Κλινική Μελέτη για τον Προσδιορισμό της Αποτελεσματικότητας και της Ασφάλειας της Πομαλιδομίδης (CC-4047) σε Συνδυασμό με Χαμηλή Δόση Δεξαμεθαζόνης σε Ασθενείς με Υποτροπιάζον ή Ανθεκτικό Πολλαπλούν Μυέλωμα και Μέτρια έως Σοβαρή Νεφρική Ανεπάρκεια Συμπεριλαμβανόμενων Ασθενών Σε Αιμοκάθαρση","Yes","Yes","1","1","No","No","No","No","No","No","No","No","No","No","No","No"
"","1","No","No","","No","2013-001903-36","Yes","No","","NL","No","No","A PHASE 2 MULTICENTER OPEN-LABEL STUDY TO DETERMINE THE EFFICACY AND SAFETY OF POMALIDOMIDE (CC-4047) IN COMBINATION WITH LOW-DOSE DEXAMETHASONE IN SUBJECTS WITH RELAPSED OR REFRACTORY MULTIPLE MYELOMA AND MODERATE OR SEVERE RENAL IMPAIRMENT INCLUDING SUBJECTS UNDERGOING HEMODIALYSISΜία Φάσης ΙΙ Πολυκεντρική Ανοικτής Επισήμανσης Ερευνητικού Προϊόντος Κλινική Μελέτη για τον Προσδιορισμό της Αποτελεσματικότητας και της Ασφάλειας της Πομαλιδομίδης (CC-4047) σε Συνδυασμό με Χαμηλή Δόση Δεξαμεθαζόνης σε Ασθενείς με Υποτροπιάζον ή Ανθεκτικό Πολλαπλούν Μυέλωμα και Μέτρια έως Σοβαρή Νεφρική Ανεπάρκεια Συμπεριλαμβανόμενων Ασθενών Σε Αιμοκάθαρση","Yes","Yes","1","1","No","No","No","No","No","No","No","No","No","No","No","No"
"","1","No","No","ok","No","2013-001903-36","Yes","No","","GR","No","No","A PHASE 2 MULTICENTER OPEN-LABEL STUDY TO DETERMINE THE EFFICACY AND SAFETY OF POMALIDOMIDE (CC-4047) IN COMBINATION WITH LOW-DOSE DEXAMETHASONE IN SUBJECTS WITH RELAPSED OR REFRACTORY MULTIPLE MYELOMA AND MODERATE OR SEVERE RENAL IMPAIRMENT INCLUDING SUBJECTS UNDERGOING HEMODIALYSISΜία Φάσης ΙΙ Πολυκεντρική Ανοικτής Επισήμανσης Ερευνητικού Προϊόντος Κλινική Μελέτη για τον Προσδιορισμό της Αποτελεσματικότητας και της Ασφάλειας της Πομαλιδομίδης (CC-4047) σε Συνδυασμό με Χαμηλή Δόση Δεξαμεθαζόνης σε Ασθενείς με Υποτροπιάζον ή Ανθεκτικό Πολλαπλούν Μυέλωμα και Μέτρια έως Σοβαρή Νεφρική Ανεπάρκεια Συμπεριλαμβανόμενων Ασθενών Σε Αιμοκάθαρση","Yes","Yes","1","1","No","No","No","No","No","No","No","No","No","No","No","No"
"","1","No","No","","No","2013-001903-36","Yes","No","","ES","No","No","A PHASE 2 MULTICENTER OPEN-LABEL STUDY TO DETERMINE THE EFFICACY AND SAFETY OF POMALIDOMIDE (CC-4047) IN COMBINATION WITH LOW-DOSE DEXAMETHASONE IN SUBJECTS WITH RELAPSED OR REFRACTORY MULTIPLE MYELOMA AND MODERATE OR SEVERE RENAL IMPAIRMENT INCLUDING SUBJECTS UNDERGOING HEMODIALYSISΜία Φάσης ΙΙ Πολυκεντρική Ανοικτής Επισήμανσης Ερευνητικού Προϊόντος Κλινική Μελέτη για τον Προσδιορισμό της Αποτελεσματικότητας και της Ασφάλειας της Πομαλιδομίδης (CC-4047) σε Συνδυασμό με Χαμηλή Δόση Δεξαμεθαζόνης σε Ασθενείς με Υποτροπιάζον ή Ανθεκτικό Πολλαπλούν Μυέλωμα και Μέτρια έως Σοβαρή Νεφρική Ανεπάρκεια Συμπεριλαμβανόμενων Ασθενών Σε Αιμοκάθαρση","Yes","Yes","1","1","No","No","No","No","No","No","No","No","No","No","No","No"
"","1","No","No","","No","2013-001903-36","Yes","No","","IT","No","No","A PHASE 2 MULTICENTER OPEN-LABEL STUDY TO DETERMINE THE EFFICACY AND SAFETY OF POMALIDOMIDE (CC-4047) IN COMBINATION WITH LOW-DOSE DEXAMETHASONE IN SUBJECTS WITH RELAPSED OR REFRACTORY MULTIPLE MYELOMA AND MODERATE OR SEVERE RENAL IMPAIRMENT INCLUDING SUBJECTS UNDERGOING HEMODIALYSISΜία Φάσης ΙΙ Πολυκεντρική Ανοικτής Επισήμανσης Ερευνητικού Προϊόντος Κλινική Μελέτη για τον Προσδιορισμό της Αποτελεσματικότητας και της Ασφάλειας της Πομαλιδομίδης (CC-4047) σε Συνδυασμό με Χαμηλή Δόση Δεξαμεθαζόνης σε Ασθενείς με Υποτροπιάζον ή Ανθεκτικό Πολλαπλούν Μυέλωμα και Μέτρια έως Σοβαρή Νεφρική Ανεπάρκεια Συμπεριλαμβανόμενων Ασθενών Σε Αιμοκάθαρση","Yes","Yes","1","1","No","No","No","No","No","No","No","No","No","No","No","No"
"No","2+","Yes","No","ok","Yes","2009-017946-30","No","Yes","Yes","LV","Yes","No","A Phase 3 Randomized Double-Blind Trial of Pegylated Liposomal Doxorubicin (PLD) Plus AMG 386 or Placebo in Women With Recurrent Partially Platinum Sensitive or Resistant Epithelial Ovarian Primary Peritoneal or Fallopian Tube CancerΜία Φάσης 3 Τυχαιοποιημένη Διπλά Τυφλή Μελέτη της Πεγκυλιωμένης Λιποσωμικής Δοξορουβικίνης (PLD) σε Συνδυασμό με AMG 386 ή Εικονικό Φάρμακο σε Γυναίκες με Υποτροπιάζοντα Μερικώς Ευαίσθητο ή Ανθεκτικό στην Πλατίνη Επιθηλιακό Καρκίνο των Ωοθηκών Πρωτοπαθή Καρκίνο του Περιτοναίου ή Καρκίνο των Σαλπίγγων","No","No","2+","2+","Yes","Yes","No","No","Yes","Yes","Yes","Yes","No","No","Yes","Yes"
"No","2+","Yes","No","ok","Yes","2009-017946-30","No","Yes","Yes","IT","Yes","No","A Phase 3 Randomized Double-Blind Trial of Pegylated Liposomal Doxorubicin (PLD) Plus AMG 386 or Placebo in Women With Recurrent Partially Platinum Sensitive or Resistant Epithelial Ovarian Primary Peritoneal or Fallopian Tube Cancer","No","No","2+","2+","Yes","Yes","No","No","Yes","Yes","Yes","Yes","No","No","Yes","Yes"
"No","2+","Yes","No","ok","Yes","2009-017946-30","No","Yes","Yes","SK","Yes","No","A Phase 3 Randomized Double-Blind Trial of Pegylated Liposomal Doxorubicin (PLD) Plus AMG 386 or Placebo in Women With Recurrent Partially Platinum Sensitive or Resistant Epithelial Ovarian Primary Peritoneal or Fallopian Tube Cancer","No","No","2+","2+","Yes","Yes","No","No","Yes","Yes","Yes","Yes","No","No","Yes","Yes"
"No","2+","Yes","No","ok","Yes","2009-017946-30","No","Yes","Yes","GB","Yes","No","A Phase 3 Randomized Double-Blind Trial of Pegylated Liposomal Doxorubicin (PLD) Plus AMG 386 or Placebo in Women With Recurrent Partially Platinum Sensitive or Resistant Epithelial Ovarian Primary Peritoneal or Fallopian Tube CancerΜία Φάσης 3 Τυχαιοποιημένη Διπλά Τυφλή Μελέτη της Πεγκυλιωμένης Λιποσωμικής Δοξορουβικίνης (PLD) σε Συνδυασμό με AMG 386 ή Εικονικό Φάρμακο σε Γυναίκες με Υποτροπιάζοντα Μερικώς Ευαίσθητο ή Ανθεκτικό στην Πλατίνη Επιθηλιακό Καρκίνο των Ωοθηκών Πρωτοπαθή Καρκίνο του Περιτοναίου ή Καρκίνο των Σαλπίγγων","No","No","2+","2+","Yes","Yes","No","No","Yes","Yes","Yes","Yes","No","No","Yes","Yes"
"No","2+","Yes","No","ok","Yes","2009-017946-30","No","Yes","Yes","ES","Yes","No","A Phase 3 Randomized Double-Blind Trial of Pegylated Liposomal Doxorubicin (PLD) Plus AMG 386 or Placebo in Women With Recurrent Partially Platinum Sensitive or Resistant Epithelial Ovarian Primary Peritoneal or Fallopian Tube CancerΜία Φάσης 3 Τυχαιοποιημένη Διπλά Τυφλή Μελέτη της Πεγκυλιωμένης Λιποσωμικής Δοξορουβικίνης (PLD) σε Συνδυασμό με AMG 386 ή Εικονικό Φάρμακο σε Γυναίκες με Υποτροπιάζοντα Μερικώς Ευαίσθητο ή Ανθεκτικό στην Πλατίνη Επιθηλιακό Καρκίνο των Ωοθηκών Πρωτοπαθή Καρκίνο του Περιτοναίου ή Καρκίνο των Σαλπίγγων","No","No","2+","2+","Yes","Yes","No","No","Yes","Yes","Yes","Yes","No","No","Yes","Yes"
"No","2+","Yes","No","ok","Yes","2009-017946-30","No","Yes","Yes","AT","Yes","No","A Phase 3 Randomized Double-Blind Trial of Pegylated Liposomal Doxorubicin (PLD) Plus AMG 386 or Placebo in Women With Recurrent Partially Platinum Sensitive or Resistant Epithelial Ovarian Primary Peritoneal or Fallopian Tube Cancer","No","No","2+","2+","Yes","Yes","No","No","Yes","Yes","Yes","Yes","No","No","Yes","Yes"
"No","2+","Yes","No","ok","Yes","2009-017946-30","No","Yes","Yes","DE","Yes","No","A Phase 3 Randomized Double-Blind Trial of Pegylated Liposomal Doxorubicin (PLD) Plus AMG 386 or Placebo in Women With Recurrent Partially Platinum Sensitive or Resistant Epithelial Ovarian Primary Peritoneal or Fallopian Tube CancerΜία Φάσης 3 Τυχαιοποιημένη Διπλά Τυφλή Μελέτη της Πεγκυλιωμένης Λιποσωμικής Δοξορουβικίνης (PLD) σε Συνδυασμό με AMG 386 ή Εικονικό Φάρμακο σε Γυναίκες με Υποτροπιάζοντα Μερικώς Ευαίσθητο ή Ανθεκτικό στην Πλατίνη Επιθηλιακό Καρκίνο των Ωοθηκών Πρωτοπαθή Καρκίνο του Περιτοναίου ή Καρκίνο των Σαλπίγγων","No","No","2+","2+","Yes","Yes","No","No","Yes","Yes","Yes","Yes","No","No","Yes","Yes"
"No","2+","Yes","No","ok","Yes","2009-017946-30","No","Yes","Yes","BE","Yes","No","A Phase 3 Randomized Double-Blind Trial of Pegylated Liposomal Doxorubicin (PLD) Plus AMG 386 or Placebo in Women With Recurrent Partially Platinum Sensitive or Resistant Epithelial Ovarian Primary Peritoneal or Fallopian Tube Cancer","No","No","2+","2+","Yes","Yes","No","No","Yes","Yes","Yes","Yes","No","No","Yes","Yes"
"No","2+","Yes","No","ok","Yes","2009-017946-30","No","Yes","Yes","HU","Yes","No","A Phase 3 Randomized Double-Blind Trial of Pegylated Liposomal Doxorubicin (PLD) Plus AMG 386 or Placebo in Women With Recurrent Partially Platinum Sensitive or Resistant Epithelial Ovarian Primary Peritoneal or Fallopian Tube Cancer","No","No","2+","2+","Yes","Yes","No","No","Yes","Yes","Yes","Yes","No","No","Yes","Yes"
"No","2+","Yes","No","ok","Yes","2009-017946-30","No","Yes","Yes","DK","Yes","No","A Phase 3 Randomized Double-Blind Trial of Pegylated Liposomal Doxorubicin (PLD) Plus AMG 386 or Placebo in Women With Recurrent Partially Platinum Sensitive or Resistant Epithelial Ovarian Primary Peritoneal or Fallopian Tube Cancer","No","No","2+","2+","Yes","Yes","No","No","Yes","Yes","Yes","Yes","No","No","Yes","Yes"
"No","2+","Yes","No","ok","Yes","2009-017946-30","No","Yes","Yes","GR","Yes","No","A Phase 3 Randomized Double-Blind Trial of Pegylated Liposomal Doxorubicin (PLD) Plus AMG 386 or Placebo in Women With Recurrent Partially Platinum Sensitive or Resistant Epithelial Ovarian Primary Peritoneal or Fallopian Tube Cancer","No","No","2+","2+","Yes","Yes","No","No","Yes","Yes","Yes","Yes","No","No","Yes","Yes"
"No","2+","Yes","No","ok","Yes","2009-017946-30","No","Yes","Yes","PL","Yes","No","A Phase 3 Randomized Double-Blind Trial of Pegylated Liposomal Doxorubicin (PLD) Plus AMG 386 or Placebo in Women With Recurrent Partially Platinum Sensitive or Resistant Epithelial Ovarian Primary Peritoneal or Fallopian Tube Cancer","No","No","2+","2+","Yes","Yes","No","No","Yes","Yes","Yes","Yes","No","No","Yes","Yes"
"No","2+","Yes","No","ok","Yes","2009-017946-30","No","Yes","Yes","FR","Yes","No","A Phase 3 Randomized Double-Blind Trial of Pegylated Liposomal Doxorubicin (PLD) Plus AMG 386 or Placebo in Women With Recurrent Partially Platinum Sensitive or Resistant Epithelial Ovarian Primary Peritoneal or Fallopian Tube CancerΜία Φάσης 3 Τυχαιοποιημένη Διπλά Τυφλή Μελέτη της Πεγκυλιωμένης Λιποσωμικής Δοξορουβικίνης (PLD) σε Συνδυασμό με AMG 386 ή Εικονικό Φάρμακο σε Γυναίκες με Υποτροπιάζοντα Μερικώς Ευαίσθητο ή Ανθεκτικό στην Πλατίνη Επιθηλιακό Καρκίνο των Ωοθηκών Πρωτοπαθή Καρκίνο του Περιτοναίου ή Καρκίνο των Σαλπίγγων","No","No","2+","2+","Yes","Yes","No","No","Yes","Yes","Yes","Yes","No","No","Yes","Yes"
"No","2+","Yes","No","ok","No","2009-015114-22","No","Yes","Yes","DE","Yes","Yes","A randomized controlled single-blind proof- of- concept-study to investigate the protective effects of early treatment with C.E.R.A. in patients with chronic kidney disease on renal disease progression (PRIMAVERA-Study)","No","No","2+","2+","No","No","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Yes","Yes"
"Yes","2+","Yes","No","ok","Yes","2012-002751-42","No","Yes","Yes","DK","Yes","No","A randomized double-blind placebo-controlled phase 3 study of brentuximab vedotin and CHP (A+CHP) versus CHOP in the frontline treatment of patients with CD30-positive mature T-cell lymphomasRandomizovaná dvojitě zaslepená placebem kontrolovaná studie fáze 3 zkoumající brentuximab vedotin spolu s chemoterapií  CHP (A-CHP) oproti chemoterapii CHOP v úvodní léčbě pacientů s CD30-pozitivními zralými T- buněčnými lymfomy","No","No","2+","2+","Yes","Yes","No","No","Yes","Yes","Yes","Yes","No","No","Yes","Yes"
"Yes","2+","Yes","No","ok","Yes","2012-002751-42","No","Yes","Yes","ES","Yes","No","A randomized double-blind placebo-controlled phase 3 study of brentuximab vedotin and CHP (A+CHP) versus CHOP in the frontline treatment of patients with CD30-positive mature T-cell lymphomas","No","No","2+","2+","Yes","Yes","No","No","Yes","Yes","Yes","Yes","No","No","Yes","Yes"
"Yes","2+","Yes","No","ok","Yes","2012-002751-42","No","Yes","Yes","IT","Yes","No","A randomized double-blind placebo-controlled phase 3 study of brentuximab vedotin and CHP (A+CHP) versus CHOP in the frontline treatment of patients with CD30-positive mature T-cell lymphomasEstudio de fase III aleatorizado doble ciego y controlado con placebo de brentuximab vedotina y CHP (A+CHP) en comparación con CHOP como tratamiento de primera línea de los linfomas de células T maduras CD30-positivos","No","No","2+","2+","Yes","Yes","No","No","Yes","Yes","Yes","Yes","No","No","Yes","Yes"
"Yes","2+","Yes","No","ok","Yes","2012-002751-42","No","Yes","Yes","CZ","Yes","No","A randomized double-blind placebo-controlled phase 3 study of brentuximab vedotin and CHP (A+CHP) versus CHOP in the frontline treatment of patients with CD30-positive mature T-cell lymphomasEstudio de fase III aleatorizado doble ciego y controlado con placebo de brentuximab vedotina y CHP (A+CHP) en comparación con CHOP como tratamiento de primera línea de los linfomas de células T maduras CD30-positivos","No","No","2+","2+","Yes","Yes","No","No","Yes","Yes","Yes","Yes","No","No","Yes","Yes"
"Yes","2+","Yes","No","ok","Yes","2012-002751-42","No","Yes","Yes","HU","Yes","No","A randomized double-blind placebo-controlled phase 3 study of brentuximab vedotin and CHP (A+CHP) versus CHOP in the frontline treatment of patients with CD30-positive mature T-cell lymphomasStudio di fase 3 randomizzato in doppio cieco controllato con placebo su brentuximab vedotin e CHP (A+CHP) rispetto a CHOP nel trattamento di prima linea di pazienti con linfomi a cellule T mature CD30-positivi","No","No","2+","2+","Yes","Yes","No","No","Yes","Yes","Yes","Yes","No","No","Yes","Yes"
"Yes","2+","Yes","No","ok","Yes","2012-002751-42","No","Yes","Yes","DE","Yes","No","A randomized double-blind placebo-controlled phase 3 study of brentuximab vedotin and CHP (A+CHP) versus CHOP in the frontline treatment of patients with CD30-positive mature T-cell lymphomasEstudio de fase III aleatorizado doble ciego y controlado con placebo de brentuximab vedotina y CHP (A+CHP) en comparación con CHOP como tratamiento de primera línea de los linfomas de células T maduras CD30-positivos","No","No","2+","2+","Yes","Yes","No","No","Yes","Yes","Yes","Yes","No","No","Yes","Yes"
"No","2+","Yes","No","ok","Yes","2014-000106-35","No","Yes","Yes","GB","Yes","No","A PHASE III MULTICENTER RANDOMIZED DOUBLE-MASKED SHAM-CONTROLLED STUDY TO ASSESS THE EFFICACY AND SAFETY OF LAMPALIZUMAB ADMINISTERED INTRAVITREALLY TO PATIENTS WITH GEOGRAPHIC ATROPHY SECONDARY TO AGE-RELATED MACULAR DEGENERATIONESTUDIO DE FASE III MULTICÉNTRICO RANDOMIZADO CON DOBLE ENMASCARAMIENTO CONTROLADO CON  SIMULACIÓN PARA EVALUAR LA EFICACIA Y SEGURIDAD DE LAMPALIZUMAB ADMINISTRADO EN INYECCIÓN INTRAVÍTREA A PACIENTES CON ATROFIA GEOGRÁFICA SECUNDARIA A DEGENERACIÓN MACULAR RELACIONADA CON LA EDAD .","No","No","2+","2+","Yes","Yes","No","No","Yes","Yes","Yes","Yes","No","No","Yes","Yes"
