"eudract_number","open","single_blind","double_blind","randomised","crossover","parallel_group","arms","controlled","protocol_country_code"
"2004-000232-91","Yes","No","No","Yes","No","Yes","2+","Yes","ES"
"2004-000232-91","Information not present in EudraCT","Information not present in EudraCT","Yes","Yes","No","No","2+","Yes","FI"
"2004-000232-91","Yes","No","No","Yes","No","Yes","2+","Yes","IT"
"2004-001307-35","Yes","No","No","Yes","No","Yes","2+","Yes","GB"
"2004-002203-32","Yes","No","No","Yes","No","Yes","2+","Yes","GB"
"2004-002203-32","Yes","No","No","Yes","No","Yes","2+","Yes","HU"
"2004-002203-32","Yes","No","No","Yes","No","Yes","2+","Yes","DE"
"2004-002203-32","Yes","No","No","Yes","No","Yes","2+","Yes","IT"
"2004-002203-32","Yes","No","No","Yes","No","Yes","2+","Yes","BE"
"2004-002203-32","Yes","No","No","Yes","No","Yes","2+","Yes","AT"
"2005-000454-73","No","No","Yes","Yes","No","Yes","2+","Yes","BE"
"2005-000454-73","No","No","Yes","Yes","No","Yes","2+","Yes","IT"
"2005-000454-73","No","No","Yes","Yes","No","Yes","2+","Yes","GB"
"2005-000454-73","No","No","Yes","Yes","No","Yes","2+","Yes","ES"
"2005-000454-73","No","No","Yes","Yes","No","Yes","2+","Yes","SE"
"2005-000454-73","No","No","Yes","Yes","No","Yes","2+","Yes","DE"
"2005-001678-28","No","No","Yes","Yes","No","Yes","2+","Yes","DE"
"2005-001747-29","No","No","Yes","Yes","No","Yes","2+","Yes","DE"
"2005-001747-29","No","No","Yes","Yes","No","Yes","2+","Yes","FR"
"2005-001747-29","No","No","Yes","Yes","No","Yes","2+","Yes","CZ"
"2005-001747-29","No","No","Yes","Yes","No","Yes","2+","Yes","GR"
"2005-001747-29","No","No","Yes","Yes","No","Yes","2+","Yes","IT"
"2005-001747-29","No","No","Yes","Yes","No","Yes","2+","Yes","HU"
"2005-001747-29","No","No","Yes","Yes","No","Yes","2+","Yes","ES"
"2005-001747-29","No","No","Yes","Yes","No","Yes","2+","Yes","GB"
"2005-001747-29","No","No","Yes","Yes","No","Yes","2+","Yes","BE"
"2005-001747-29","No","No","Yes","Yes","No","Yes","2+","Yes","AT"
"2005-002524-34","Yes","Information not present in EudraCT","Information not present in EudraCT","No","No","No","2+","No","DK"
"2005-002524-34","Yes","Information not present in EudraCT","Information not present in EudraCT","No","No","No","2+","No","SE"
"2005-002524-34","Yes","Information not present in EudraCT","Information not present in EudraCT","No","No","No","2+","No","AT"
"2005-002524-34","Yes","Information not present in EudraCT","Information not present in EudraCT","No","No","No","2+","No","ES"
"2005-002524-34","Yes","Information not present in EudraCT","Information not present in EudraCT","No","No","No","2+","No","DE"
"2005-002524-34","Yes","Information not present in EudraCT","Information not present in EudraCT","No","No","No","2+","No","PT"
"2005-002524-34","Yes","Information not present in EudraCT","Information not present in EudraCT","No","No","No","2+","No","BE"
"2005-002618-40","Yes","No","No","Yes","No","No","2+","Yes","DE"
"2005-002796-32","No","No","Yes","Yes","No","Yes","2+","Yes","DE"
"2005-003440-66","Information not present in EudraCT","Information not present in EudraCT","Yes","Yes","No","Yes","2+","Yes","CZ"
"2005-003440-66","Information not present in EudraCT","Information not present in EudraCT","Yes","Yes","No","Yes","2+","Yes","MT"
"2005-003440-66","Information not present in EudraCT","Information not present in EudraCT","Yes","Yes","No","Yes","2+","Yes","AT"
"2005-003440-66","Information not present in EudraCT","Information not present in EudraCT","Yes","Yes","No","Yes","2+","Yes","SK"
"2005-003440-66","No","No","Yes","Yes","No","Yes","2+","Yes","FI"
"2005-003440-66","Information not present in EudraCT","Information not present in EudraCT","Yes","Yes","No","Yes","2+","Yes","BE"
"2005-003440-66","No","No","Yes","Yes","No","Yes","2+","Yes","IT"
"2005-003440-66","Information not present in EudraCT","Information not present in EudraCT","Yes","Yes","No","Yes","2+","Yes","GB"
"2005-003440-66","Information not present in EudraCT","Information not present in EudraCT","Yes","Yes","No","Yes","2+","Yes","DE"
"2005-003440-66","Information not present in EudraCT","Information not present in EudraCT","Yes","Yes","No","Yes","2+","Yes","LV"
"2005-003440-66","Information not present in EudraCT","Information not present in EudraCT","Yes","Yes","No","Yes","2+","Yes","HU"
"2005-003484-23","Yes","No","No","Yes","No","Yes","2+","Yes","DE"
"2005-003593-16","No","No","Yes","Yes","No","Yes","2+","Yes","SE"
"2005-003593-16","No","No","Yes","Yes","No","Yes","2+","Yes","HU"
"2005-003593-16","No","No","Yes","Yes","No","Yes","2+","Yes","DE"
"2005-004094-25","Yes","No","No","Yes","No","Yes","2+","Yes","DK"
"2005-004094-25","Yes","No","No","Yes","No","Yes","2+","Yes","AT"
"2005-004094-25","Yes","No","No","Yes","No","Yes","2+","Yes","ES"
"2005-004094-25","Yes","No","No","Yes","No","Yes","2+","Yes","FI"
"2005-004094-25","Yes","No","No","Yes","No","Yes","2+","Yes","GR"
"2005-004094-25","Yes","No","No","Yes","No","Yes","2+","Yes","SK"
"2005-004094-25","Yes","No","No","Yes","No","Yes","2+","Yes","GB"
"2005-004094-25","Yes","No","No","Yes","No","Yes","2+","Yes","IT"
"2005-004094-25","Yes","No","No","Yes","No","Yes","2+","Yes","BE"
"2005-004094-25","Yes","No","No","Yes","No","Yes","2+","Yes","IE"
"2005-004094-25","Yes","No","No","Yes","No","Yes","2+","Yes","SE"
"2005-004094-25","Yes","No","No","Yes","No","Yes","2+","Yes","CZ"
"2005-004094-25","Yes","No","No","Yes","No","Yes","2+","Yes","HU"
"2005-004094-25","Yes","No","No","Yes","No","Yes","2+","Yes","PT"
"2005-004094-25","Yes","No","No","Yes","No","Yes","2+","Yes","DE"
"2005-004944-30","Yes","No","No","No","No","No","2+","No","DE"
"2005-005077-29","No","No","Yes","Yes","No","Yes","2+","Yes","IT"
"2005-005077-29","No","No","Yes","Yes","No","Yes","2+","Yes","ES"
"2005-005077-29","No","No","Yes","Yes","No","Yes","2+","Yes","DK"
"2005-005077-29","No","No","Yes","Yes","No","Yes","2+","Yes","FR"
"2005-005077-29","No","No","Yes","Yes","No","Yes","2+","Yes","SE"
"2005-005077-29","No","No","Yes","Yes","No","Yes","2+","Yes","HU"
"2005-005077-29","No","No","Yes","Yes","No","Yes","2+","Yes","PT"
"2005-005077-29","No","No","Yes","Yes","No","Yes","2+","Yes","GB"
