"elderly","adults","adolescents","children","female","male","healthy_volunteers","inclusion","eudract_number","protocol_country_code"
1.0,1.0,0.0,0.0,1.0,1.0,0.0,"Willingness and the ability to provide signed informed consent  additionally  at U S  sites  patients must provide Health Insurance Portability and Accountability Act  HIPAA  authorization  and in other countries  as applicable according to national laws   Participants aged     50 years Ocular Inclusion Criteria  Study Eye   Well demarcated area s  of GA secondary to AMD with no evidence of prior or active choroidal neovascularization  CNV    BCVA letter score superior or equal to 49 letters  Snellen equivalent of 20 100 or better  using ETDRS charts at starting distance of 4 m If BCVA letter score is superior or equal to 79 letters  Snellen equivalent of 20 25 or better   at least one GA lesion must be within 250 micrometers of the foveal centre","2014-000106-35","PT"
1.0,1.0,0.0,0.0,1.0,1.0,0.0,"Willingness and the ability to provide signed informed consent  additionally  at U S  sites  patients must provide Health Insurance Portability and Accountability Act  HIPAA  authorization  and in other countries  as applicable according to national laws   Participants aged     50 years Ocular Inclusion Criteria  Study Eye   Well demarcated area s  of GA secondary to AMD with no evidence of prior or active choroidal neovascularization  CNV    BCVA letter score superior or equal to 49 letters  Snellen equivalent of 20 100 or better  using ETDRS charts at starting distance of 4 m If BCVA letter score is superior or equal to 79 letters  Snellen equivalent of 20 25 or better   at least one GA lesion must be within 250 micrometers of the foveal centre","2014-000106-35","HU"
1.0,1.0,0.0,0.0,1.0,1.0,0.0,"Willingness to provide signed informed consent  additionally  at U S  sites  patients must provide Health Insurance Portability and Accountability Act  HIPAA  authorization  and in other countries  as applicable according to national laws   Participants aged     50 years Ocular Inclusion Criteria  Study Eye   Well demarcated area s  of GA secondary to AMD with no evidence of prior or active choroidal neovascularization  CNV","2014-000106-35","FR"
1.0,1.0,0.0,0.0,1.0,1.0,0.0,"Willingness to provide signed informed consent  additionally  at U S  sites  patients must provide Health Insurance Portability and Accountability Act  HIPAA  authorization  and in other countries  as applicable according to national laws   Participants aged     50 years Ocular Inclusion Criteria  Study Eye   Well demarcated area s  of GA secondary to AMD with no evidence of prior or active choroidal neovascularization  CNV    BCVA of 20 100 or better  Snellen equivalent  using ETDRS charts at starting distance of 4 m If BCVA is superior or equal to 20 25  at least one GA lesion must be within 250 micrometers of the foveal centre","2014-000106-35","IT"
1.0,1.0,0.0,0.0,1.0,1.0,0.0,"Willingness to provide signed informed consent  additionally  at U S  sites  patients must provide Health Insurance Portability and Accountability Act  HIPAA  authorization  and in other countries  as applicable according to national laws   Participants aged     50 years Ocular Inclusion Criteria  Study Eye   Well demarcated area s  of GA secondary to AMD with no evidence of prior or active choroidal neovascularization  CNV    BCVA of 20 100 or better  Snellen equivalente  using ETDRS charst at starting distance of 4 m If BCVA is superior or equal to 20 25  at least one GA lesion must be within 250 micrometers of the foveal centre   Disposición para otorgar el consentimiento informado firmado  Además  en los centros de EE UU   los pacientes deben proporcionar la autorización de la Health Insurance Portability and Accountability Act  HIPAA  y en otros países  las autorizaciones que sean pertinentes de acuerdo con las leyes nacionales    Tener     50 años de edad Criterios de inclusión oculares  Ojo en estudio   Área o áreas bien delimitadas de AG secundaria a DMAE  sin evidencia de NVC previa o activa   MAVC de 20 100 o mejor  en equivalentes de Snellen  utilizando cartillas ETDRS a una distancia inicial de 4 m Si MAVC es  20 25  como mínimo una lesión de AG debe estar en 250 µm del centro de la fóvea","2014-000106-35","ES"
1.0,1.0,0.0,0.0,1.0,1.0,0.0,"1  Male or female patients   18 years of age who have been diagnosed with aHUS  2  Patients must be receiving PT for aHUS and must be observed to  i  receive  1 PT treatment every two weeks and no more than 3 PT treatments week  at an unchanged frequency  for at least 8 weeks before the first dose of Investigational Product  3  Platelet Count Pre PT Baseline Set Point  collected in the hours before the Qualifying PT Episode  is within 75  of the average of the pre PT platelet counts collected at Screening and during the Observation Period  4  Known complement regulatory protein genetic abnormality  i e   a mutation in Complement Protein 3  factor H or associated factor  factor I  or membrane cofactor protein  MCP  or known Factor B gain of function mutation  or known anti CFH antibody   aHUS lesions      Patients diagnosed with aHUS with any of these aHUS lesions are eligible and will be assigned to one of the following parallel categories during the treatment period of the trial     Category 1  Factor H or factor I functional deficiency  abnormal factor interaction  CFH CFI FFP Group   or deletions of the CFHR1 and CFHR3 genes     Category 2  Complement Protein 3  abnormal factor interaction  C3  or Factor B Gain of Function     Category 3  Anti CFH Antibody  anti CFH Group      Category 4  MCP deficiency  MCP Group   5  Patients diagnosed with aHUS without documented complement regulatory protein genetic abnormality or known anti CFH antibody are eligible if other etiologies of hemolytic uremic syndrome  HUS  have been ruled out as confirmed in the Exclusion Criteria  i e   including Shiga toxin negative  non infectious  non drug exposure  related  e g   cyclosporine    no known HIV positivity  and antiphospholipid antibody negative   Patients meeting these conditions will be assigned to Category 5  In addition  these patients will undergo genetic testing to determine if a mutation can be identified  If a mutation is identified  the patient will be reassigned to the appropriate category  6  Lactate dehydrogenase  LDH  at screening or at the onset of the current aHUS episode was   ULN  If LDH is normal at screening  other markers indicative of ongoing hemolysis should be evaluated  such as haptoglobin  schistocytes  and discussed with the Sponsor  7  Creatinine level   ULN for age  8  Female patients of childbearing potential must be practicing an effective  reliable and medically approved contraceptive regimen during the entire duration of the study  including the follow up period  At the time of the last follow up visit  patients will be counseled by the PI or designated study staff that they must continue to use adequate contraception methods for up to 5 months following discontinuation of eculizumab treatment  9  Able to give written informed consent  10  Able and willing to comply with study procedures","2008-006954-17","AT"
1.0,1.0,0.0,0.0,1.0,1.0,0.0,"1  Male or female patients   18 years of age who have been diagnosed with aHUS  2  Patients must be receiving PT for aHUS and must be observed to  i  receive  1 PT treatment every two weeks and no more than 3 PT treatments week  at an unchanged frequency  for at least 8 weeks before the first dose of Investigational Product  3  Platelet Count Pre PT Baseline Set Point  collected in the hours before the Qualifying PT Episode  is within 75  of the average of the pre PT platelet counts collected at Screening and during the Observation Period  4  Known complement regulatory protein genetic abnormality  i e   a mutation in Complement Protein 3  factor H or associated factor  factor I  or membrane cofactor protein  MCP  or known Factor B gain of function mutation  or known anti CFH antibody   aHUS lesions      Patients diagnosed with aHUS with any of these aHUS lesions are eligible and will be assigned to one of the following parallel categories during the treatment period of the trial     Category 1  Factor H or factor I functional deficiency  abnormal factor interaction  CFH CFI FFP Group   or deletions of the CFHR1 and CFHR3 genes     Category 2  Complement Protein 3  abnormal factor interaction  C3  or Factor B Gain of Function     Category 3  Anti CFH Antibody  anti CFH Group      Category 4  MCP deficiency  MCP Group   5  Patients diagnosed with aHUS without documented complement regulatory protein genetic abnormality or known anti CFH antibody are eligible if other etiologies of hemolytic uremic syndrome  HUS  have been ruled out as confirmed in the Exclusion Criteria  i e   including Shiga toxin negative  non infectious  non drugexposure  related  e g   cyclosporine    no known HIV positivity  and antiphospholipid antibody negative   Patients meeting these conditions will be assigned to Category 5  In addition  these patients will undergo genetic testing to determine if a mutation can be identified  If a mutation is identified  the patient will be reassigned to the appropriate category  6  Lactate dehydrogenase  LDH  at screening or at the onset of the current aHUS episode was   ULN  If LDH is normal at screening  other markers indicative of ongoing hemolysis should be evaluated  such as haptoglobin  schistocytes  and discussed with the Sponsor  7  Creatinine level   ULN for age  8  Female patients of childbearing potential must be practicing an effective  reliable and medically approved contraceptive regimen during the entire duration of the study  including the follow up period  At the time of the last follow up visit  patients will be counseled by the PI or designated study staff that they must continue to use adequate contraception methods for up to 5 months following discontinuation of eculizumab treatment  9  Able to give written informed consent  10  Able and willing to comply with study procedures","2008-006954-17","SE"
1.0,1.0,0.0,0.0,1.0,1.0,0.0,"1  Male or female patients   18 years of age who have been diagnosed with aHUS  2  Patients must be receiving PT for aHUS and must be observed to  i  receive  1 PT treatment every two weeks and no more than 3 PT treatments week  at an unchanged frequency  for at least 8 weeks before the first dose of Investigational Product  3  Platelet Count Pre PT Baseline Set Point  collected in the hours before the Qualifying PT Episode  is within 75  of the average of the pre PT platelet counts collected at Screening and during the Observation Period  4  Known complement regulatory protein genetic abnormality  i e   a mutation in Complement Protein 3  factor H or associated factor  factor I  or membrane cofactor protein  MCP  or known Factor B gain of function mutation  or known anti CFH antibody   aHUS lesions      Patients diagnosed with aHUS with any of these aHUS lesions are eligible and will be assigned to one of the following parallel categories during the treatment period of the trial     Category 1  Factor H or factor I functional deficiency  abnormal factor interaction  CFH CFI FFP Group   or deletions of the CFHR1 and CFHR3 genes     Category 2  Complement Protein 3  abnormal factor interaction  C3  or Factor B Gain of Function     Category 3  Anti CFH Antibody  anti CFH Group      Category 4  MCP deficiency  MCP Group   5  Patients diagnosed with aHUS without documented complement regulatory protein genetic abnormality or known anti CFH antibody are eligible if other etiologies of hemolytic uremic syndrome  HUS  have been ruled out as confirmed in the Exclusion Criteria  i e   including Shiga toxin negative  non infectious  non drugexposure related  e g   cyclosporine    no known HIV positivity  and antiphospholipid antibody negative   Patients meeting these conditions will be assigned to Category 5  In addition  these patients will undergo genetic testing to determine if a mutation can be identified  If a mutation is identified  the patient will be reassigned to the appropriate category  6  Lactate dehydrogenase  LDH  at screening or at the onset of the current aHUS episode was   ULN  If LDH is normal at screening  other markers indicative of ongoing hemolysis should be evaluated  such as haptoglobin  schistocytes  and discussed with the Sponsor  7  Creatinine level   ULN for age  8  Female patients of childbearing potential must be practicing an effective  reliable and medically approved contraceptive regimen during the entire duration of the study  including the follow up period  At the time of the last follow up visit  patients will be counseled by the PI or designated study staff that they must continue to use adequate contraception methods for up to 5 months following discontinuation of eculizumab treatment  9  Able to give written informed consent  10  Able and willing to comply with study procedures","2008-006954-17","DE"
1.0,1.0,0.0,0.0,1.0,1.0,0.0,"1  Male or female patients   8805 18 years of age who have been diagnosed with Atypical Hemolytic Uremic Syndrome  aHUS   2  Patients must be receiving PT for aHUS and must be observed to  i  receive   8805 1 PT treatment every two weeks and no more than 3 PT treatments week  at an unchanged frequency  for at least 8 weeks immediately prior to first dose of Investigational Product and  ii  receive the same volume of PP or PE and units of FFP for at least 8 weeks immediately prior to first dose of Investigational Product  3  Platelet Count Pre PT Baseline Set Point  collected immediately prior to the Qualifying PT Episode  is within 75  of the average of the pre PT platelet counts collected at Screening and during the Observation Period  4  Known complement regulatory protein genetic abnormality  i e   a mutation in Complement Protein 3  factor H or associated factor  factor I  or membrane cofactor protein 1  MCP 1  or known Factor B gain of function mutation  or known anti CFH antibody  aHUS lesions   Patients diagnosed with aHUS with any of these aHUS lesions are eligible and will be assigned to one of the following parallel categories during the treatment period of the trial    8722   Category 1  Complement Protein 3 or factor H or factor I functional deficiency or abnormal factor interaction  C3 CFH CFI FFP Group     8722   Category 2  Factor B Gain of Function     8722   Category 3  Anti CFH Antibody  Anti CFH Group     8722   Category 4  MCP 1 deficiency  MCP 1 Group   5  Patients diagnosed with HUS of the atypical type without documented complement regulatory protein genetic abnormality or known anti CFH antibody are eligible if other etiologies of HUS have been ruled out as confirmed in the Exclusion Criteria  i e   including Shiga toxin negative  non infectious  non drug exposure related  e g   cyclosporine    no known HIV positivity  and anti phospholipid antibody negative   Thrombotic thrombocytopenic purpura also must be ruled out  i e   ADAMTS 13 activity must be   5   see Exclusion Criteria   Patients meeting these conditions will be assigned to Category 5  In addition  these patients will undergo genetic testing to determine if a mutation can be identified  If a mutation is identified  the patient will be reassigned to the appropriate category  6  Lactate dehydrogenase  LDH  level   8805  ULN  7  Creatinine level   8805  ULN for age  8  Sexually active women of childbearing potential must be practicing an effective  reliable and medically acceptable contraceptive regimen during the entire duration of the study  including the follow up period  9  Able to give written informed consent  10  Able and willing to comply with study procedures","2008-006954-17","IT"
1.0,1.0,0.0,0.0,1.0,1.0,0.0,"1  Male or female patients  18 years of age who have been diagnosed with Atypical Hemolytic Uremic Syndrome  aHUS   2  Patients must be receiving PT for aHUS and must be observed to  i  receive  1 PT treatment every two weeks and no more than 3 PT treatments week  at an unchanged frequency  for at least 8 weeks immediately prior to first dose of Investigational Product and  ii  receive the same volume of PP or PE and units of FFP for at least 8 weeks immediately prior to first dose of Investigational Product  3  Platelet Count Pre PT Baseline Set Point  collected immediately prior to the Qualifying PT Episode  is within 75  of the average of the pre PT platelet counts collected at Screening and during the Observation Period  4  Known complement regulatory protein genetic abnormality  i e   a mutation in Complement Protein 3  factor H or associated factor  factor I  or membrane cofactor protein 1  MCP 1  or known Factor B gain of function mutation  or known anti CFH antibody   aHUS lesions      Patients diagnosed with aHUS with any of these aHUS lesions are eligible and will be assigned to one of the following parallel categories during the treatment period of the trial     Category 1  Complement Protein 3 or factor H or factor I functional deficiency or abnormal factor interaction  C3 CFH CFI FFP Group      Category 2  Factor B Gain of Function      Category 3  Anti CFH Antibody  Anti CFH Group      Category 4  MCP 1 deficiency  MCP 1 Group   5  Patients diagnosed with HUS of the atypical type without documented complement regulatory protein genetic abnormality or known anti CFH antibody are eligible if other etiologies of HUS have been ruled out as confirmed in the Exclusion Criteria  i e   including Shiga toxin negative  non infectious  non drug exposure related  e g   cyclosporine    no known HIV positivity  and anti phospholipid antibody negative   Thrombotic thrombocytopenic purpura also must be ruled out  i e   ADAMTS 13 activity must be   5   see Exclusion Criteria   Patients meeting these conditions will be assigned to Category 5  In addition  these patients will undergo genetic testing to determine if a mutation can be identified  If a mutation is identified  the patient will be reassigned to the appropriate category  6  Lactate dehydrogenase  LDH  level   ULN  7  Creatinine level   ULN for age  8  Sexually active women of childbearing potential must be practicing an effective  reliable and medically acceptable contraceptive regimen during the entire duration of the study  including the follow up period  9  Able to give written informed consent  10  Able and willing to comply with study procedures","2008-006954-17","FR"
