,_tid_,elderly,adults,adolescents,children,female,male,healthy_volunteers,eudract_number,protocol_country_code
0,0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2017-004295-55,pl
1,1,0.0,1.0,0.0,0.0,1.0,1.0,0.0,2011-006262-40,es
2,2,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2015-005019-34,nl
3,3,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2013-005575-41,gr
4,4,1.0,1.0,_nan_,_nan_,1.0,0.0,0.0,2005-003216-30,es
5,5,1.0,1.0,_nan_,_nan_,1.0,1.0,0.0,2010-020718-26,cz
6,6,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2013-003749-40,es
7,7,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2014-003757-33,it
8,8,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2016-004502-34,nl
9,9,1.0,0.0,0.0,0.0,1.0,1.0,1.0,2015-004400-30,de
10,10,0.0,1.0,0.0,0.0,1.0,1.0,0.0,2011-000311-34,gr
11,11,1.0,1.0,0.0,1.0,1.0,1.0,0.0,2014-001673-14,nl
12,12,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2008-006719-20,ee
13,13,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2013-003458-26,gb
14,14,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2011-002843-92,de
15,15,0.0,1.0,0.0,0.0,1.0,1.0,0.0,2007-007083-22,lt
16,16,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2005-004876-19,gb
17,17,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2012-000638-21,pl
18,18,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2013-002707-33,bg
19,19,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2015-004796-68,es
20,20,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2014-004869-24,fr
21,21,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2008-000881-22,it
22,22,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2015-002087-17,de
23,23,1.0,1.0,1.0,0.0,1.0,1.0,0.0,2017-001489-53,hu
24,24,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2017-001042-10,nl
25,25,0.0,1.0,0.0,0.0,1.0,1.0,0.0,2007-002627-32,se
26,26,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2013-000768-27,dk
27,27,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2014-003836-38,lt
28,28,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2011-002793-23,gb
29,29,0.0,0.0,1.0,1.0,1.0,1.0,0.0,2011-003069-14,dk
30,30,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2005-004330-40,es
31,31,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2010-018869-29,fr
32,32,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2012-003008-11,se
33,33,0.0,1.0,1.0,1.0,1.0,1.0,0.0,2011-005703-33,de
34,34,0.0,1.0,0.0,0.0,1.0,1.0,0.0,2010-023369-23,bg
35,35,0.0,0.0,1.0,1.0,1.0,1.0,0.0,2013-001694-24,fr
36,36,0.0,0.0,1.0,1.0,1.0,1.0,0.0,2012-005054-30,de
37,37,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2011-006181-41,pl
38,38,1.0,1.0,_nan_,_nan_,1.0,1.0,0.0,2008-005248-17,nl
39,39,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2012-002326-75,be
40,40,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2015-003701-42,sk
41,41,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2014-001589-85,nl
42,42,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2011-001493-25,es
43,43,1.0,1.0,_nan_,_nan_,1.0,1.0,0.0,2006-005783-67,es
44,44,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2014-000726-37,fr
45,45,1.0,1.0,_nan_,_nan_,1.0,1.0,0.0,2007-004251-12,fr
46,46,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2012-001056-19,es
47,47,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2015-000424-28,de
48,48,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2016-004734-22,be
49,49,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2012-002298-69,hu
50,50,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2014-001353-16,nl
51,51,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2010-023697-39,fr
52,52,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2011-001731-24,ee
53,53,0.0,1.0,_nan_,_nan_,1.0,1.0,1.0,2006-003004-19,at
54,54,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2009-017358-10,hu
55,55,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2017-003302-40,de
56,56,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2014-001286-28,fi
57,57,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2014-002275-28,si
58,58,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2016-000641-31,ee
59,59,0.0,1.0,1.0,1.0,1.0,1.0,0.0,2008-008008-42,it
60,60,0.0,0.0,1.0,1.0,1.0,1.0,0.0,2013-001291-38,gb
61,61,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2017-002763-18,de
62,62,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2009-016759-22,nl
63,63,1.0,1.0,_nan_,_nan_,1.0,1.0,0.0,2007-005134-36,se
64,64,1.0,1.0,_nan_,_nan_,1.0,1.0,0.0,2008-005364-14,fr
65,65,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2016-005020-29,es
66,66,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2011-000195-34,de
67,67,1.0,1.0,_nan_,_nan_,1.0,1.0,0.0,2005-005115-16,es
68,68,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2009-013668-38,fr
69,69,0.0,1.0,1.0,1.0,1.0,1.0,0.0,2016-004441-82,no
70,70,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2017-000632-34,dk
71,71,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2017-002144-33,lv
72,72,0.0,1.0,0.0,0.0,1.0,1.0,0.0,2009-017903-28,nl
73,73,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2014-000305-13,es
74,74,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2013-004269-15,es
75,75,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2016-003896-24,es
76,76,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2016-004374-18,pt
77,77,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2016-001341-41,fr
78,78,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2013-000965-34,es
79,79,0.0,0.0,1.0,1.0,1.0,1.0,0.0,2011-000987-92,cz
80,80,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2007-002586-12,se
81,81,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2010-020369-26,de
82,82,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2008-007157-12,it
83,83,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2014-001718-25,nl
84,84,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2009-011992-61,es
85,85,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2011-002715-28,it
86,86,1.0,1.0,1.0,0.0,1.0,1.0,0.0,2010-022636-37,it
87,87,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2011-004419-22,sk
88,88,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2010-020454-34,pt
89,89,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2014-001589-85,fr
90,90,0.0,0.0,1.0,1.0,1.0,1.0,0.0,2014-002950-38,de
91,91,1.0,1.0,0.0,0.0,1.0,1.0,1.0,2012-001589-13,gb
92,92,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2011-000503-40,de
93,93,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2014-004938-25,pt
94,94,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2009-016064-36,gb
95,95,1.0,1.0,0.0,0.0,1.0,0.0,0.0,2008-004429-41,be
96,96,_nan_,1.0,0.0,0.0,0.0,1.0,1.0,2006-005289-37,de
97,97,1.0,1.0,1.0,0.0,1.0,1.0,0.0,2016-000072-17,de
98,98,0.0,0.0,1.0,0.0,1.0,1.0,0.0,2012-000180-25,it
