"feature","chi2_score_arms","p_values_arms","sample_count_arms","correlation_to_arms"
"ads",1601.0670997278507,0.0,124,-0.05218920644400147
"trialspokracujici",1385.6637735886093,3.802040623635957e-300,0,-0.04656163358727994
"predtim",1385.6637735886093,3.802040623635957e-300,0,-0.029972819639198046
"tyrozinkinazy",1385.6637735886093,3.802040623635957e-300,0,-0.002035773493208311
"pristup",1385.6637735886093,3.802040623635957e-300,0,-0.03083202011211591
"hodnocenich",1385.6637735886093,3.802040623635957e-300,0,-0.03654143179102038
"discinesia",800.5335498639254,3.315275937921162e-173,5,-0.023261276376938176
"dyskinesiaestudio",800.5335498639254,3.315275937921162e-173,2,-0.014318982165213694
"amantadina",574.0245232310417,4.3084240120349046e-124,6,-0.005033389706152051
"uzivali",491.547094886835,3.2397240591011745e-106,0,-0.022029065341983338
"vegfr",387.48191073645813,1.1390805811391223e-83,21,-0.03980624148188163
"ag",275.31058411811176,2.1902149270592673e-59,12043,-0.0335767519419545
"single",193.6298249668911,1.0033898871170472e-41,2987,-0.04984632235216193
"klinickych",173.8197599418486,1.9053978087986133e-37,0,-0.028303475065693032
"amantadine",173.0615519558117,2.7777292974044505e-37,27,-0.017487244363265757
"label",135.33056268122525,3.838433365372212e-29,12484,-0.002703678728105315
"inducida",134.41720195764728,6.040022888452699e-29,32,-0.02830347506569303
"arm",132.95298135560074,1.2492416978760063e-28,6492,-0.007725662260787163
"inhibitoru",123.52375097641134,1.3441499728822644e-26,19,-0.04272686731053518
"open",120.40206922058655,6.321833272076343e-26,13595,-0.038678032857396814
"extension",109.1829128231117,1.6450289341551856e-23,3199,-0.06332123853997583
"pacienty",95.5160601546041,1.4302330615778475e-20,31,-0.08666024494633479
"term",87.5268447434492,7.441788658061514e-19,4883,-0.011533054257999824
"long",82.85077378453632,7.506224208060016e-18,3698,-0.038536404113443896
"multicohort",78.4079968806712,6.737157281589892e-17,20,-0.06765021425626845
"enrolled",72.40024763762602,1.306697271121565e-15,138,-0.06490940029998538
"capsulas",63.30171677865116,1.1576032246052623e-13,7,-0.04527073580022006
"mg",53.8271741870032,1.2214427457856405e-11,5520,-0.038585024231408416
"assessment",53.72122387361403,1.2866700167151071e-11,395,-0.07839326702224626
"di",53.48576355614127,1.4443639238391888e-11,31245,0.04705583512816516
"hemophilia",50.90868966545011,5.116195609043821e-11,315,-0.01695238798398159
"randomized",50.85482924105753,5.2531701393000254e-11,30564,0.08079387797949993
"hoffmann",50.501248373846,6.248014899707416e-11,35,-0.041196442933950715
"levodopa",50.09613486239178,7.621283305430168e-11,185,-0.034909893019553495
"placebo",48.610169499616994,1.5791122562108032e-10,22869,-0.02987016187974414
"rhfviii",46.59301086499856,4.2422341681045736e-10,17,-0.022636968262321668
"sebelipase",44.8550458039905,9.932845094047335e-10,11,0.00662002146478253
"idarucizumab",44.213373446772195,1.3596091686388611e-09,14,-0.03235237970160635
"s",43.88407170141737,1.5972276001882232e-09,57846,0.06433947663178691
"limmitless",43.75415276153384,1.7020098768683433e-09,9,-0.03803235621777976
"bax",42.47276002605747,3.1844837524030404e-09,69,-0.030847656997228152
"double",42.0449058931871,3.925049735566385e-09,28333,-0.06447448344606603
"ibrutinib",40.82818736728211,7.111531989413413e-09,215,-0.030876747775890744
"viii",40.614845804789645,7.892311097785582e-09,225,-0.029679244936316213
"lymphoma",40.12162358751472,1.0040965681801903e-08,1293,0.07020699850782885
"u",39.714062693810696,1.2250749004744108e-08,57305,-0.02694269740228433
"blind",39.481611860732094,1.3722206455234588e-08,28781,-0.04295553665625604
"urothelial",39.31953229346068,1.4851421892438855e-08,185,-0.022094542045027372
"controlled",38.45701134356548,2.2619142595643162e-08,25925,-0.06068471149245797
"perjeta",38.17046429762715,2.6010804535315503e-08,10,0.049793131650380934
"hcl",37.41446240025775,3.759992753168993e-08,173,-0.02453768573958168
"roche",37.40799332547701,3.771864332158021e-08,65,-0.032050600044667546
"mavenclad",37.39040952414282,3.804322344300332e-08,17,-0.04878097475577566
"alterations",37.36482223664249,3.852052928778257e-08,55,-0.03542890487225275
"relapsed",35.93839352478298,7.716361890346047e-08,1438,0.056978974978564426
"dvojite",35.67910059967007,8.754395846733748e-08,6,-0.08187950195834079
"randomised",34.769087655065505,1.363066336175868e-07,7938,-0.03268284401433204
"placebem",33.7450747638193,2.2425211543051033e-07,979,-0.028283036482422697
"patisiran",33.71980200232813,2.270234146702522e-07,13,0.07998274542563101
"hodgkin",33.64782070566729,2.3510535559392344e-07,440,-0.03654143179102035
"ofnintedanib",33.32281538604275,2.7532443400996005e-07,8,0.052509721393200426
"associatedinterstitial",33.32281538604275,2.7532443400996005e-07,8,-0.10163889026449713
"grupo",33.07644669379175,3.1032795237794153e-07,1745,0.057740611926571
"dacogen",32.47501569640365,4.1558383467544377e-07,7,-0.05297941745148461
"utilization",31.829418688674952,5.685082252585797e-07,15,-0.023261276376938176
"linfoma",31.45227124273849,6.82644864859396e-07,255,-0.041674598367129716
"cardiopoietic",31.118897738172038,8.024305573793634e-07,12,-0.03654143179102038
"access",31.045177418156264,8.316314611579957e-07,128,-0.043183611426984535
"etrolizumab",31.007830951807428,8.468268606001807e-07,59,-0.03654143179102038
"completed",30.513999051446877,1.075845516285839e-06,345,-0.061734333836890073
"prolongada",30.450577011537014,1.1094228566332802e-06,101,0.07804276788810602
"hh",30.419705389519116,1.1261435490681002e-06,58,-0.07816392698942516
"vismodegib",30.15431210132933,1.2806636601927364e-06,29,-0.023261276376938176
"secukinumab",30.024924484685393,1.3634968030928705e-06,385,-0.0694759145003801
"voncento",29.897873166737938,1.4500340869625164e-06,7,-0.04860395975602399
"mepolizumab",29.82766003636437,1.500187077056956e-06,110,-0.05725490627224204
"cohort",29.75985297494459,1.5502636937118197e-06,308,-0.043941227514717254
"brazo",29.74359533185071,1.562516061388808e-06,176,-0.06289097844938614
"antecedent",29.713481937622067,1.5854664601503727e-06,30,-0.03825682243176761
"refractory",29.62234674482563,1.6569932846077836e-06,1920,-0.028303475065693032
"talazoparib",29.591788438348534,1.6816904971765933e-06,21,-0.04490122206780134
"bcc",29.306143729530472,1.931065610533279e-06,32,-0.06169598704754513
"daa",29.252665281230957,1.98169936336862e-06,73,-0.02712060385499243
"cl",29.234304487435434,1.9993872294826335e-06,13542,-0.08789612469569341
"chl",29.165542603542438,2.067040026295322e-06,676,-0.048240696783272745
"sponsored",28.802293260572636,2.4642046169382735e-06,126,-0.02742338898459145
"atezolizumab",28.55905914999338,2.7718484121157527e-06,303,-0.028524543035982484
"egykaru",28.187351198840663,3.317584853870383e-06,0,-0.023025532641252518
"signals",27.2772550678908,5.14974521600784e-06,16,-0.023108826754055956
"danger",27.2772550678908,5.14974521600784e-06,15,-0.03600538864384064
"rfviii",27.208551833119028,5.323450241798198e-06,77,-0.02029432011204177
"kontrolovane",27.12152938077442,5.551886287961637e-06,3,0.07710213686180321
"hemostatic",26.963959649803456,5.990674283516042e-06,20,-0.04978808650055366
"fc",26.533048360233238,7.37538672912994e-06,288,-0.03336162325651982
"zaslepene",26.483042811337654,7.5554721684247775e-06,3,0.009168488448809001
"olses",26.16152016952176,8.822843738769415e-06,4,-0.02630799787255491
"secondaryhyperparathyroidism",26.05682688307912,9.279654345672992e-06,9,-0.01706312635006363
"ondialysis",26.05682688307912,9.279654345672992e-06,16,-0.05746300984898488
"vemurafenib",25.964177317140795,9.703545979210939e-06,88,-0.036601141388506085
"continuing",25.69016075221315,1.107360604175153e-05,75,-0.03267604103057855
"daily",25.597241324495975,1.1580694784697952e-05,3047,-0.023108499353899702
"gamma",25.504494484701766,1.2109928317358025e-05,91,-0.03350808663316444
