"feature","chi2_score_controlled","p_values_controlled","sample_count_controlled","correlation_to_controlled"
"label",254.73349319127922,2.4128667063513876e-57,12313,-0.038184538836216475
"open",230.94520669853557,3.708604880415309e-52,13417,-0.12244222710306128
"extension",171.07720686429838,4.304255150896864e-39,3077,-0.0572203602841647
"term",159.88403948685976,1.1994561277315895e-36,4794,-0.08295441145806004
"long",156.23032678721884,7.539391236980668e-36,3625,0.08348094454460468
"single",133.12674206116446,8.482024393931077e-31,2964,-0.04228477986168042
"placebo",103.77150542736835,2.2704719566411984e-24,22668,-0.056297255142547555
"solid",97.89774280404114,4.4055560544704335e-23,499,0.09585119900042859
"double",97.68491938144729,4.9054417552355317e-23,28116,-0.04175060918182605
"blind",91.90686470418031,9.085330733483895e-22,28480,-0.038598050241195336
"controlled",85.08722679685094,2.854888567806723e-20,25693,-0.047549940416404396
"tumors",78.05324165983149,1.0030031825913233e-18,476,-0.043938539394826844
"randomized",73.22835995989256,1.1548442449438665e-17,30139,-0.07297743374528713
"completed",73.06936686507673,1.2517229248027624e-17,345,-0.15277980889983125
"arm",72.07242606487746,2.0744223837630197e-17,6422,-0.03528432905972735
"sponsored",55.07673547295899,1.1591482909956153e-13,126,-0.04028678306576913
"enrolled",52.52553785337564,4.246897738383748e-13,138,-0.06772925188145423
"parallel",51.006962725138706,9.203890847196747e-13,11843,-0.0502618041826465
"hemophilia",50.06690618214275,1.4859202154732372e-12,311,-0.06654156703019334
"group",46.8101606500861,7.82068803870476e-12,11361,-0.052218483526738246
"relapsed",42.910525028405495,5.7301543548303135e-11,1404,-0.05087950810589302
"access",41.70281024951332,1.0625614876109094e-10,128,-0.040618013549077236
"cohort",41.68133428980806,1.0742974749572191e-10,306,0.31366464547025535
"randomised",37.374247599624134,9.750109395017781e-10,7908,-0.07096837140274341
"ii",36.875517787846576,1.259172064314538e-09,16039,-0.07099614290222248
"follow",36.19306541637664,1.7870533098772383e-09,2989,-0.047859345423240114
"versus",35.92752855220191,2.047947011888746e-09,8689,-0.039997221097796895
"abierto",32.55523901101756,1.158524135751085e-08,1843,-0.029574586162868028
"participated",31.42664453459855,2.0711904465018027e-08,205,0.04434827369835957
