"feature","chi2_score_crossover","p_values_crossover","sample_count_crossover","correlation_to_crossover"
"cross",895.7247497131536,8.340867366505307e-197,940,0.03976077306010442
"crossover",776.4586029211075,7.087287217160277e-171,391,0.05623164394746043
"way",355.81037413478896,2.3007932466976677e-79,324,0.05697193647801911
"preference",126.43729028667492,2.4667451213424234e-29,49,0.039760773060104414
"bronchodilator",82.54688745754689,1.0319299678713944e-19,67,0.056231643947460434
"cruzado",82.01079498759452,1.3534542972495452e-19,65,0.06072829970250609
"available",61.06135868001302,5.532340632185236e-15,61,0.05604585865347507
"fmri",57.62872491285859,3.165685804768943e-14,17,0.07913304402631154
"dalotuzumab",57.48800911011601,3.400460282620801e-14,22,0.06880454291285211
"reach",52.46784517340463,4.37350795117025e-13,32,0.03976077306010443
"breath",51.330711129462436,7.804508803084286e-13,36,0.039760773060104435
"inadult",50.56553132807838,1.1525150352518657e-12,13,0.03976077306010442
"minirin",49.012999382063,2.542717543546535e-12,5,0.03976077306010442
"driving",48.87396497487736,2.729499075901654e-12,11,0.05623164394746042
"challenge",47.131165653470326,6.639156962336407e-12,80,0.06147851226596652
"mouth",46.75529312065893,8.04274114721493e-12,14,0.03976077306010443
"endurance",46.54420243781172,8.957488035798685e-12,46,0.039760773060104435
"copd",42.455686856856595,7.230188419453323e-11,930,0.04164538136570088
"glycopyrrolate",41.934368171203836,9.438894751239297e-11,51,0.0666471615409634
"breakthrough",40.439930934934345,2.0275465834153428e-10,38,0.06416254822708595
"fentanyl",39.761278157760614,2.869786430136821e-10,50,0.059929485341238445
"asthmatic",39.75104812728046,2.8848575013653866e-10,161,0.06291933608119693
"actuations",39.52641391884563,3.2365193197010525e-10,42,0.03976077306010443
"characterise",39.42239200216318,3.413599911900294e-10,30,0.039760773060104435
"methacholine",37.44669488649021,9.39457628377366e-10,6,0.039760773060104435
"inhaler",37.18387613722733,1.0749895467994803e-09,401,0.039760773060104414
"incomplete",36.23262253035464,1.751145271728314e-09,124,0.03976077306010442
"products",35.923801746299766,2.0518679088689784e-09,11,0.039760773060104414
"odm",35.475697237618505,2.5825270950245364e-09,80,0.039760773060104435
"pei",35.33885656437753,2.7704917584679494e-09,14,0.03976077306010443
"period",34.949672377294895,3.3833832406475008e-09,1122,0.039760773060104435
"g",34.2151813209436,4.93425193860474e-09,48872,0.03976077306010444
"ridaforolimus",33.51232738395966,7.08137466989073e-09,18,0.039760773060104435
"frovatriptan",33.40676195809633,7.476356856389235e-09,4,0.03976077306010442
"bricanyl",32.85337335321891,9.937847341437618e-09,2,0.03976077306010445
"exercise",32.46882648202184,1.211198883535288e-08,227,0.053168459577683506
"repeat",32.248079258821775,1.3569115672059842e-08,408,0.03976077306010442
"blu",31.999183252972443,1.542374129376677e-08,68,0.03976077306010445
"actuated",31.503526190606458,1.9907840895912744e-08,7,0.04647691257723148
"cle",31.48235330243824,2.0126104215362747e-08,2685,0.03976077306010443
"chamber",31.481657082565977,2.0133321847161133e-08,23,0.0562316439474604
"rfix",31.346317925476146,2.158677043002251e-08,21,0.08908655271990387
"benefix",31.346317925476146,2.158677043002251e-08,8,0.039760773060104435
"reformulated",31.346317925476146,2.158677043002251e-08,10,0.05610653440659307
"buprenorphine",30.7792021501477,2.891199969363017e-08,14,0.03976077306010443
"channel",30.677996966801008,3.045996179380682e-08,9,0.039760773060104435
"pumlonary",30.671623542540047,3.056017887165744e-08,5,0.05623164394746042
"effects",30.661455742244375,3.0720743808749184e-08,1713,0.04791083827852447
"experimental",30.534699899899387,3.279479976297584e-08,29,0.10773273781660225
"pancreatin",30.27685925345437,3.745681512945838e-08,3,0.03976077306010442
"metered",29.72935016029143,4.96769773702753e-08,44,0.05623164394746045
"omacor",29.70099993077244,5.040881226977557e-08,11,0.039760773060104435
"chf",29.4324163667036,5.790099555622103e-08,175,0.03976077306010442
"model",29.348690071654055,6.045737018222653e-08,108,0.065701154687919
"withtype",28.897757844185396,7.630118508398981e-08,5,0.06678954404065382
"controlledcross",28.897757844185396,7.630118508398981e-08,6,0.06887115611248215
"obstructive",28.861441987090775,7.774526669441909e-08,824,0.03976077306010443
"altering",28.61654993601837,8.822490789816019e-08,25,0.03976077306010442
"bronchoconstriction",28.596480696395762,8.914405407977522e-08,7,0.03976077306010444
"abnormality",28.586327555128342,8.961270419966412e-08,3,0.06273023903639266
"paclitaxelchemotherapy",28.220342972946984,1.0826073515179512e-07,4,0.05623164394746045
"bromide",28.024595269333208,1.197833156701993e-07,265,0.04612786891889886
"healthy",27.908861505229346,1.2716603847308897e-07,526,0.03979732487107937
"bdp",27.682365757402412,1.4295999086545575e-07,6,0.03976077306010442
"perception",27.637263735164847,1.4633238941304982e-07,30,0.06654657491935173
"asthmap",27.622624522844276,1.4744405120808686e-07,4,0.05623164394746043
"formulated",27.545183156454073,1.5346709191994943e-07,31,0.03976077306010445
"ofcysteamine",27.187752973212884,1.846244922588681e-07,5,0.03976077306010442
"bitartrate",27.187752973212884,1.846244922588681e-07,7,0.039760773060104435
"predicted",26.905874670813844,2.136086105514873e-07,10,0.05623164394746044
"host",26.714517378296698,2.3584292183727384e-07,145,0.061468108467317394
