"feature","chi2_score_double_blind","p_values_double_blind","sample_count_double_blind","correlation_to_double_blind"
"open",501.0800764789529,5.5330928266716575e-111,13450,-0.1995124999787736
"label",501.00810967064825,5.736228151283764e-111,12344,-0.046499670754005476
"placebo",434.37611991432385,1.81316360879008e-96,22682,0.13672483992352713
"double",431.9539646738286,6.103936646583518e-96,28130,0.06487739338127106
"blind",382.83613605836706,3.0025885105334373e-85,28495,-0.12504388762863733
"controlled",227.11217485369355,2.541827400409574e-51,25695,-0.08362093320933119
"parallel",122.1448288799306,2.1458746813662033e-28,11849,-0.043230617072881006
"group",115.93711300391413,4.906097719612638e-27,11371,0.0463812787149393
"abierto",87.0932950859757,1.0352090436350671e-20,1848,0.0475163757170414
"relapsed",83.78210935849117,5.524248157154258e-20,1405,0.054959772163382214
"single",80.03475199639698,3.6788217878727374e-19,2969,-0.05829866754375759
"doble",75.84412257885755,3.0696474168475507e-18,3667,-0.054388776842779006
"leukemia",71.56438447772352,2.683570742140968e-17,1032,-0.04004233793260898
"ciego",66.07612946648655,4.3383820924825006e-16,3568,-0.11275690393394915
"efficacy",61.14593139237935,5.299717833567475e-15,26557,-0.1082946824959893
"lymphoma",60.964812991106825,5.8104091283221834e-15,1235,0.07978562294184359
"moderate",58.55353430493996,1.9783396529773368e-14,4242,0.07821164871260121
"randomized",56.59532935969749,5.353885905920537e-14,30183,0.04097660363659788
"cell",55.723292701589514,8.342395415206499e-14,4576,-0.04738945295860704
"dummy",54.536139739862506,1.5261524328400627e-13,1690,-0.0563777261929468
"active",51.11746640509206,8.700070803321403e-13,6199,-0.05397534537236059
"cancer",50.84033705164613,1.0019332369431285e-12,6711,-0.06543055089281034
"refractory",48.45858778350327,3.3733781605493208e-12,1905,0.05277448639207116
"mg",48.180061622548436,3.888219548879987e-12,5471,-0.0714933151416208
"advanced",47.66182509441681,5.064582433373696e-12,3784,-0.03928648877311473
"imatinib",41.713133019829996,1.0569661494952705e-10,293,-0.05468533551562133
"chemotherapy",41.46006344377396,1.203036597807063e-10,2810,0.04432516756948456
"ranging",40.128490301204096,2.3779545873297834e-10,1109,0.6412331665701543
"inadequate",39.284432178940584,3.6635062569104067e-10,1653,-0.05451654265069878
"week",38.426453116550285,5.685646423460982e-10,6917,-0.036274921538693494
"cetuximab",38.235244895307574,6.270946597305208e-10,286,-0.04334688418270348
"g",37.57892723031898,8.778778643705251e-10,49451,-0.0897446194941806
"trastuzumab",37.570023703620464,8.818942219224267e-10,555,-0.04526260534743338
"ii",37.10671475505191,1.1183793997725415e-09,16065,-0.03522854753910773
"arm",36.65868489669216,1.4073063654828814e-09,6423,-0.03934247108462015
"metastatic",36.2458029877773,1.7393418768321934e-09,4044,-0.1374455944117262
"severe",34.851769315615186,3.5578609110990985e-09,4226,-0.053133261989266205
"tumors",34.534731891153584,4.187130005494173e-09,477,-0.08100653456108388
"agent",34.44226772790883,4.3908364632846325e-09,670,0.07558019772436288
"insulin",34.30790798771932,4.70466212294639e-09,1112,-0.04362689953292941
"solid",33.8955999480837,5.8150061555481044e-09,500,-0.1372608621707424
"randomised",33.61957522627006,6.701490929622741e-09,7919,-0.07189944476137859
"long",33.425531943553906,7.40454876298692e-09,3626,-0.10250090280206857
"safety",33.021677322809865,9.11370455267249e-09,28397,-0.03946827479321282
"aperto",32.344509296726585,1.2912154575097646e-08,515,-0.07949246090537498
"previously",31.900786913611732,1.622514110818093e-08,2174,-0.048469639408345935
"cardiovascular",31.727092703735085,1.774297024758003e-08,1113,0.09206169852951894
"asthma",31.5593277171791,1.9343895585485277e-08,1405,0.1863130852918371
"term",30.946025064712842,2.6530489346463955e-08,4797,-0.05166357267219625
"dvojite",30.537123279504563,3.275386077086744e-08,6,-0.050501872139661175
"evaluate",30.442128713972686,3.439762016371173e-08,11677,-0.05879755654353245
"controlado",30.14250525124983,4.0143555964764756e-08,3127,-0.05173874832139887
"choice",30.00560782993712,4.3079864064549326e-08,333,0.047878242673776134
"extension",29.97915373750699,4.367161385477624e-08,3077,-0.045422778642264405
"weeks",29.92407713269429,4.492987600287018e-08,2263,-0.05255486793127274
"daily",29.718250910421936,4.996221764431205e-08,3020,0.0669148627376187
"breast",29.439672415957737,5.768461661351556e-08,1982,0.1205640350412078
"glargine",28.55331968763025,9.115341338464597e-08,444,0.45886870659227064
"positive",28.37015195316888,1.0019831685257608e-07,2067,0.07314777121147402
"hemophilia",27.96153967205793,1.2375075631307303e-07,312,0.047147674776313236
"myeloid",27.899718177574435,1.2776837571893935e-07,521,-0.04624412183662544
"rheumatoid",27.830677921190897,1.3240982611509437e-07,1674,-0.053000635471751
"docetaxel",27.334926097681816,1.710929941328894e-07,659,0.0863864797135246
"lymphocytic",27.059675215662566,1.9727038527435266e-07,314,-0.0602498725113481
"arthritis",26.576309062484682,2.5333125050990535e-07,2572,0.048561386688349945
"carcinoma",25.58388879249086,4.235612217796757e-07,1974,-0.050156648948190795
"tacrolimus",25.57127295194921,4.2633963084074905e-07,191,0.05308033185489243
"placebem",25.407075741039144,4.642123220871019e-07,979,0.046053473684534926
"doses",25.30242791314292,4.900914643354869e-07,2097,0.043886466693804554
"ib",24.828778575506764,6.265502559584087e-07,14151,-0.060928454048776094
"copd",24.580471698973305,7.127034392561462e-07,933,0.06180948253270584
"dexamethasone",23.897339318546848,1.0161210289847704e-06,593,-0.04875983355479985
"t",23.62877775253363,1.168272300539148e-06,57304,-0.046817945618111534
"daratumumab",23.0833969966488,1.551244406198042e-06,132,0.06923642943522601
"methotrexate",23.031834038715036,1.593409807551352e-06,931,0.05306159201496977
"subjects",22.63891490296115,1.954847936889904e-06,15161,0.19471839574946959
"mild",22.27336481457279,2.36463887289072e-06,883,-0.06284298013838001
"doppio",22.050506046662967,2.6556965918617525e-06,960,0.09701756142057406
"myeloma",22.047519262405476,2.6598321785306733e-06,695,0.08454194618702907
"nilotinib",21.748123634168415,3.108937863055958e-06,118,0.08238316886905324
"obstructive",21.50114462212049,3.536175295213856e-06,827,0.6701120315523243
"transplant",21.143196105329466,4.26211760594951e-06,1132,-0.041367960211246876
"bortezomib",21.11187612910029,4.332348108288315e-06,258,-0.03445083770648188
"hodgkin",20.989907647270385,4.617091390253958e-06,385,-0.055829405698999766
"line",20.420005339511995,6.217642303411249e-06,3678,-0.034327467984827456
"capecitabine",20.18869980895087,7.016620592449336e-06,396,0.12805262225606023
"lymphoblastic",20.173015094317485,7.074390356769942e-06,160,0.11151431130672546
"lapatinib",20.06873950946775,7.470787663442364e-06,233,0.049138482271976966
"severely",20.052234891281543,7.535541682125969e-06,842,0.0639828059763596
"zaslepene",20.005403500793562,7.722363504532222e-06,3,0.056957527246539984
"dose",19.959600982027382,7.90957813052585e-06,8838,0.25179238691490513
"based",19.704031306746188,9.041044035846191e-06,1258,-0.04722046782541415
"cieco",19.68040858882705,9.153500431927326e-06,980,0.04783058373780124
"period",19.469195930220284,1.0223518242908147e-05,1127,-0.04394471082679506
"cml",19.18081359134957,1.1890249440008089e-05,120,0.04031497284675789
"inhaled",19.02070402492406,1.2930778039335888e-05,710,0.1265550508921414
