"feature","chi2_score_eggs","p_values_eggs","sample_count_eggs","correlation_to_eggs"
"eieren",339.5959595959594,1.8099823314127277e-74,18,0.3442818424378679
"1050",245.77777777777771,4.2661259032086236e-54,8,0.11215503209133047
"weizenstärke",241.45202020202015,3.7098811003193933e-53,8,0.1855819080704029
"backtriebmittel",236.8266033462473,3.747628210059607e-52,17,0.4465994801682154
"type",231.74644400290146,4.752247866912565e-51,13,0.24258379649896747
"orangenschalen",226.11766185843675,7.928181739243958e-50,5,0.13466195087057423
"magermilchpulver",226.11766185843675,7.928181739243958e-50,5,0.1712309187851314
"dinkelmehl",213.79130791307907,3.7653673046922804e-47,14,0.17736941429514888
"hühnereieiweißpulver",203.6363636363636,6.03845006070623e-45,2,0.09631334943188158
"ungehärtet",184.3333333333333,9.386966138658721e-41,9,0.17123091878513144
"natriumhydrogencarbonat",172.8749284187056,2.8885923993408336e-38,11,0.1380699880636855
"vanilleextrakt",161.31979201610193,9.32936861245259e-36,6,0.259721671311029
"glukosesirup",159.21712512579663,2.669565411386831e-35,15,0.43560901132888263
"dinkelschrot",153.61111111111106,4.403226669933758e-34,3,0.3298374365894374
"gerstenmalzextrakt",153.61111111111106,4.403226669933758e-34,5,0.1712309187851314
"butter",152.72727272727275,6.850055799553567e-34,23,0.0746186684864098
"puderzucker",152.72727272727275,6.850055799553567e-34,3,0.11215503209133046
"vollei",152.72727272727275,6.850055799553567e-34,3,0.43560901132888286
"weizengrieß",152.72727272727275,6.850055799553567e-34,10,0.5059328754222627
"eier",152.72727272727275,6.850055799553567e-34,19,0.17123091878513144
"backoblaten",152.72727272727275,6.850055799553567e-34,3,0.17123091878513144
"zuckerglasur",152.72727272727275,6.850055799553567e-34,3,0.1712309187851314
"ammoniumhydrogencarbonat",152.72727272727275,6.850055799553567e-34,3,0.09631334943188156
"natron",149.5672067877703,3.325781469514464e-33,9,0.17123091878513144
"rohrohrzucker",140.66376216034854,2.852674007484977e-31,82,0.15469437122127058
"e500ii",135.27675276752763,4.2172211085595934e-30,6,0.15917362018549272
"rohrzucker",133.1265794476126,1.2357498761977369e-29,89,0.43560901132888263
"ei",132.2481962481962,1.9172072555150464e-29,176,0.2723321706012125
"weizenmehl",125.81791761767875,4.775142397690514e-28,18,0.09631334943188156
"invertzuckersirup",125.3850385776584,5.929045951581326e-28,6,0.17123091878513144
"flour",122.88888888888886,2.065460215837769e-27,2,0.17123091878513144
"weinsäure",122.88888888888886,2.065460215837769e-27,2,0.12097228794889188
"marzipan",113.81414141414137,1.9300706679806078e-25,7,0.31720820684694623
"48",113.81414141414137,1.9300706679806078e-25,5,0.20193563521450608
"senfsaaten",101.8181818181818,7.770746463954596e-23,2,0.20504979331309894
"glukose",101.8181818181818,7.770746463954596e-23,17,0.4700456727160153
"mitch",101.8181818181818,7.770746463954596e-23,2,0.43560901132888236
"eigelb",101.8181818181818,7.770746463954596e-23,2,0.7078455235479061
"hühnereiweiß",101.8181818181818,7.770746463954596e-23,1,0.35536058851452845
"weizenvollkormehl",101.8181818181818,7.770746463954596e-23,2,0.09631334943188158
"kandiert",101.8181818181818,7.770746463954596e-23,3,0.25105736595043077
"fruktose",101.8181818181818,7.770746463954596e-23,2,0.2197436299458594
"hirschhornsalz",101.8181818181818,7.770746463954596e-23,2,0.1931795965660817
"güteklasse",101.8181818181818,7.770746463954596e-23,2,0.1421673433200692
"zuckerrübenstrup",101.8181818181818,7.770746463954596e-23,2,0.20545067574858664
"sirup",101.8181818181818,7.770746463954596e-23,28,0.1712309187851314
"guarkernmehl",100.42361426288053,1.5605914974502183e-22,14,0.2510573659504307
"kakaomasse",98.72037306231638,3.6571549706462997e-22,18,0.17123091878513144
"mandeln",97.64336799731623,6.266312397217616e-22,22,0.17123091878513144
"honig",94.80720116292062,2.5874850257232526e-21,30,0.35536058851452856
"noten",94.2167116273433,3.476170091098759e-21,49,0.2714564148000485
"palmfett",93.12088287549533,6.012529339240299e-21,15,0.17123091878513144
"liebstöckelpulver",92.16666666666664,9.688635682416085e-21,3,0.12097228794889188
"provence",92.16666666666664,9.688635682416085e-21,3,0.12097228794889188
"haselnuss",92.16666666666664,9.688635682416085e-21,3,0.08632732346739547
"saft",92.16666666666664,9.688635682416085e-21,128,0.182938575504984
"schwach",92.16666666666664,9.688635682416085e-21,3,0.2510573659504307
"rapsöl",91.01734690074164,1.7212115106113053e-20,10,0.2510573659504304
"gluten",89.40349518582208,3.857249122972837e-20,45,0.13466195087057414
"vollmilchschokolade",89.27916806440788,4.104639123854932e-20,5,0.35536058851452856
"süßlupinenmehl",89.27916806440788,4.104639123854932e-20,5,0.3491730403478218
"apfelfaser",89.27916806440788,4.104639123854932e-20,5,0.3163036393900695
"kakaobutter",87.36604793320652,1.0683258535081765e-19,18,0.25105736595043077
"pulver",80.3522727272727,3.562260482159432e-18,71,0.2962133107473862
"soja",80.08558708520951,4.070387204980059e-18,46,0.3553605885145284
"roggenmehl",79.29492961596279,6.044004965153714e-18,4,0.20989871598515128
"44",78.81705932443933,7.67525879154721e-18,15,0.17652790695598958
"melk",73.66672546819493,1.0080308293028003e-16,64,0.10528717597451681
"kakaopulver",69.08889634350881,9.943442773163533e-16,15,0.17123091878513141
"68",67.63837638376381,2.053587375438308e-15,4,0.11215503209133046
"pistazie",66.5632897238063,3.5153234221017758e-15,7,0.35536058851452845
"vollmilchpulver",62.85174358237079,2.248626332154498e-14,21,0.3723614778773313
"butterreinfett",62.14827239181479,3.1964956680569054e-14,7,0.1712309187851314
"yeast",61.44444444444443,4.5447334529516337e-14,2,0.35536058851452856
"pepper",61.44444444444443,4.5447334529516337e-14,2,0.2510573659504304
"sesame",61.44444444444443,4.5447334529516337e-14,2,0.2587196701783023
"salt",61.44444444444443,4.5447334529516337e-14,2,0.09631334943188158
"apfelfruchtfüllung",61.44444444444443,4.5447334529516337e-14,2,0.25105736595043077
"söureregulator",61.44444444444443,4.5447334529516337e-14,2,0.3392408296628924
"wholemeal",61.44444444444443,4.5447334529516337e-14,2,0.39655486277629937
"cumin",61.44444444444443,4.5447334529516337e-14,2,0.23632922972124934
"coriander",61.44444444444443,4.5447334529516337e-14,2,0.13466195087057417
"sea",61.44444444444443,4.5447334529516337e-14,2,0.35536058851452856
"baking",61.44444444444443,4.5447334529516337e-14,2,0.2510573659504304
"honing",61.44444444444443,4.5447334529516337e-14,3,0.19808681310457496
"barley",61.44444444444443,4.5447334529516337e-14,2,0.1346619508705744
"fruchtpulver",61.44444444444443,4.5447334529516337e-14,2,0.1825249344048091
"sorghum",61.44444444444443,4.5447334529516337e-14,2,0.06193298900037936
"beete",61.44444444444443,4.5447334529516337e-14,2,0.12097228794889188
"unhydriertes",61.44444444444443,4.5447334529516337e-14,2,0.09631334943188158
"black",61.44444444444443,4.5447334529516337e-14,2,0.20989871598515128
"turmeric",61.44444444444443,4.5447334529516337e-14,2,0.09824234561231994
"gerstenmalzmehl",61.44444444444443,4.5447334529516337e-14,2,0.3989682940102327
"nussen",61.44444444444443,4.5447334529516337e-14,2,0.2510573659504307
"sauerteig",61.44444444444443,4.5447334529516337e-14,2,0.2510573659504304
"spelt",61.44444444444443,4.5447334529516337e-14,11,0.08995778047700122
"fettarmes",61.44444444444443,4.5447334529516337e-14,2,0.06661950905930503
"weizenkleber",61.44444444444443,4.5447334529516337e-14,2,0.11289656462239889
"soda",61.44444444444443,4.5447334529516337e-14,2,0.3624134213860377
"palm",61.44444444444443,4.5447334529516337e-14,30,0.17123091878513144
"maniok",61.44444444444443,4.5447334529516337e-14,2,0.4465994801682154
"aceroia",61.44444444444443,4.5447334529516337e-14,2,0.31122958545081686
"milchsäure",61.44444444444443,4.5447334529516337e-14,2,0.16514473869149215
"oil",61.44444444444443,4.5447334529516337e-14,2,0.25105736595043077
"natriumwaterstofcarbonaat",61.44444444444443,4.5447334529516337e-14,2,0.1712309187851314
"paranuss",61.44444444444443,4.5447334529516337e-14,2,0.35536058851452856
"natriumbicarbonat",61.44444444444443,4.5447334529516337e-14,2,0.17123091878513147
"und",59.06115178740704,1.4963522532223744e-13,55,0.1712309187851314
"zuckerrübensirup",56.59932659932658,5.124038559397038e-13,3,0.48392770605504304
"roggenvollkornmehl",53.68993206977521,2.1947213284490177e-12,8,0.1712309187851314
"bourbonvanilleschote",52.94280442804424,3.1887178302427977e-12,5,0.3457338442870765
"schokoladenglasur",50.9090909090909,8.815183755290975e-12,1,0.1712309187851314
"stremsel",50.9090909090909,8.815183755290975e-12,1,0.28419986827284965
"gewürzmischung",50.9090909090909,8.815183755290975e-12,1,0.1712309187851314
"gewürzgurken",50.9090909090909,8.815183755290975e-12,1,0.16736150796547744
"kandierte",50.9090909090909,8.815183755290975e-12,1,0.17123091878513144
"kaas",50.9090909090909,8.815183755290975e-12,1,0.07916608392043269
"eipoeder",50.9090909090909,8.815183755290975e-12,1,0.39896829401023287
"weizenglucosesirup",50.9090909090909,8.815183755290975e-12,1,0.17123091878513144
"weizenvollkornmehl",50.9090909090909,8.815183755290975e-12,5,0.20232116768222883
"tarwemeel",50.9090909090909,8.815183755290975e-12,1,0.2130753930106595
"saccharose",50.9090909090909,8.815183755290975e-12,1,0.17123091878513144
"zout",50.9090909090909,8.815183755290975e-12,21,0.17123091878513144
