"feature","chi2_score_eggs","p_values_eggs","sample_count_eggs","correlation_to_eggs"
"eieren",623.0104001059874,5.1881262138625014e-136,62,0.1519663225497594
"ei",311.81518282988833,1.950712925638895e-68,472,0.12694543381205486
"type",246.45169373853065,3.0457529731430773e-54,55,0.04161018465791326
"backtriebmittel",226.76797127539294,5.72744201886534e-50,41,0.10913454913145827
"dinkelmehl",221.98601511535728,6.256756995436582e-49,43,0.10641607196638128
"vollei",201.72549019607825,1.5698797023207018e-44,12,0.09566773859257875
"de",197.20116534705522,1.5076864524922781e-43,603,0.08657761196523465
"acide",184.80658497752253,7.409006272166313e-41,12,0.10753735516436493
"natron",179.04990196952897,1.3176734478669905e-39,19,0.14626707790345592
"œuf",165.00741918388962,1.4760266120218261e-36,12,0.20988725975689793
"schaaldieren",151.2941176470587,1.402490023855856e-33,4,0.04324881812882092
"natriumhydrogencarbonat",147.38460185446178,9.904677710629438e-33,24,0.09285865247971815
"1050",143.79641001084443,5.956707945818886e-32,19,0.10979551346683135
"farine",137.57427160668124,1.3369848764241264e-30,50,0.04621986956465108
"weizenstärke",133.86398716713188,8.546819336034986e-30,19,0.06134798791997637
"48",132.55940156813753,1.6409361674091738e-29,15,0.29319951340995426
"812",129.32149848530136,8.283109606023922e-29,22,0.117083788011256
"eigelb",126.07843137254893,4.191953764758949e-28,8,0.054417244948385984
"paranuss",118.78657111537849,1.6062894989675153e-26,11,0.07698642351077331
"orangenschalen",110.52215589205963,1.0009647509003366e-24,5,0.06572846844238658
"brut",104.23274010887587,2.3235288461578915e-23,38,0.08228157953275944
"acidifiants",102.40540540540539,5.793603337874204e-23,4,0.16374271861493972
"citrique",102.40540540540539,5.793603337874204e-23,4,0.038032690025692296
"agents",102.40540540540539,5.793603337874204e-23,4,0.13289702481056478
"e500ii",100.93254907611333,1.2099723496423967e-22,11,0.20606536130005274
"eier",100.86274509803913,1.2529484036945457e-22,66,0.2168690334424946
"hühnereieiweißpulver",100.86274509803913,1.2529484036945457e-22,2,0.1305317185402296
"brocolis",100.86274509803913,1.2529484036945457e-22,2,0.09379584701391974
"olives",100.86274509803913,1.2529484036945457e-22,2,0.0657284684423866
"hühnereiweiß",100.86274509803913,1.2529484036945457e-22,3,0.07698642351077331
"vis",100.86274509803913,1.2529484036945457e-22,4,0.07698642351077331
