"feature","chi2_score_elderly","p_values_elderly","sample_count_elderly","correlation_to_elderly"
"parent",173.72090544237912,1.1390262858946109e-39,1695,0.08478527334408546
"guardian",128.9444223934902,6.974419712113338e-30,899,-0.08429646776551754
"assent",127.5709856883379,1.393273805010349e-29,1267,0.08279829262985239
"ms",111.6170766635314,4.334381083712258e-26,3227,-0.08698889843915124
"parents",104.24552366394968,1.7873636276879907e-24,353,0.09655042272904839
"children",100.49160636504274,1.1889976266252288e-23,633,-0.06159632440199736
"legal",98.64607064512491,3.0191306542746316e-23,2555,-0.15023543317073024
"fviii",86.61802790093634,1.316416519629873e-20,190,-0.08014739054084617
"edss",85.57685949943688,2.2286835590355174e-20,224,-0.03395350992230949
"healthy",64.46399125625823,9.831274855334482e-16,264,-0.06110497012746361
"pediatric",62.90770068458172,2.1662362673299805e-15,184,-0.04972445274961534
"mcdonald",51.43271636833301,7.409342566857375e-13,177,-0.09472737114188047
"relapsing",50.869107950480405,9.873538565552168e-13,158,-0.08148367798002319
"s",48.51308230552375,3.2809287441064915e-12,14256,-0.10051708289956737
"rrms",46.69505517453545,8.293802143895689e-12,107,-0.05709091278188369
"infants",45.65458714683417,1.4105536028005297e-11,86,-0.09247724726017734
"sclerosis",41.85012748429922,9.854434708771321e-11,136,-0.3083830620056554
"lansky",39.1157424952368,3.994103940394964e-10,148,-0.07241414548342523
"disability",38.85472110672066,4.5654841227242747e-10,126,-0.07174180397323059
"guardians",38.693555013561394,4.958435995140958e-10,128,-0.07717093849993469
"percentile",35.96036922242496,2.013718736646195e-09,148,-0.04153991163411297
"ocrelizumab",35.89397907154493,2.0835157029549354e-09,24,-0.06171570199056399
"endometriosis",35.536669843629156,2.502940332351674e-09,49,-0.07047985083110117
"lar",34.57497301591388,4.1014572862230455e-09,4020,-0.10104356059608463
"metastatic",34.36270429626893,4.5740485470388356e-09,1613,-0.10036242031465605
"relapses",34.21431270496911,4.936454831089148e-09,117,-0.040555107973770356
"fix",33.527415187633224,7.026655632818243e-09,556,-0.05721393537376528
"gestational",33.341142223750744,7.732923266592156e-09,208,0.11841348920556603
"gd",32.70950614165158,1.0701258122427112e-08,198,0.07037522271026728
"eds",31.70268061884068,1.7967402926813558e-08,702,-0.09664990128641865
"legally",31.621446415005117,1.8734908395414613e-08,1107,-0.07749327661572487
"ecog",30.77333764046473,2.8999508518970814e-08,2609,-0.058566532589652685
"jia",30.69846536595909,3.014033342942924e-08,62,0.08453649837182983
"dsm",30.604926035672275,3.162896836891101e-08,348,-0.06820959866237888
"uln",30.56679252254923,3.225677892723614e-08,1685,-0.0800279115571087
"representative",30.500989650081582,3.336962365196363e-08,1770,-0.09183767557818083
"rsv",30.06060006033206,4.187532672011974e-08,53,0.11274571783835931
"born",29.77188791494484,4.8598823992940226e-08,79,-0.22691098389150027
"x",29.445760812576125,5.750368287234625e-08,10512,-0.06987417423430474
"infant",28.18937347031557,1.1000687834238265e-07,139,-0.042555390073272
"tumor",27.623581013925474,1.473711601569947e-07,1815,-0.07113348510611253
"hemophilia",27.197006693591483,1.83742929996553e-07,167,-0.08267984573023329
"birthday",26.951636910274647,2.0861040185644117e-07,75,-0.05521933672288885
"cancer",26.16830383858465,3.1291684773533045e-07,1626,0.1243388990849845
"expanded",25.72800018363013,3.9308237620352313e-07,105,0.057363826597756656
