"feature","chi2_score_gluten","p_values_gluten","sample_count_gluten","correlation_to_gluten"
"gluten",395.38011955656657,1.3941127887342846e-86,58,0.06740900270340511
"kakaobutter",265.03560362939186,2.8070485098113566e-58,24,0.28233427331588484
"gefriergetrocknet",194.6639744236916,5.361113987076681e-43,6,0.05886975017379662
"weiße",185.42857142857133,5.428718478615459e-41,16,0.015234353701634071
"vollmilchpulver",166.43319539063418,7.235871040647353e-37,26,0.14120968368788425
"weizenmehl",141.44578313252987,1.9294718575889942e-31,21,0.17093686931952326
"kakaomasse",137.41355215578767,1.4488595242152256e-30,24,0.1835897888797628
"noten",135.3953175078803,3.974480452861674e-30,61,0.13519149620102122
"joghurtschokolade",123.61904761904752,1.4337217723985865e-27,4,0.22270080262758224
"magermilchjoghurtpulver",123.61904761904752,1.4337217723985865e-27,4,0.10227206187443877
"arabicum",123.61904761904752,1.4337217723985865e-27,4,0.1990400553693527
"gummi",123.61904761904752,1.4337217723985865e-27,4,0.025548940324947214
"vollmilchschokolade",117.77280550774515,2.666614429740672e-26,10,0.19685078024003427
"rohrohrzucker",113.9700178643604,1.7853569954235475e-25,102,0.051564537647665255
"dinkelvollkornmehl",113.15662650602385,2.681333034624547e-25,13,0.22008584010887974
"eieren",113.05724259987926,2.817939727668472e-25,26,0.1412096836878843
"sesam",106.52499567933489,7.385690354048895e-24,78,0.14053172246457035
"type",106.08433734939739,9.20616673840336e-24,15,0.22270080262758224
"dinkelmehl",106.08433734939739,9.20616673840336e-24,15,0.1990400553693527
"sesamzaad",102.532070082286,5.438058467024439e-23,58,0.1405317224645704
"melk",98.27608941264222,4.5668666699570425e-22,71,0.02554894032494722
"sporen",92.20319466585032,9.513288588133726e-21,108,0.30092908282386993
"enthalten",91.06636393677095,1.6795399077877998e-20,53,0.172244480152119
"backtriebmittel",83.49548724935056,7.399209293058239e-19,18,0.22270080262758224
"spuren",82.05184233285709,1.522891008198676e-18,51,0.14053172246457038
"überzugsmittel",79.86852880139092,4.537005773406647e-18,6,0.1762713956361566
"und",78.12347822882836,1.0856810288924923e-17,66,0.1495614210572365
"mandeln",78.04618000860899,1.1284630527461426e-17,27,0.08337931200641564
"ei",77.79518072289142,1.279355223599242e-17,213,0.16129300919456716
"soja",76.84501112307153,2.0573958227584917e-17,125,0.17224448015211904
"nüssen",73.23660073818486,1.249896963619447e-16,21,0.17224448015211896
"kann",72.4763216419435,1.8279601388856796e-16,53,0.3440788750813642
"von",72.16333057437367,2.1376267123811348e-16,55,0.14053172246457038
"natriumhydrogencarbonat",69.49422779457036,8.119329611616433e-16,12,0.14053172246457038
"hefe",68.50179837095993,1.3335935413591963e-15,33,0.14120968368788428
"heidelbeeren",67.4471286747914,2.2596547983280313e-15,7,0.14053172246457038
"palmfett",63.20422325343762,1.8852862670863503e-14,15,0.1405317224645704
"sahnepulver",61.80952380952376,3.786451864739056e-14,2,0.14053172246457038
"145g",61.80952380952376,3.786451864739056e-14,2,0.14053172246457038
"rosenwasser",61.80952380952376,3.786451864739056e-14,2,0.1405317224645704
"marzipanrohmasse",61.80952380952376,3.786451864739056e-14,2,0.1405317224645704
"vollmilchpuiver",61.80952380952376,3.786451864739056e-14,2,0.05886975017379662
"schokolade",61.80952380952376,3.786451864739056e-14,18,0.172244480152119
"wurden",61.80952380952376,3.786451864739056e-14,2,0.06801087825561883
"wurst",61.80952380952376,3.786451864739056e-14,2,0.04159607641044451
"bourbonvanilleextrakt",61.80952380952376,3.786451864739056e-14,2,0.1405317224645704
"kardamon",61.80952380952376,3.786451864739056e-14,2,0.0415960764104445
"fleisch",61.80952380952376,3.786451864739056e-14,17,-0.0047749508496615425
"allergenen",59.456987972079574,1.2276628290946846e-13,140,0.1405317224645704
"honig",58.94006786020053,1.5897428583136777e-13,30,0.018038764028409746
