"feature","chi2_score_gluten","p_values_gluten","sample_count_gluten","correlation_to_gluten"
"gluten",463.75863136545854,1.977391811976163e-101,280,0.17233383452379988
"de",161.44352263391397,8.769695023681755e-36,603,0.1142637514630628
"kakaobutter",150.5342139107395,2.0507408404133056e-33,72,0.012989443728071936
"hafervollkornflocken",126.17031630170295,4.003722098125919e-28,56,0.08700194401941813
"type",123.91727493917253,1.2351100077978778e-27,55,0.08735453628322619
"kakaomasse",122.00647696233585,3.2109249102427954e-27,67,0.09430693108335345
"farine",118.9594420859851,1.4732802463049768e-26,50,0.05803387079102876
"épeautre",117.15815085158133,3.626024945957286e-26,34,0.15289080172955186
"soja",112.06428911289802,4.629656931118263e-25,372,-0.03317462708940671
"cacao",105.5814261782573,1.1838171018427721e-23,50,0.04920160930831954
"sporen",98.63547322975774,3.815743105621517e-22,374,0.03768658317201498
"dinkelmehl",96.88077858880762,9.175003280288465e-22,43,0.1041297092094613
"eieren",88.25879808676179,6.836683984538438e-20,62,0.006861437042323364
"flocons",86.56579268258082,1.5939583098393266e-19,20,0.11816086818057397
"sesamzaad",85.63782089205219,2.5350321536815923e-19,226,0.09804229692843422
"weizenmehl",83.36253041362517,7.907815388043786e-19,38,0.06786444005022457
"volkoren",81.37125124455324,2.1402144870744773e-18,50,0.18565212306769033
"dinkelvollkornmehl",81.10948905109476,2.4394854803140987e-18,33,0.047512566271571896
"vollmilchpulver",79.54449120548398,5.334984989449716e-18,48,-0.0011375652168920567
"noten",76.37634259752318,2.6006860669863306e-17,277,0.1216107729657491
"backtriebmittel",73.92887890698091,8.84194723113923e-17,41,0.0745800175214073
"rohrohrzucker",73.00787675881432,1.4013318537376803e-16,189,0.0745800175214073
"vollmilchschokolade",70.6099307603815,4.647809845677794e-16,26,-0.006390107555404439
"weizeneiweiß",69.84428223844269,6.81564270889467e-16,25,0.24206748993231103
"weiße",68.97196261682232,1.0542136003857634e-15,21,0.12214496703515393
"reismehl",67.96876668349405,1.7408840399913678e-15,62,0.10412970920946128
