"feature","chi2_score_healthy_volunteers","p_values_healthy_volunteers","sample_count_healthy_volunteers","correlation_to_healthy_volunteers"
"vaccination",759.7674632170881,3.017321360773838e-167,341,0.050593238775665066
"healthy",720.0933925674906,1.2774714298515641e-158,252,0.09553950426971954
"individuals",298.03050270215857,8.848367131057136e-67,57,0.10636960655525393
"volunteers",246.23644238228405,1.7177250184278735e-55,44,0.20835218395161823
"cards",203.82079256201004,3.062582684144834e-46,57,0.05059323877566506
"believes",166.5936612055147,4.103817460800163e-38,70,0.07155222368947818
"examination",165.58152583391347,6.827760189923511e-38,980,0.12802582802987827
"physical",133.362450735822,7.532470813007897e-31,765,0.05059323877566506
"good",125.83586324184442,3.339966211539137e-29,591,0.05059323877566505
"vaccine",124.20428224667799,7.600211761055696e-29,138,0.05059323877566506
"mentally",111.38831097247422,4.864528911641214e-26,54,0.10666479178284843
"lar",111.10826868164013,5.602584383421694e-26,3935,0.09642420985292073
"booster",98.95863240563662,2.5783168492334215e-23,14,0.07587320631181535
"outcome",95.20584359932106,1.7158304246142974e-22,137,0.14086605167834995
"practiced",95.18028818686616,1.7381241016047747e-22,94,0.05583565196173496
"health",89.59167757097916,2.927530992396016e-21,1319,0.23380724955150695
"series",86.46700945560137,1.4208793370739656e-20,79,0.05059323877566506
"ovariectomy",86.14289072296351,1.673926165090523e-20,93,0.09480356217597503
"born",86.14052146195586,1.6759328651129302e-20,79,0.0679203186068448
"explained",82.62376911663364,9.925629442346908e-20,206,0.05059323877566506
"characterize",78.05784605006667,1.000667926990539e-18,121,0.1338553276402387
"return",72.8064257324732,1.430104713917495e-17,242,0.11126010664646316
"agreed",69.34206981879346,8.278480880934235e-17,137,0.17345536393997743
"contacts",60.259226413251625,8.315214922825089e-15,30,0.1100270957814967
"judgment",59.21544295742686,1.4132041891721397e-14,725,0.05059323877566506
"medical",56.34872900338016,6.069249463156745e-14,2866,0.07155222368947818
"telephone",55.666293778904745,8.587817684297073e-14,121,0.06983400683775932
"mother",51.529717191308606,7.052151025615604e-13,1549,0.059587894289460396
"parent",51.22590133978383,8.232518934369357e-13,1575,0.05886012842475272
"pneumococcal",46.98350092804285,7.158681477264229e-12,16,0.24902839078725317
"comply",43.580709014913886,4.068297173871983e-11,2887,0.08761920609510998
"requirementsable",42.926877748736985,5.682456322334292e-11,5,0.14888950843456478
"turns",41.42855338139135,1.2225851398072673e-10,16,0.0838168833668763
"smear",41.348351130671325,1.2737886070810956e-10,58,0.05059323877566506
"ascus",40.86695328349328,1.6295348439121276e-10,17,0.061844161105361985
"competent",40.76683965880754,1.7151901857769837e-10,161,0.07155222368947818
"prevnar",37.68918001028469,8.296346502869151e-10,5,0.05059323877566506
"lars",37.46339989444416,9.314455957516132e-10,37,0.06252056950389255
"hib",37.45247834618545,9.366759941839683e-10,1570,0.07458099710988447
"nature",37.08225685534937,1.1324954163160048e-09,508,0.0876363782634352
"dtpa",36.88850467097062,1.2508125407392911e-09,13,0.07625204228766229
"ipv",35.840955631686285,2.1409960645085618e-09,7,0.05059323877566505
"msm",35.70420527584555,2.2966771222283087e-09,7,0.09906120277736112
"peliriippuvuus",35.50526315789474,2.543623488742834e-09,1,0.06660416033558705
"eng",35.272449950528994,2.8665855231996624e-09,649,0.14445306985522172
"lng",35.272449950528994,2.8665855231996624e-09,3,0.06428221634078439
"ovulating",34.931303171943675,3.415453838286323e-09,3,0.06692177166915396
"parous",34.84919564586098,3.5625671330191214e-09,15,0.10342103349987317
"meningococcal",34.273961094263434,4.787445692328741e-09,17,0.24218799669922703
"entering",34.264341441002486,4.811168528322683e-09,304,0.05059323877566505
"boostrix",34.095400509203756,5.2475155924004365e-09,5,0.05059323877566506
"zoster",33.974773628548384,5.5831259384706035e-09,37,0.08409749128275333
"hesitate",33.89363021536507,5.8208963533878726e-09,4,0.08233599847502286
"attend",33.487775243025226,7.171331859859728e-09,219,0.050593238775665066
"sanos",33.39742494080886,7.512336708164998e-09,10,0.14387623040588537
"visits",33.316846130069216,7.830139574704937e-09,1714,0.14326627215213134
"brace",32.01840028709697,1.5271916483375666e-08,5,0.07155222368947818
"generally",31.90476422653271,1.6191952734214288e-08,101,0.0699833280876524
"asplenia",31.730804056706198,1.7709096678815272e-08,5,0.08267569111542813
"infanrix",31.419614275762882,2.0787034060392133e-08,5,0.05059323877566506
"hexa",31.419614275762882,2.0787034060392133e-08,6,0.09042422401654761
"guardians",30.92485226832906,2.6821505541986172e-08,110,0.05059323877566506
"sound",30.507097098089396,3.3264736458882973e-08,282,0.1642602056264132
"probanden",30.477404291511714,3.377779004606004e-08,3,0.07788593241649854
"stored",30.339152354525673,3.62729826049337e-08,39,0.09772997275658661
"mumps",30.229206379613935,3.838848721345297e-08,7,0.07221813482333528
"prevenar",30.06457335214141,4.1789615106368404e-08,5,0.05059323877566506
"contact",29.140482964068926,6.731559615609955e-08,349,0.08550852993671429
"inside",29.065877344329714,6.995838892723094e-08,9,0.08397227592597499
"pertussis",28.846941742254035,7.832948318393428e-08,5,0.12331439831704928
"significance",28.492700546588434,9.405240571377205e-08,28,0.08761920609510998
"vrc",28.060234788713885,1.1759753126593164e-07,6,0.0842649614031355
"history",27.841323191340575,1.3168329676024046e-07,3004,0.08763637826343522
"recombivax",27.76751433904901,1.3680406711082888e-07,2,0.07155222368947818
"btm",27.76751433904901,1.3680406711082888e-07,2,0.13694038383391532
"engerix",27.76751433904901,1.3680406711082888e-07,2,0.14768143815970794
"afebrile",27.666577854561663,1.4413154094162766e-07,5,0.1274991229489865
"menarcheal",27.65912430389206,1.446879744642245e-07,17,0.04793678792556314
"parents",27.347094128945873,1.7001974902998097e-07,322,0.050593238775665066
"rabies",27.16756093363606,1.865628458941772e-07,2,0.0918409387537992
"nino",26.87367093925721,2.171977289307855e-07,84,0.37856201882981605
"enrolled",26.84900536620871,2.1998754103381652e-07,1122,0.047525602188459116
"yoa",26.693303105504334,2.384465115716072e-07,22,0.19041630091060413
"educational",26.6224474170407,2.4735312230276684e-07,5,0.050593238775665066
"infant",26.55950637845424,2.5554415958022527e-07,138,0.050593238775665066
"requirements",26.55111096514277,2.566570817761382e-07,2163,0.06545670642397017
"diphtheria",26.296849188181767,2.9276591639990003e-07,4,0.0715499025244103
"gestation",26.022599429057305,3.3744409724156185e-07,251,0.05059323877566506
"guatemala",25.100188658697384,5.442753300247687e-07,2,0.0687665923353679
"city",25.100188658697384,5.442753300247687e-07,728,0.14656433144934083
"leave",25.03790564273358,5.6214248470891e-07,6,0.05059323877566506
"allow",24.912377002401037,5.999600196270977e-07,2182,0.05059323877566506
"rla",24.834216638312835,6.247851865839991e-07,79,0.05059323877566506
"tlss",24.765699323078312,6.473933630075942e-07,2,0.12137520786466996
"relocate",24.749542037538415,6.528431091486279e-07,8,0.07155222368947821
"follow",24.488384181996686,7.475918515484942e-07,6342,0.05059323877566506
"coitarche",24.433385554333658,7.692403135776321e-07,3,0.09445079023239503
"consense",24.373839759067604,7.933879363138561e-07,1,0.08209953599572001
"individui",24.197307744057753,8.695374830580457e-07,3,0.05059323877566506
"regular",24.119021823421868,9.056130440379629e-07,605,0.1057062734441151
"determined",24.067753377372146,9.300480012562625e-07,1957,0.08409749128275333
"infants",24.002695828656297,9.620091073429774e-07,86,0.29506382040335066
"phrase",23.80933355723165,1.0636543948215923e-06,6,0.0994195938834727
"birthday",23.779378834898854,1.0803370052572972e-06,69,0.07155222368947818
"entire",23.770864872356228,1.0851263783360355e-06,533,0.07866122576869573
"comparison",23.690894220552316,1.1311647854436593e-06,9,0.10898247484629364
"esbl",23.50596594509366,1.2452702620533968e-06,1,0.07155222368947818
"investigator",23.488571545193697,1.2565798098135488e-06,4020,0.05059323877566505
"messages",23.440643481854956,1.288277663161668e-06,3,0.2780866266282646
"coc",23.396560239315885,1.3181402843388021e-06,877,0.4788562222484871
"penetrative",23.345824840151316,1.3533695376443763e-06,3,0.05059323877566506
"meningitidis",23.143297875090656,1.5036638037759523e-06,13,0.10104255820661735
"teenage",22.910871618783027,1.6968939223092259e-06,1,0.10562894875310631
"milk",21.6169314966136,3.329001061583973e-06,2,0.04892965152761955
"netherton",21.51726171289504,3.5065800647664476e-06,2,0.11090915599761372
"poliomyelitis",20.983907511233202,4.631574040422968e-06,3,0.1739328245691943
"tampere",20.498917984576217,5.966497011694995e-06,2,0.08230672251644243
"insertion",20.425575906232268,6.199570586182953e-06,28,0.07149008164260251
"menacwy",20.418022818296116,6.224086636423652e-06,1,0.07545549500808635
"hpv",20.08081001479142,7.423784298004015e-06,71,0.08510277330631585
