"feature","chi2_score_milk","p_values_milk","sample_count_milk","correlation_to_milk"
"melk",430.5316727022493,3.2451526489081673e-94,89,0.14767985240297346
"vollmilchpulver",303.4029850746274,1.30881690120236e-66,26,0.29648631934032177
"noten",236.38799216586824,4.666590655728181e-52,83,0.06336730887845364
"kakaobutter",207.77704846449393,7.617056778003584e-46,24,0.12938828733045116
"kakaomasse",148.9451911776322,4.5390261288880445e-33,24,0.04695771013689992
"rohrohrzucker",147.02315059703386,1.1866659797016197e-32,112,0.11273705204108915
"milch",141.8267393192769,1.5948317155478119e-31,68,0.11210012047856553
"mandeln",135.3507481023311,4.064044819582015e-30,32,0.12068461742925293
"complet",120.12490922294863,8.226353968748775e-27,8,0.13138359716347348
"emulgator",119.19402985074643,1.310223184398952e-26,11,0.04695771013689992
"sojalecithin",119.19402985074643,1.310223184398952e-26,11,0.15883538375705336
"vollmilchschokolade",108.35820895522406,2.953343015250617e-24,10,0.0776578905136285
"pinda",106.87619862334546,6.196241634025434e-24,22,0.08490096005587673
"sesamzaad",97.98897002019544,5.27188000311239e-22,88,0.05988167366752566
"gluten",97.76223957537417,5.904721340960202e-22,116,0.06336730887845365
"geröstet",88.64171207454802,5.645426919297481e-20,9,0.01541744091294509
"kakaopulver",88.10774140501988,7.373047765128505e-20,15,0.038059082967294704
"haselnüsse",87.53317446381556,9.82681258706901e-20,17,0.06336730887845364
"1050",86.68656716417924,1.5005522166564368e-19,8,0.32993096036980374
"magermilchpulver",86.68656716417924,1.5005522166564368e-19,5,0.18098458040843973
"fr",85.09056956115793,3.3328639729878634e-19,109,0.09632081454093276
"eieren",82.47806815839745,1.2305947568796978e-18,36,0.046957710136899915
"honig",79.65635342030697,5.044784633212888e-18,33,0.06336730887845365
"melkpoeder",75.85074626865685,3.382359174260897e-17,6,0.0776578905136285
"butterreinfett",75.85074626865685,3.382359174260897e-17,7,0.0776578905136285
"und",73.7042567113625,9.892908874774283e-17,91,0.0776578905136285
"dinkelvollkornmehl",72.43584000764503,1.8653365341493905e-16,18,0.1476798524029735
"allergenen",71.72441684563017,2.6622005762568453e-16,196,0.20911538585592246
