"feature","chi2_score_nuts","p_values_nuts","sample_count_nuts","correlation_to_nuts"
"noten",687.5460002087332,5.026700701480251e-150,97,0.10075247409548559
"haselnüsse",387.094339622642,8.780761131906194e-85,23,0.1752429522999779
"mandeln",379.08458094888437,4.8175824895892044e-83,34,0.09334024344139387
"rohrohrzucker",254.23852310016287,6.205919890731825e-56,126,0.07101478024518731
"kakaobutter",231.06261259872866,6.689461939532128e-51,28,0.15834119874136632
"geröstet",210.17224750089972,2.299727246158638e-46,22,0.04338894926338222
"invertzuckersirup",201.96226415094367,1.3946061090048546e-44,8,0.1467235630307558
"walnuss",185.13207547169833,6.29623022243303e-41,10,0.2748385230901436
"nüssen",178.3057713651499,1.911585388685757e-39,29,0.055494548002267344
"vollmilchpulver",173.04894944314765,2.647878655863759e-38,27,0.17292665166766558
"kakaomasse",171.53971473249493,5.631501864143155e-38,25,0.0518052019089081
"stark",168.71420643729215,2.312999627339463e-37,12,0.08610887593639942
"pinda",152.60957973490554,7.265254259997442e-34,33,0.15834119874136632
"mandel",146.27830188679252,1.7221474549869264e-32,60,0.06831195110204448
"sesamzaad",139.7616317072495,4.478651645730795e-31,112,0.09948278344942837
"und",123.16736495559748,1.7969935761661007e-27,120,0.11190481661984679
"kakaopulver",120.82483320886769,5.797233995107522e-27,21,0.0702703142148265
"natriumhydrogencarbonat",120.28952547561774,7.576374393553206e-27,14,0.0702703142148265
"macadamianuss",117.81132075471712,2.615753079282625e-26,7,0.22416611283896395
"lecithin",117.81132075471712,2.615753079282625e-26,21,0.2482979441766108
"cashewnüsse",117.81132075471712,2.615753079282625e-26,7,0.15834119874136632
"buchweizen",117.81132075471712,2.615753079282625e-26,9,0.16182444814419616
"sesam",110.60996102569091,9.57970513235762e-25,154,0.11430575647809649
"cashewnuss",102.59961154273044,5.257477597330832e-23,6,0.0861088759363994
"52",100.98113207547183,1.180934421974756e-22,6,0.15834119874136632
"backtriebmittel",96.27574708586722,1.2416155691340192e-21,22,0.09681367449552956
"natron",90.83994684519502,1.8808587176863904e-20,11,0.25143039511067394
"gerstenvollkornflocken",88.59591779476763,5.776182298673109e-20,7,0.19496887742285923
"erdnuss",87.37380688124321,1.0641893400525873e-19,10,0.15834119874136637
"pistazie",86.28634850166493,1.8329790071320152e-19,11,0.11190481661984687
"zartbitterschokolade",84.86539945290045,3.7300328494374686e-19,7,0.08610887593639942
"hazelnoten",84.15094339622652,5.331566347185007e-19,5,0.08610887593639942
"süßlupinenmehl",84.15094339622652,5.331566347185007e-19,5,0.08610887593639942
"marzipan",84.15094339622652,5.331566347185007e-19,7,0.09948278344942836
"gluten",79.34564958894508,5.892656292339368e-18,150,0.07027031421482652
"melk",79.10551190108316,6.6444088285295075e-18,177,0.19403047773997661
"eieren",76.81444673204922,2.0890788242612596e-17,48,0.19531097598489058
"sporen",76.70157997253685,2.210362644562908e-17,220,0.07027031421482645
"lupine",74.9448007833209,5.320387767038179e-17,66,0.0994827834494284
"entölt",73.43840177580476,1.1299355548620137e-16,13,0.07027031421482653
"fr",73.28318390553251,1.2211213001769813e-16,139,0.07027031421482645
"noix",72.82135091533995,1.5383124905162866e-16,4,0.07027031421482652
"orangenschalen",72.82135091533995,1.5383124905162866e-16,5,0.07027031421482645
"complet",71.67329980319266,2.7311194669767236e-16,14,0.11495429370642808
"vollmilchschokolade",68.2850166481687,1.486267689160685e-15,10,0.07027031421482645
"emulgator",67.60940549327694,2.0835509971865157e-15,16,0.11190481661984687
"pistazien",67.32075471698121,2.4070430318139324e-15,4,0.23190686704985838
"alkohol",67.32075471698121,2.4070430318139324e-15,4,0.15834119874136646
"weinsäure",67.32075471698121,2.4070430318139324e-15,2,0.11190481661984683
"hühnereieiweißpulver",67.32075471698121,2.4070430318139324e-15,2,0.21713193272846923
"magermilchpulver",65.90818282716181,4.877754552708186e-15,8,0.11190481661984683
"extrait",61.62134266345944,4.1600203670510554e-14,10,0.11190481661984682
"e500ii",61.62134266345944,4.1600203670510554e-14,8,0.2366173466478266
"gefriergetrocknet",61.62134266345944,4.1600203670510554e-14,6,0.0861088759363994
"roggenmehl",60.705882352941146,6.574839226003892e-14,4,0.22934229216565333
"seigle",60.705882352941146,6.574839226003892e-14,4,0.09398099551453992
"weinbeeren",60.705882352941146,6.574839226003892e-14,3,0.15541422244910866
"orge",60.705882352941146,6.574839226003892e-14,4,0.15834119874136632
"anderen",60.22669256381808,8.354873489215668e-14,8,0.15834119874136632
"spuren",59.190075516440345,1.4029377777434826e-13,109,0.15834119874136626
"sultaninen",58.55183129855721,1.9303292025565416e-13,5,0.11190481661984684
"soja",57.1667364256191,3.858343692234736e-13,236,0.24101905711293048
"palmöl",57.1472800770727,3.896061497310154e-13,14,0.29701773221713784
"honig",55.995667762791626,6.929393750791485e-13,40,0.10075247409548556
"von",54.790940034133214,1.2656060506337832e-12,113,0.07027031421482652
"enthalten",52.723976215210854,3.5574109118570125e-12,113,0.06232790052261727
"weizenvollkornflocken",52.48080736397816,4.017329723116263e-12,10,0.07027031421482652
"kann",51.205950881057376,7.599220493595983e-12,113,0.07027031421482652
"dinkelschrot",50.58823529411763,1.034914045948223e-11,3,0.0702703142148265
"kakaobohnensplitter",50.49056603773592,1.0867080665821707e-11,3,0.09948278344942839
"zuckerrübensirup",50.49056603773592,1.0867080665821707e-11,3,0.0702703142148265
"backoblaten",50.49056603773592,1.0867080665821707e-11,3,0.07027031421482645
"instant",50.49056603773592,1.0867080665821707e-11,3,0.19403047773997667
"cornflakes",50.49056603773592,1.0867080665821707e-11,3,0.12197071595642625
"mandelkrokant",50.49056603773592,1.0867080665821707e-11,3,0.0702703142148265
"puderzucker",50.49056603773592,1.0867080665821707e-11,3,0.15834119874136632
"zuckerglasur",50.49056603773592,1.0867080665821707e-11,3,0.1583411987413664
"bourbon",50.391231805794064,1.1420445489226644e-11,42,0.06245176932999065
"dinkelmehl",50.20899670576955,1.2509930426641038e-11,31,0.15834119874136632
"butterreinfett",49.89567147613769,1.4631626402564897e-11,8,0.12197071595642636
"graines",48.85545593702166,2.4613452607158504e-11,8,0.1583411987413664
"1050",48.85545593702166,2.4613452607158504e-11,12,0.08787096892690012
"ei",48.635031707850466,2.7481285947046596e-11,335,0.08284853289982973
"glukosesirup",47.07846764644003,5.984675985087778e-11,15,0.07027031421482652
"haselnuss",46.80160932297452,6.873210793384765e-11,8,0.09012248789234341
"roggenvollkornflocken",45.989924454035055,1.0313707089531865e-10,9,0.0361372507691823
"bourbonvanilleschote",45.04975553804333,1.650326522764356e-10,10,0.15834119874136632
"farine",44.40222711904327,2.2812815546282812e-10,18,0.09978321274999828
"écrémé",42.327838956302244,6.436155898922726e-10,6,0.07027031421482652
"allergenen",42.204160873159516,6.846725394396287e-10,270,0.09274460235919156
"zimt",41.28115394295485,1.0862038004579274e-09,17,0.17270070154760808
"gummi",40.47058823529411,1.6290087798114805e-09,4,0.07476045427783987
"avoine",40.47058823529411,1.6290087798114805e-09,2,0.26298948436458586
"joghurtschokolade",40.47058823529411,1.6290087798114805e-09,4,0.0702703142148265
"malte",40.47058823529411,1.6290087798114805e-09,2,0.2413576660653603
"epeautre",40.47058823529411,1.6290087798114805e-09,2,0.15834119874136632
"bananenflocken",40.47058823529411,1.6290087798114805e-09,4,0.2746381207043102
"arabicum",40.47058823529411,1.6290087798114805e-09,4,0.19299528049158007
"magermilchjoghurtpulver",40.47058823529411,1.6290087798114805e-09,4,0.07027031421482652
"natriumwaterstofcarbonaat",40.47058823529411,1.6290087798114805e-09,4,0.11190481661984683
"hafervollkornflocken",39.96815240577307,2.094237727747908e-09,23,0.29624120556833555
"vanillestokjes",38.897336293007825,3.5772619538937545e-09,4,0.147448683812046
"entöltes",38.897336293007825,3.5772619538937545e-09,4,0.09978321274999827
"zwaar",38.897336293007825,3.5772619538937545e-09,4,0.05193163460887101
"reismehl",37.2862085947836,8.005762057083702e-09,34,0.08610887593639942
"sojalecithin",36.4133176462972,1.2386498066952013e-08,14,0.08610887593639942
"sahne",36.410675457669974,1.2402872612892072e-08,8,0.07027031421482657
"apfelfaser",35.98845726970039,1.5318131652783567e-08,5,0.0702703142148265
"ungehärtet",35.53385127635962,1.9227474097066498e-08,11,0.054937649190459834
"59",35.53385127635962,1.9227474097066498e-08,6,0.15834119874136632
"geölt",35.53385127635962,1.9227474097066498e-08,5,0.0685071594463236
"weiße",35.53385127635962,1.9227474097066498e-08,18,0.0702703142148265
"13",34.39047823022687,3.4056697927218874e-08,30,0.0702703142148265
"das",33.66037735849061,4.906162483870599e-08,2,0.0702703142148265
"str",33.66037735849061,4.906162483870599e-08,16,0.1583411987413663
"anatura",33.66037735849061,4.906162483870599e-08,2,0.15834119874136632
"darmstadt",33.66037735849061,4.906162483870599e-08,2,0.08792614695331337
"nit",33.66037735849061,4.906162483870599e-08,26,0.11190481661984683
"landwirsdat",33.66037735849061,4.906162483870599e-08,2,0.11190481661984682
"entites",33.66037735849061,4.906162483870599e-08,2,0.11190481661984682
"mahatma",33.66037735849061,4.906162483870599e-08,2,0.1345739263752743
"quellen",33.66037735849061,4.906162483870599e-08,2,0.11190481661984687
"magermilchpul",33.66037735849061,4.906162483870599e-08,10,0.12277556496306447
"noisettes",33.66037735849061,4.906162483870599e-08,2,0.11190481661984682
"apfelfruchtfüllung",33.66037735849061,4.906162483870599e-08,2,0.08116986679906689
"gousse",33.66037735849061,4.906162483870599e-08,2,0.04966229060115632
"macada",33.66037735849061,4.906162483870599e-08,7,0.08461246756509412
"trennmittel",33.66037735849061,4.906162483870599e-08,2,0.21086444278408745
"macadamia",33.66037735849061,4.906162483870599e-08,7,0.28193554511102603
"schokolade",33.66037735849061,4.906162483870599e-08,18,0.11430575647809647
"gandhi",33.66037735849061,4.906162483870599e-08,2,0.11190481661984683
"alnatura",33.66037735849061,4.906162483870599e-08,2,0.11430575647809649
"64295",33.66037735849061,4.906162483870599e-08,2,0.11190481661984687
"mianuss",33.66037735849061,4.906162483870599e-08,7,0.11190481661984687
"söureregulator",33.66037735849061,4.906162483870599e-08,2,0.14963940074110726
"milchsäure",33.66037735849061,4.906162483870599e-08,2,0.1583411987413663
"mitch",33.66037735849061,4.906162483870599e-08,2,0.1928038779097664
"kardamon",33.66037735849061,4.906162483870599e-08,2,0.22416937604245216
"rosenwasser",33.66037735849061,4.906162483870599e-08,2,0.15834119874136632
"cao",33.66037735849061,4.906162483870599e-08,18,0.07027031421482656
"dégraissé",33.66037735849061,4.906162483870599e-08,2,0.15834119874136632
"produkt",33.66037735849061,4.906162483870599e-08,2,0.07101478024518729
"sirup",33.66037735849061,4.906162483870599e-08,33,0.07027031421482645
"fruktose",33.66037735849061,4.906162483870599e-08,2,0.09734125272001748
"stammt",33.66037735849061,4.906162483870599e-08,2,0.09948278344942836
"cashewkerne",33.66037735849061,4.906162483870599e-08,3,0.11430575647809643
"400",33.66037735849061,4.906162483870599e-08,2,0.2015995835669243
"diesem",33.66037735849061,4.906162483870599e-08,2,0.20725418922063277
"nückverfolgbaren",33.66037735849061,4.906162483870599e-08,2,0.5430417679082306
"ingwerpulver",33.66037735849061,4.906162483870599e-08,2,0.25075860919109616
"nachhaltigem",33.66037735849061,4.906162483870599e-08,2,0.013967881171202377
"cajou",33.66037735849061,4.906162483870599e-08,2,0.045442290203242176
"ver",33.66037735849061,4.906162483870599e-08,206,0.07027031421482646
"natriumbicarbonat",33.66037735849061,4.906162483870599e-08,2,0.21970953576792318
"fortement",33.66037735849061,4.906162483870599e-08,2,0.1583411987413663
"gmbh",33.66037735849061,4.906162483870599e-08,2,0.08116986679906699
"weizenvollkormehl",33.66037735849061,4.906162483870599e-08,2,0.1220827432042585
"zuckerrübenstrup",33.66037735849061,4.906162483870599e-08,2,0.15834119874136635
"pistache",33.66037735849061,4.906162483870599e-08,2,0.1940304777399769
"man",33.66037735849061,4.906162483870599e-08,114,0.2748385230901439
"bourbonvanileschote",33.66037735849061,4.906162483870599e-08,2,0.07476045427783987
"sahnepulver",33.66037735849061,4.906162483870599e-08,2,0.09948278344942836
"del",33.66037735849061,4.906162483870599e-08,88,0.13917914565462253
"gehackt",33.66037735849061,4.906162483870599e-08,1,0.1940304777399769
"glukose",33.66037735849061,4.906162483870599e-08,17,0.4288408907058686
"marzipanrohmasse",33.66037735849061,4.906162483870599e-08,2,0.428067089421989
"type",33.39842554122027,5.592732423313868e-08,36,0.3535887964944176
"gerstenmalzextrakt",33.37502733435383,5.658546611245959e-08,7,0.12208274320425837
"45",33.35553189182993,5.713974254081464e-08,13,0.11190481661984678
"levure",31.897135359720114,1.1847454852020454e-07,12,0.24462340879660224
"apfelstücke",30.352941176470573,2.564144930772031e-07,5,0.15834119874136632
"ammoniumhydrogencarbonat",30.352941176470573,2.564144930772031e-07,3,0.07027031421482652
"feigen",30.352941176470573,2.564144930772031e-07,3,0.0702703142148265
"liebstöckelpulver",30.352941176470573,2.564144930772031e-07,3,0.0702703142148265
"schwach",30.352941176470573,2.564144930772031e-07,3,0.15834119874136643
"630",30.352941176470573,2.564144930772031e-07,3,0.2366173466478266
"trockenfrüchte",30.352941176470573,2.564144930772031e-07,3,0.11430575647809639
"butter",30.352941176470573,2.564144930772031e-07,35,0.11190481661984683
"provence",30.352941176470573,2.564144930772031e-07,3,0.07869070525870309
"aprikosenstücke",30.352941176470573,2.564144930772031e-07,3,0.08610887593639942
"weizengrieß",30.352941176470573,2.564144930772031e-07,13,0.07027031421482652
"aprikosen",30.352941176470573,2.564144930772031e-07,5,0.0702703142148265
"feigenstücke",30.352941176470573,2.564144930772031e-07,3,0.2418563450129418
"melkpoeder",30.327327339717574,2.5971949080576185e-07,8,0.11190481661984684
"palmfett",28.631155929920773,6.064897766807285e-07,19,0.09948278344942837
"tamari",28.06002624097968,8.069427439178394e-07,8,0.1583411987413664
"nelken",28.03114259661926,8.186810245995633e-07,5,0.15834119874136632
"kaffee",28.03114259661926,8.186810245995633e-07,8,0.29701773221713784
"vanilleextrakt",26.813924222982326,1.5046321451129832e-06,10,0.15805661047211764
"gemahlen",26.72687867319209,1.5715638735212089e-06,42,0.09948278344942836
"amande",24.947835738068846,3.825130900056214e-06,6,0.1583411987413664
"ontolied",24.47946725860159,4.8344962180785476e-06,3,0.20865095763732572
"magere",24.47946725860159,4.8344962180785476e-06,3,0.15834119874136632
"weiß",24.42772796851083,4.961194675394072e-06,62,0.11190481661984679
"überzugsmittel",24.42772796851083,4.961194675394072e-06,6,0.11190481661984678
"32",24.42772796851083,4.961194675394072e-06,7,0.06509771661084258
"flour",24.42772796851083,4.961194675394072e-06,4,0.07027031421482645
"beurre",23.7358903160058,7.01159635113009e-06,6,0.07027031421482652
"cacaopoeder",22.946614459770075,1.0404135049923929e-05,7,0.15834119874136632
"erdnüssen",22.758430327310865,1.143061628223299e-05,6,0.3363537569142297
"currypulver",22.501788595076157,1.2995670459659123e-05,6,0.19403047773997667
"17",22.401662817376085,1.3662831945038875e-05,13,0.5255108346870755
"speltmeel",22.201113559521634,1.5103911925816706e-05,12,0.0702703142148265
"68",21.307456811720975,2.3612639769321952e-05,4,0.250758609191096
"in",21.163919478151122,2.536958001016717e-05,561,0.15834119874136632
"kandiert",21.163919478151122,2.536958001016717e-05,4,0.29821647321353584
"weizenstärke",20.68616715445806,3.221483242266533e-05,17,0.0702703142148265
"gemalen",20.567287895729322,3.418772324228041e-05,14,0.13522023611257863
"vollmilchpuiver",20.235294117647054,4.036098090744923e-05,2,0.1583411987413664
"peanuts",20.235294117647054,4.036098090744923e-05,2,0.10752543038958473
"sirop",20.235294117647054,4.036098090744923e-05,2,0.15834119874136637
"sorghum",20.235294117647054,4.036098090744923e-05,2,0.1583411987413663
"soda",20.235294117647054,4.036098090744923e-05,2,0.1583411987413664
"goldleinsamen",20.235294117647054,4.036098090744923e-05,2,0.15834119874136637
"trocken",20.235294117647054,4.036098090744923e-05,5,0.17036136732862947
"wholemeal",20.235294117647054,4.036098090744923e-05,2,0.09948278344942839
"dinkelvoll",20.235294117647054,4.036098090744923e-05,33,0.12699415997411864
"geroosterd",20.235294117647054,4.036098090744923e-05,6,0.13917914565462242
"malt",20.235294117647054,4.036098090744923e-05,18,0.1583411987413664
"fibres",20.235294117647054,4.036098090744923e-05,2,0.15834119874136632
"fettarmes",20.235294117647054,4.036098090744923e-05,2,0.14467869967575966
"ae",20.235294117647054,4.036098090744923e-05,2,0.7215608666309649
"chia",20.235294117647054,4.036098090744923e-05,2,0.07027031421482657
"çontenir",20.235294117647054,4.036098090744923e-05,2,0.1583411987413664
"same",20.235294117647054,4.036098090744923e-05,22,0.35017133918290955
