"feature","chi2_score_nuts","p_values_nuts","sample_count_nuts","correlation_to_nuts"
"noten",542.9335518759199,1.2690454901573584e-118,277,0.05106316963956596
"mandeln",308.42037126207,1.0650434533174496e-67,101,0.0636507554160554
"haselnüsse",298.48101265822675,1.5334570793578726e-65,40,0.08330892195245931
"sesamzaad",170.73800230681408,8.408409873017449e-38,226,0.09510124115341327
"nüssen",166.0433167943202,8.793299786817814e-37,107,0.1024074803860467
"de",148.55384876377457,5.5200321630759906e-33,603,0.10295389071395984
"kakaobutter",137.7673355473932,1.2139566894863737e-30,72,0.03804961366452148
"rohrohrzucker",123.43446485437028,1.5723402013319035e-27,189,0.09818105294240356
"kakaomasse",116.9582331418828,4.0072124377370465e-26,67,0.09425594386206614
"sesam",114.77980685052724,1.1909173584416158e-25,344,0.08365002487113854
"gluten",112.23635271050141,4.248011408702412e-25,280,0.09209742809848265
"cashewnüsse",111.93037974683502,4.95024688667921e-25,15,0.08247944382523059
"mandel",111.04807757222017,7.695136752524544e-25,180,0.138565168947088
"und",110.25018391252911,1.1467711245880081e-24,224,0.09921478005960786
"pinda",105.25589206922287,1.3930716152101813e-23,79,0.09921478005960788
"geröstet",104.27427173710328,2.2757764031956398e-23,39,0.08365002487113854
"vollmilchpulver",101.30674486358703,1.003505744874551e-22,48,0.046747594876300945
"sporen",95.80412572140045,1.5718041381222809e-21,374,0.09726799159579974
"melk",84.08650226562932,5.506149915839853e-19,304,0.03508666171664487
"walnuss",79.49036873968033,5.48132743369594e-18,27,0.09704639952965365
"spuren",76.46983820427776,2.4819076514061665e-17,210,0.08365002487113847
"hazelnoten",74.62025316455669,6.257745638582388e-17,10,0.10211152201621453
"amandes",74.15167730745067,7.909842951624636e-17,14,0.08745867296893789
"farine",73.3589164996311,1.17574646834172e-16,50,0.06262174736157386
"kann",72.65991502913826,1.6676308614099476e-16,217,0.08745867296893789
"von",72.62769612365331,1.694713035785722e-16,215,0.08365002487113847
"enthalten",72.43302975934239,1.8679594058625057e-16,217,0.11483957716039687
"stark",68.48709958666966,1.343430747721942e-15,26,0.22153673941328914
"cacao",68.29759818282068,1.4769472719689798e-15,50,0.11635111401980879
"épeautre",67.7653239260968,1.927289153454818e-15,34,0.16559472431094602
"amandelen",67.381517640064,2.3350132716122292e-15,14,0.17786266921155472
"invertzuckersirup",60.41062500949713,7.620780537291282e-14,13,0.20124522692961017
"anderen",60.02720139465477,9.2312143424429e-14,23,0.04423368660440212
"raisins",59.81619736502167,1.0258356271027148e-13,6,0.08365002487113846
"grillées",59.69620253164534,1.0892669456861156e-13,8,0.04455323490200796
"reisextrudat",57.95918367346892,2.5961105227596114e-13,20,0.08365002487113854
"gerstenmalzmehl",57.736701493994204,2.901580132635633e-13,25,0.08365002487113846
"gefriergetrocknet",57.736701493994204,2.901580132635633e-13,15,0.20344164675130513
"cashewnuss",55.21974941875432,1.0213715761817295e-12,28,0.0972679915957997
"extrait",54.87539058685625,1.213278042410622e-12,22,0.08365002487113839
"hafervollkornflocken",54.386757191909204,1.5490510536185621e-12,56,-0.09142196203002859
"kakaopulver",53.77626678071081,2.1019967484573512e-12,40,0.06761758177747673
"erdnuss",53.400051666235754,2.5370329867794254e-12,20,0.09890922637235279
"emulgator",53.38248787272331,2.559411065706364e-12,33,-0.0811936520626289
"flocons",49.34066011426064,1.931131239772552e-11,20,0.08365002487113851
"honig",49.19797341956425,2.073938202658302e-11,58,0.09736266749924397
"reismehl",49.13280372284699,2.1426302465792487e-11,62,0.10248833128643227
"macadamianuss",47.91010074916014,3.9486969892568955e-11,15,0.11067815284662945
"haselnuss",47.88083756709389,4.006897453100542e-11,30,0.14734671405308622
"et",47.50558559171798,4.8338498814662504e-11,347,0.08365002487113848
"lupine",45.7758644319465,1.1478822396884258e-10,114,0.0836500248711385
"secs",45.716145698785624,1.182674123129625e-10,6,0.0755747542263859
"allergenen",45.443675015658755,1.3552872467835638e-10,422,0.0836500248711384
"lait",45.18568075282838,1.5418924930176923e-10,42,0.08861844579054598
"noisettes",44.772151898733995,1.896054182274405e-10,6,0.15152139079580224
"morceaux",44.772151898733995,1.896054182274405e-10,2,0.08365002487113843
"noix",44.09354419255389,2.6620029646460056e-10,18,0.09921478005960786
"sucre",43.930315890627206,2.888371893208683e-10,52,0.10962127310890002
"amande",43.09177215189831,4.3927912891247815e-10,50,0.10248833128643235
