"feature","chi2_score_open","p_values_open","sample_count_open","correlation_to_open"
"label",536.367595220462,1.1632134136770615e-118,14548,0.19810824104677816
"open",529.5261516232947,3.581271097428245e-117,15807,0.05722787902024824
"placebo",512.3982870742049,1.9072975211075977e-113,23601,-0.14394128232991743
"double",495.3181940338484,9.923075061348079e-110,29506,-0.05028778622504279
"blind",459.8761590978245,5.1149476495793376e-102,29958,-0.058878725920227734
"controlled",292.7424215141554,1.2560791672971349e-65,26939,0.03667533617978657
"parallel",156.07308522653295,8.160124772519623e-36,12657,0.12746732639185818
"group",143.3783429408012,4.85857346483232e-33,12193,0.07761493389502558
"abierto",96.06001298126571,1.1145329513676123e-22,2150,0.04216352069807163
"relapsed",94.0156782050126,3.1303452929502576e-22,1666,-0.07440355897911324
"doble",85.80167135031257,1.989179689083228e-20,3787,0.04037395675969343
"leukemia",84.45178894342175,3.936988791665898e-20,1215,0.05016584609600844
"randomized",81.84383862370969,1.472753379592093e-19,31918,-0.047634957808092404
"ciego",78.72891041147983,7.12452674243128e-19,3697,-0.039902769739681224
"efficacy",72.79251397684854,1.4402210855731526e-17,28605,-0.05140174328014008
"cell",72.24010144511666,1.9054407379436352e-17,5204,0.05767173584549033
"refractory",66.35949099660657,3.7574529681409545e-16,2227,0.05053908690466516
"moderate",65.51701511682572,5.761438569070342e-16,4473,0.039912372192020276
"active",64.80666851358308,8.261907106359555e-16,6678,0.09950826457297146
"dummy",63.933416113344165,1.2869610796327779e-15,1780,0.12118927731980328
"lymphoma",62.49351134450226,2.673239411650072e-15,1456,-0.06490923472208837
"cancer",60.77971492338829,6.383229237619241e-15,7466,0.04196280251628856
"ii",59.80196572086993,1.0489853318179829e-14,17914,-0.07044606705662926
"mg",59.31496000079005,1.3435128171445525e-14,6170,-0.04491210017229759
"long",57.56458154186889,3.2706226880826194e-14,4346,0.053872528666498144
"advanced",56.83968138163513,4.728284824155769e-14,4243,0.07145890508936797
"extension",56.70008543494541,5.0761345481582266e-14,3712,0.05778722149048886
"ranging",54.626613998191914,1.4574841979837088e-13,1194,0.06393603483463073
"term",54.47151844987087,1.577171871539896e-13,5667,-0.042224546977591454
"randomised",53.16267696755104,3.070375346071835e-13,8376,-0.6438316142735568
"previously",51.35492646749536,7.708830808948233e-13,2437,-0.0640116926446063
"arm",50.72520392035693,1.0624639911166422e-12,7402,0.038359013857654084
"single",50.47525708730836,1.2067669037625772e-12,3519,0.04700272271135232
"week",49.29542353096448,2.20175549956128e-12,7526,0.03504824776622171
"imatinib",46.35774583812325,9.851727424660135e-12,359,0.03718610016227763
"chemotherapy",46.04737037821255,1.1542797466475049e-11,3084,0.08771878474183226
"trastuzumab",44.814730253290115,2.1658719353064144e-11,609,0.033322119426636744
"metastatic",42.54063146809736,6.922906459407045e-11,4424,0.1430758617803112
"cetuximab",41.796983263108565,1.0125953187612015e-10,346,0.05066439721828878
"carcinoma",41.61904712949139,1.1090746680794815e-10,2196,0.04454278174015038
"inadequate",40.74442755770701,1.7349748102195757e-10,1747,0.09689060367908743
"controlado",40.251483598912756,2.232857142658557e-10,3237,-0.07949972296659462
"tumors",39.2933532033703,3.6468062892110175e-10,579,0.04564994249143969
"g",38.8268680296921,4.6310943456890286e-10,55034,0.1470163735702445
"lymphocytic",37.68090628375521,8.331609879995965e-10,375,0.07154758864913713
"daily",37.61272550642568,8.627975538529235e-10,3383,0.10226859107584878
"cardiovascular",36.86751510707893,1.2643511404896673e-09,1179,0.04843608784677683
"myeloid",36.58446891310186,1.4619187252706856e-09,630,0.039158855079078105
"solid",35.94631890016025,2.02829204603092e-09,607,0.07659623450972615
"myeloma",34.56666971093888,4.118989956304763e-09,784,0.044453352365166496
"agent",34.47688766587239,4.313428631141996e-09,741,0.057482992799981224
"copd",34.052682111368966,5.363991982361602e-09,982,-0.09357251195342836
"hemophilia",33.35888995094052,7.66267391476942e-09,362,-0.19052493073514673
"severe",33.206017437845745,8.289361610761277e-09,4539,0.06118384520119921
"dvojite",32.6295650486082,1.1150561735378175e-08,6,0.05477461130827707
"safety",32.508403342268025,1.1867825608103203e-08,30923,0.05611680664023222
"methotrexate",32.48575678631745,1.2006930132213502e-08,1001,0.05120049943334221
"insulin",32.082783010785434,1.477408332997181e-08,1210,-0.04244747800207688
"positive",31.910765323900826,1.6142005708000944e-08,2251,0.05256490663735726
"breast",31.56837220084352,1.9254008702295568e-08,2174,0.06745336252680328
"evaluate",31.31958065680589,2.1886111584243365e-08,12660,0.049543345922375616
"choice",30.932812347104054,2.6711722471277666e-08,363,-0.06297091318836258
"participated",30.737096197883524,2.95462121938082e-08,298,-0.13165412494593343
"lenalidomide",30.726246742416443,2.971187606885728e-08,406,-0.06210608971038099
"heart",30.388399802113,3.536366116202487e-08,1124,-0.4783971509581143
"nivolumab",30.03701782396038,4.2387678393202434e-08,459,-0.07932337437990669
"weeks",29.939800815758783,4.4566998408364454e-08,2529,-0.054998620146336295
"cisplatin",29.32505779440656,6.119917593400694e-08,663,0.047501374804256286
"doses",28.956671099886265,7.401547147610578e-08,2274,0.04998300506523518
"line",28.77097232996614,8.146296764249856e-08,4056,-0.09116790231817574
"bevacizumab",28.770140959880585,8.149794470510826e-08,711,0.05759017986489841
"aperto",28.177219681884765,1.1069982765486221e-07,570,-0.05595290696937908
"obstructive",28.173929066882735,1.1088819367637139e-07,867,-0.05120661183776329
"dexamethasone",27.51657037729111,1.5575432352774876e-07,635,-0.049979464941187414
"asthma",26.876117062030175,2.169229990594446e-07,1486,-0.043655375434026734
"placebem",26.77213309292869,2.2891472480133786e-07,979,0.049861244816571997
"lymphoblastic",26.72241237425807,2.3488127501466978e-07,210,0.06380733567232134
"completed",26.180213563204205,3.1099283818739337e-07,472,-0.07498470473379909
"masked",25.85219048088336,3.6858617674845143e-07,731,0.043766614374019484
"ib",25.82255317472694,3.742893283730534e-07,15756,0.05893098453066131
"daratumumab",25.415982505196485,4.6207400763939514e-07,135,-0.06587472625273805
"zaslepene",25.380101065446258,4.707490463396671e-07,3,-0.053779804086157415
"non",25.194470248840503,5.183059595673398e-07,5544,0.04438404170403077
"b",25.109908277329275,5.415388819396312e-07,60586,-0.1929472335163185
"transplantation",24.595397330341527,7.072044773971478e-07,567,0.04933521155617651
"hodgkin",24.554124235062528,7.225153282915623e-07,515,-0.09567911503775203
"diabetes",24.544867799886024,7.25994514184078e-07,3360,-0.08538986781531085
"doppio",24.094068698892542,9.174244279199469e-07,993,-0.08365906176736729
"viii",23.370872393527215,1.3358607348930233e-06,263,-0.6530787911531682
"cieco",23.094787699662188,1.5420816716297086e-06,1013,0.03881089087689996
"enrolled",22.6618153109332,1.9316871138662795e-06,183,0.041609017085436975
"major",22.266189058223155,2.3734920561315046e-06,809,-0.1292240683620135
"dose",22.021411040632827,2.6962585717472902e-06,9718,-0.11073569714321667
"access",21.98600600578444,2.7464568446368697e-06,206,-0.05468302495357655
"untreated",21.907392525106108,2.8612954662510118e-06,1077,-0.04955718046485847
"symptoms",21.841551758668068,2.9611749771007765e-06,866,0.0365335654094504
"recurrent",21.325400869732285,3.875619984501336e-06,1279,-0.06685725502508716
"mellitus",21.23238402043866,4.06832254032726e-06,1752,-0.056843629630461245
"avelumab",21.21445723980962,4.106552078027631e-06,136,-0.25487298330050734
"fluticasone",21.190134490220494,4.15899829736286e-06,482,0.03561655654345035
"mild",21.05751516355297,4.457013182679311e-06,922,-0.04920168773689288
"paralelos",21.046598926618465,4.482477980965664e-06,1550,0.04797349255776838
"glargine",20.722215135032624,5.3096418125014185e-06,464,0.03676145562891782
"transplant",20.59305694504817,5.680174337105664e-06,1267,0.06230310520309174
"regimen",20.5609022879509,5.776387379739307e-06,2247,-0.1207182361692657
"small",20.45231674503453,6.113550749756745e-06,2149,-0.06003059038750682
