"feature","chi2_score_parallel_group","p_values_parallel_group","sample_count_parallel_group","correlation_to_parallel_group"
"parallel",194.688005675339,3.0137304677229646e-44,12644,-0.09144404371798093
"group",171.2442800833332,3.957391031001847e-39,12180,-0.04614478934394288
"label",120.52183357704956,4.862862234331565e-28,14512,0.10751180758339687
"placebo",116.80189368445129,3.1722278021141517e-27,23574,-0.05401492867680365
"double",113.54126743569702,1.6422755108012594e-26,29474,0.04953241950400147
"single",110.1644235617226,9.019079365470244e-26,3515,0.0506622878348326
"open",110.14740018847135,9.096865247262989e-26,15767,-0.06254796463789014
"blind",103.24224129556265,2.9657480152910843e-24,29923,-0.043757647568422875
"controlled",92.36743304232182,7.198906160291913e-22,26925,-0.03822893918361892
"randomized",69.04575832842968,9.620522337408892e-17,31850,0.08707014946463557
"week",54.63834646576485,1.4488089426266136e-13,7502,-0.03609681552644651
"term",52.42282289541037,4.474930389277468e-13,5661,-0.047918087817778926
"extension",52.40475851238145,4.51628290248448e-13,3712,-0.05029200421405256
"cross",52.047543929498744,5.417294597246267e-13,1065,-0.08230324176144549
"long",51.837682634213174,6.028366716539571e-13,4345,-0.05736946858525472
"diabetes",43.388615891515954,4.487915277130361e-11,3358,-0.0529128463044846
"crossover",42.8017852990107,6.05768499468165e-11,461,-0.038830858845366335
"mg",41.80214138962009,1.0099274977876511e-10,6135,0.04105245882337714
"randomised",38.452645353338866,5.609848951242727e-10,8361,0.30368656003045746
"daily",36.03589934397252,1.937155194890879e-09,3369,-0.03712890300636838
"active",35.60801530504709,2.4129266525805657e-09,6666,-0.05208698138157018
"ii",35.48162942955981,2.5746738716829873e-09,17885,-0.04852667518701072
"solid",35.37078990546776,2.725437830953996e-09,606,0.06883122731741863
"metformin",34.42576849174667,4.4282156055670406e-09,1218,-0.05909528449180476
"type",34.1233189508711,5.172764965097847e-09,4735,-0.03339368690611081
"tumors",32.880536027464316,9.799955719898175e-09,578,0.09414978531484403
"versus",31.69204869575684,1.8066034413238326e-08,9180,-0.0505545038950205
"participated",31.325325631950648,2.1821444062921856e-08,298,0.04649078964341656
"hemophilia",30.496999365503314,3.343833029702198e-08,362,0.0735288406858175
"mellitus",30.17370009202688,3.9503015231440246e-08,1751,0.07752818493204748
"insulin",30.171390754155084,3.955008115698245e-08,1208,0.08595554293849969
"cardiovascular",29.076166550671896,6.958781906237815e-08,1178,-0.06338908873138917
"paralelos",28.793041287703872,8.053997051418182e-08,1550,0.06022746057568764
"efficacy",28.028376346398893,1.195495034127833e-07,28573,0.06925455996551251
"lymphoma",26.292115608631732,2.93484360921031e-07,1454,0.2687493942589777
"grupos",25.26821204047634,4.988629211679183e-07,1634,-0.03799956389315282
"completed",24.796432445919052,6.371528592682905e-07,472,0.046067972941962694
"comparing",24.48603390033211,7.48504346518659e-07,3099,-0.10401345090791601
"arm",23.478417663975478,1.263229252227397e-06,7401,-0.09092537596522485
"way",22.90705776397548,1.7002641022244524e-06,360,0.0910197382627772
"relapsed",22.215237626596725,2.4373177335944903e-06,1665,0.05559918643756722
"viii",21.870280803297128,2.9171702916824436e-06,263,0.1005435140446961
"enrolled",21.646741888823094,3.2776627216697233e-06,183,0.09478087928825868
"abierto",20.95512638400586,4.7016800153371185e-06,2143,0.31175741939858953
"pediatric",20.731331568927974,5.28442396747577e-06,1343,0.04469057493188368
"dummy",20.649491557347424,5.515183068822797e-06,1774,0.07436945202946124
"atezolizumab",20.49552741787579,5.977075401078257e-06,311,0.1587816047815875
"doble",20.399880521873985,6.283371807232079e-06,3784,-0.06167608745034034
"moderate",20.35274491484931,6.440064013014398e-06,4455,-0.06095687047684522
"escalation",20.23563284133229,6.846570402181371e-06,528,0.05113953235804719
"malignancies",20.144491204467037,7.180675712080984e-06,206,-0.04572658098826547
"compare",19.850068781086062,8.375971912689652e-06,6348,-0.036337072942558724
"ciego",19.274980216573915,1.1317979373641009e-05,3694,-0.11287456168861172
"day",19.13456812172904,1.2181843539082884e-05,1643,-0.041416374973696976
"ib",19.043765560952803,1.2775446800084529e-05,15716,-0.05836483014279876
"inadequate",18.734723340385564,1.502219609305074e-05,1747,0.03564197590761738
"ix",18.450033106468823,1.7441780255776826e-05,3209,0.05161743440597201
"isis",18.181853213776012,2.0078286789530105e-05,317,0.04074260741240088
"compared",18.08270331628138,2.1151415300869176e-05,4243,0.27510235891531687
"sponsored",18.057235130885584,2.143624724037048e-05,160,-0.05184825830020376
"weeks",17.790332541090244,2.4663321641189012e-05,2522,0.09833770319274865
"ranging",17.30422529984267,3.184779078392413e-05,1194,-0.04187786672988417
"follow",17.051913706886246,3.6371702332676406e-05,3460,-0.041091938330555466
"glargine",16.20609946309829,5.6810903380032076e-05,464,-0.07499542320085896
"antipd",15.690901558225484,7.458207444231291e-05,10,-0.05512249931267259
"mtx",15.517440081821768,8.174755542519279e-05,229,-0.10812859160591765
"control",15.368639372537327,8.844408201378561e-05,28321,0.06435272767261167
"bosutinib",15.191953809085902,9.711634637405496e-05,79,0.06367301842706616
