"feature","chi2_score_peanut","p_values_peanut","sample_count_peanut","correlation_to_peanut"
"pinda",535.5874562718614,4.996450420241098e-117,79,0.09637213588242151
"erdnüsse",504.23076923076906,3.218693764199119e-110,29,0.07771441164832302
"lupine",182.12260339746152,2.8351703428359513e-40,114,0.0782719974084611
"erdnuss",146.08695652173841,1.895049036423556e-32,20,0.11023966327673525
"noten",130.8752496087846,3.8089093656892937e-29,277,0.07203730757734693
"gerösteten",100.8461538461538,1.2633856267711614e-22,2,0.03127782466534665
"sonnenbluemenöl",100.8461538461538,1.2633856267711614e-22,2,0.19244859089522573
"grüne",100.8461538461538,1.2633856267711614e-22,10,0.0782719974084611
"peanuts",100.8461538461538,1.2633856267711614e-22,2,0.07827199740846102
"mandelmus",100.8461538461538,1.2633856267711614e-22,2,0.07783416952863041
"mandelstückchen",100.8461538461538,1.2633856267711614e-22,2,0.07827199740846102
"syrup",100.8461538461538,1.2633856267711614e-22,2,0.0782719974084611
"88",100.32162764771442,1.6422351692707278e-22,12,0.0782719974084611
"erdnüssen",95.84139764125975,1.5427833145433795e-21,19,0.19836191057335487
"vollrohrzucker",85.64827201783712,2.521819734956037e-19,9,0.07827199740846096
"sesamzaad",77.2387007539235,1.689776385548678e-17,226,0.09589915141336566
"macadamianuss",75.98073132664403,3.169522411089736e-17,15,0.09589915141336566
"geröstet",68.14474347114422,1.5942519977963065e-15,39,0.1107763299147586
"walnuss",67.2418758179434,2.503872381135865e-15,27,0.12113624997901318
"macadamia",61.772775919732375,3.856667011888397e-14,23,0.11077632991475855
"anderen",59.18749163879547,1.4047514588542655e-13,23,0.07827199740846104
"sultaninen",51.6844816053508,5.982151663840111e-12,7,0.0782719974084611
"gerstenvollkornflocken",50.572964426877135,1.0428463080416247e-11,9,0.07827199740846096
"roggenvollkornflocken",50.572964426877135,1.0428463080416247e-11,11,0.07827199740846097
"beluga",50.4230769230769,1.1240042823633563e-11,1,0.0953185554907171
"raw",48.585685618729045,2.8167766902631657e-11,4,0.17344720642788528
"sugar",48.585685618729045,2.8167766902631657e-11,4,0.112916752827405
"linsen",45.004630820684056,1.6879850164073341e-10,31,0.07827199740846102
"cashewnuss",44.88222073578549,1.7945253572576587e-10,28,0.07827199740846104
"mandel",44.18814142379281,2.5390251751261287e-10,180,0.07827199740846101
"sesam",43.9407982162752,2.8732730680840306e-10,344,0.07827199740846104
"weinbeeren",43.82608695652152,3.0428891782855105e-10,3,0.07827199740846104
"nüssen",42.938309750449214,4.743124305321061e-10,107,0.07827199740846101
"mandeln",42.356385549428,6.344943238265283e-10,101,0.0782719974084611
"und",40.56847975394026,1.5511955558648648e-09,224,0.07827199740846104
"hirse",40.51018546670705,1.5970738379798497e-09,22,0.0782719974084611
"wasser",40.00173913043638,2.0593620939774457e-09,211,0.0782719974084611
"sporen",34.8258787759538,2.739406677725404e-08,374,0.07827199740846104
"cashewnüsse",32.63373913043448,8.197352028250404e-08,15,0.07827199740846098
"buchweizen",31.73765217391279,1.2830878607549364e-07,12,0.07827199740846101
"69",31.543735528685314,1.4137247480597822e-07,13,0.0782719974084611
"arachide",29.217391304347675,4.524015564987246e-07,4,0.11595030996797505
"malte",29.217391304347675,4.524015564987246e-07,2,0.0634132372122461
"bio7",29.217391304347675,4.524015564987246e-07,2,0.24920351401504998
"berglinsen",29.217391304347675,4.524015564987246e-07,4,0.38436328166115585
"fr",28.757591973243755,5.693354766747576e-07,222,0.22760071098799756
"seigle",26.952298136645688,1.4040508033082151e-06,8,0.09589915141336566
"65",24.188929765886183,5.590371120423645e-06,8,0.09589915141336566
"palmöl",24.06560816757582,5.945927159570489e-06,17,0.06387565713431632
"sojaflocken",23.32273291925448,8.620508712771905e-06,5,0.0782719974084611
"meersalz",22.501084506743325,1.3000246315037444e-05,266,0.07827199740846104
"kann",22.264922252689598,1.462963742316724e-05,217,0.06351957351073585
"aprikosen",21.91304347826076,1.7443879093497272e-05,5,0.12347876880261985
"aprikosenstücke",21.91304347826076,1.7443879093497272e-05,3,0.17149617099199274
"reisvollkornflocken",21.91304347826076,1.7443879093497272e-05,3,0.17137667759984238
"feigen",21.91304347826076,1.7443879093497272e-05,3,0.058690805142386546
"trockenfrüchte",21.91304347826076,1.7443879093497272e-05,3,0.05787508099827978
"feigenstücke",21.91304347826076,1.7443879093497272e-05,3,0.07236696883695332
"mandelkrokant",21.91304347826076,1.7443879093497272e-05,3,0.1713766775998425
"égrugé",21.75582608695631,1.887045581234886e-05,6,0.07827199740846104
"weizenvollkornflocken",21.64850661625678,1.991069948562422e-05,23,0.1112571485990227
"spuren",20.698067845197272,3.202371222323296e-05,210,0.07827199740846093
"lupinen",20.666391304347535,3.253495031400313e-05,28,0.08055282287715551
"haselnüsse",20.339391304347433,3.8313982419535e-05,40,0.05787508099827973
"stark",20.096086956521436,4.327032562817207e-05,26,0.144351537139751
"enthalten",19.50401979199973,5.8177615186526424e-05,217,0.07827199740846104
"von",19.012005600061244,7.4403855217319e-05,215,0.0782719974084611
"lupin",16.91999999999986,0.00021177207067364604,116,0.1252757915517678
"epeautre",16.91999999999986,0.00021177207067364604,4,0.0782719974084611
"haselnuss",16.55452991452961,0.0002542315842641988,30,0.07827199740846105
"19",15.962484037701314,0.00034181461856270536,22,0.0782719974084611
"glucose",15.897956825782819,0.0003530226238382198,15,0.0782719974084611
"gierst",15.691170568561851,0.0003914764160662257,6,0.07827199740846112
"hele",15.691170568561851,0.0003914764160662257,3,0.07827199740846101
"zitronensaftkonzentrat",15.447826086957138,0.0004421271518099531,93,0.14363794337935593
"palmolie",15.190635451504836,0.0005028001787433018,11,0.08193991266390457
"geroosterd",14.975434782608588,0.0005599195802162047,13,0.326534229747294
"agavesiroop",14.975434782608588,0.0005599195802162047,4,0.08616810117611143
"an",14.608695652173838,0.0006726080258952642,876,0.0782719974084611
"blanchierte",14.608695652173838,0.0006726080258952642,2,0.07827199740846104
"www",14.608695652173838,0.0006726080258952642,2,0.12177848972127239
