"feature","chi2_score_randomised","p_values_randomised","sample_count_randomised","correlation_to_randomised"
"label",264.2421742193864,2.041040579544166e-59,14512,-0.12135800406630289
"open",247.30961152401156,1.002261601680575e-55,15767,-0.05172516666576678
"extension",202.31302956061373,6.532677401788904e-46,3712,-0.08192835556122602
"term",194.57543466377177,3.189137381571454e-44,5661,0.10352167201642974
"long",192.21624979637232,1.0437246859499714e-43,4345,-0.05702291063153042
"single",167.99138702129437,2.0318073536809222e-38,3515,-0.05780772096343909
"placebo",162.2055111527039,3.7307029832072894e-37,23574,-0.04905167259726976
"double",156.86170004808994,5.487447499054429e-36,29474,0.11778259935958331
"blind",147.22314085576932,7.013773960915493e-34,29923,-0.03609085757807198
"randomized",132.82237188334358,9.887408751686115e-31,31850,-0.15985265351319278
"controlled",131.52571719308597,1.8999696961129387e-30,26925,-0.049015103173792804
"completed",93.82540255131532,3.4462049088986026e-22,472,-0.03871452312463564
"arm",87.40046128181947,8.8629818852577e-21,7401,-0.06425087228318083
"participated",84.01106779439668,4.9201260770714795e-20,298,-0.04324521093323617
"parallel",80.37311064436767,3.0998491068219756e-19,12644,-0.04539388551263358
"solid",79.08751366572886,5.941868462026066e-19,606,-0.04539450843605027
"group",72.72656222733175,1.4891627457457887e-17,12180,0.3669996878472873
"versus",67.34178178469433,2.2829166585733734e-16,9180,0.06199563074218919
"randomised",66.37890964781408,3.7206181221119146e-16,8361,-0.03280778820807003
"tumors",66.05486498398352,4.385440713245448e-16,578,-0.0663246709130775
"follow",61.564746542266015,4.2842097029853024e-15,3460,-0.0645188995133345
"hemophilia",55.58805180353998,8.936514516112846e-14,362,-0.043331933481979126
"enrolled",55.161523541436026,1.11020868478026e-13,183,-0.030910043929875057
"ii",52.77177169955309,3.7464727140420717e-13,17885,0.048305524490633966
"relapsed",48.65298334579168,3.0550322659608823e-12,1665,0.04670907477501132
"sponsored",44.72019228626955,2.2730107137228998e-11,160,-0.04741898786432719
"access",44.211022963234434,2.948164717251339e-11,206,-0.038049822765939906
"pediatric",44.192447299287245,2.976274116080763e-11,1343,-0.06492154820813066
"cohort",39.36449693237856,3.5163253150369674e-10,343,0.10753221314496826
"iii",36.57950158727472,1.465648838636497e-09,9940,-0.041146493980803694
"abierto",35.624627437491576,2.392437390246127e-09,2143,-0.04436859082424259
"compared",34.80530937003212,3.643784074352347e-09,4243,-0.08303959682921107
"malignancies",34.17422467954776,5.039200774000848e-09,206,0.07447290565317828
"expanded",33.44805635335464,7.31928862852253e-09,146,0.10728489109114278
"active",32.90239534339087,9.690379505120137e-09,6666,0.08981327866059219
"diabetes",32.75433287803015,1.0457294480251688e-08,3358,0.05678675670756486
"rollover",31.80866662915375,1.7013190209120956e-08,104,-0.03431627638463077
"refractory",31.051813576984383,2.5123147677425287e-08,2227,-0.1267369924715862
"bax",29.5574932103033,5.428239312691161e-08,87,-0.04319378518923427
"roll",28.23201399024854,1.0760992155247814e-07,27404,-0.05080450996135486
"mongersen",27.835039430712122,1.3211167282453783e-07,58,0.06283711368641397
"viii",27.8311693127543,1.3237620085311737e-07,263,0.08987591206746239
"comparing",26.914644216181543,2.126415804646335e-07,3099,0.3216655420153136
"studies",26.104359970577615,3.234528118621573e-07,325,0.04867873217893654
"aleatorizado",25.989427045740552,3.4329228371190967e-07,5024,0.04372581819174169
"grupo",25.817379288733818,3.752939783716479e-07,1838,0.0653104267337697
"doble",25.61715472790186,4.1632172881259696e-07,3784,0.08786013153547988
