"feature","chi2_score_single_blind","p_values_single_blind","sample_count_single_blind","correlation_to_single_blind"
"gonal",105.85327519055625,7.940194203959126e-25,59,0.049500369378943865
"unpreserved",102.98079250039743,3.384133868010499e-24,19,0.04950036937894387
"cleansing",97.51118885197255,5.355280470073779e-23,19,0.04950036937894389
"observer",92.23350772606955,7.702941782713726e-22,81,0.0699490065474477
"assessor",89.88705895257594,2.5215094874281475e-21,112,0.0397748214874608
"follitropin",78.08894049051223,9.85039191826461e-19,54,0.07439107009992826
"cssti",75.19329398604837,4.268143099801207e-18,16,0.04950036937894387
"simple",73.88573672155883,8.277224111133741e-18,89,0.04950036937894389
"remyelinate",71.42568869863499,2.878993407785221e-17,6,0.049500369378943865
"latanoprost",71.21996081023362,3.195389629040669e-17,47,0.04950036937894391
"glaucomatous",67.91923368215366,1.7033153121309452e-16,12,0.049500369378943844
"eyedrops",65.94867586257843,4.628192562588815e-16,5,0.049500369378943844
"standardised",65.12636817979168,7.024581285787357e-16,19,0.049500369378943844
"monohydrate",65.06204320562138,7.257664317862293e-16,6,0.04959529496270501
"rosacea",64.28971029643523,1.0740520826032893e-15,32,0.038918719228714316
"tedizolid",64.27042978608283,1.084614231808405e-15,12,0.04950036937894387
"grifols",63.495109424801704,1.6076545493289223e-15,5,0.04950036937894387
"sealant",62.684607407920716,2.4260433021072637e-15,28,0.04251104222301767
"nanobody",60.2973961233861,8.155521796477534e-15,6,0.06214767835181507
"oi",60.11838540540041,8.932010109747109e-15,7109,0.049500369378943844
"technologies",59.11131507409763,1.4899998801573817e-14,9,0.04950036937894388
"creme",58.89576001599004,1.6625007770127056e-14,43,0.04950036937894387
"serogroup",58.11735477295867,2.4693818876773127e-14,42,0.0495003693789439
"evaluable",57.78794105337563,2.9195406125241077e-14,17,0.04950036937894387
"nx",57.54441096851358,3.304335154017578e-14,138,0.04950036937894389
"findingstudy",57.15845490548437,4.020755896216434e-14,7,0.04950036937894386
"retard",55.37775852390774,9.945543254247872e-14,28,0.04950036937894388
"single",53.52178044073503,2.557417113207585e-13,2969,0.04950036937894389
"foam",53.41684797596474,2.697732501758823e-13,22,0.04950036937894387
"infertile",51.69721185110731,6.475464138073405e-13,10,0.09900814059005641
"oligo",51.69721185110731,6.475464138073405e-13,42,0.04950036937894388
"ineither",50.95581811699014,9.446858313560412e-13,3,0.04950036937894389
"moviprep",49.565118439257546,1.9189537676595013e-12,10,0.049500369378943886
"picosulfate",49.291914903476545,2.2056970541452792e-12,8,0.04950036937894386
