"feature","chi2_score_soy","p_values_soy","sample_count_soy","correlation_to_soy"
"soja",436.04406250646383,2.061744731145045e-95,50,0.26015347648793813
"emulgator",376.6666666666665,1.6138849619416637e-82,10,0.12939983822057066
"sojalecithin",376.6666666666665,1.6138849619416637e-82,10,0.17701468773304357
"butterreinfett",263.6666666666666,5.5655847764021285e-58,7,0.17127611257405248
"kakaobutter",222.21155056697737,5.589524792233673e-49,22,0.15165614688872806
"vanilleextrakt",188.33333333333326,1.2703877211078707e-41,6,0.12871595843008438
"vollmilchpulver",177.9570372209231,2.2757280343462034e-39,25,0.34537967313387424
"kakaomasse",172.99208431362555,2.724245140176895e-38,22,0.18331643747914195
"gluten",171.63739180274538,5.363075685336628e-38,49,0.12939983822057063
"rohrohrzucker",169.2128123282461,1.8026220090087613e-37,89,0.08407192981315194
"magermilchpulver",166.55343511450374,6.813669967058311e-37,5,0.20355969654384282
"weizeneiweiß",150.66666666666663,1.9193272527957603e-33,2,0.1375705401313253
"mandeln",138.61451575173373,7.94767956105409e-31,23,0.1293998382205707
"invertzuckersirup",131.46341463414606,2.8384563899776744e-29,6,0.09142045382872106
"noten",114.19750950091384,1.5934039459486022e-25,53,0.12939983822057063
"sojabohnen",112.99999999999999,2.899758114878515e-25,3,0.34604093735355396
"weizengrieß",112.99999999999999,2.899758114878515e-25,10,0.1293998382205707
"ricotta",112.99999999999999,2.899758114878515e-25,3,0.09142045382872106
"paniermehl",112.99999999999999,2.899758114878515e-25,3,0.09142045382872106
"kakaobohnensplitter",112.99999999999999,2.899758114878515e-25,3,0.33936376777918786
"butter",112.99999999999999,2.899758114878515e-25,27,0.1310946625587577
"instant",112.99999999999999,2.899758114878515e-25,3,0.29863049917409695
"ammoniumhydrogencarbonat",112.99999999999999,2.899758114878515e-25,3,0.09142045382872102
"käse",112.99999999999999,2.899758114878515e-25,3,0.12939983822057063
"1050",105.17073170731688,1.453669842949388e-23,8,0.18331643747914192
"honig",100.29448271581926,1.6646762964081543e-22,30,0.15861906134031817
"rohrzucker",97.84902459711613,5.65398014341043e-22,96,0.30538856494080313
"und",91.81360805974423,1.1559214637488708e-20,57,0.12939983822057066
"vollmilchschokolade",86.25203252032505,1.864700605051309e-19,9,0.09142045382872106
"meeresrotalge",83.27671755725187,8.254495724790397e-19,4,0.19559307312274474
"teig",83.27671755725187,8.254495724790397e-19,6,0.09142045382872106
"pistazien",83.27671755725187,8.254495724790397e-19,4,0.17701468773304352
"füllung",83.27671755725187,8.254495724790397e-19,6,0.09142045382872106
"sahne",83.27671755725187,8.254495724790397e-19,8,0.11163380333498629
