"feature","chi2_score_soy","p_values_soy","sample_count_soy","correlation_to_soy"
"soja",625.8364225630223,1.2628377431018132e-136,372,0.05474804176369775
"sojabohnen",508.1035554823907,4.642103393770523e-111,69,0.08509405054021478
"wasser",219.11643474293953,2.6270645765019768e-48,211,0.07036275457839576
"sojasauce",158.98076923076863,3.004447345443478e-35,19,0.10333713405068178
"sojalecithin",157.02055128205063,8.006090894202369e-35,28,0.04157891307164164
"calciumsulfat",128.69871794871744,1.1309111434678615e-28,17,0.12173981351709444
"gluten",121.5200106684292,4.095104257240942e-27,280,0.08881926783911835
"emulgator",114.69037129029441,1.245381214836591e-25,33,0.11539294941031307
"tofu",113.55769230769188,2.1941202545753414e-25,17,0.12992511306677587
"de",107.29978111319066,5.013587242075958e-24,603,0.10116101841685567
"complet",105.28912481358425,1.3701150741889215e-23,38,0.041578913071641646
"weizeneiweiß",104.40027915632692,2.1368174745782096e-23,25,0.046504084694662884
"gerinnungsmittel",98.41666666666629,4.25688942879768e-22,13,0.12322680760141413
"bonen",89.56925087107976,3.5504573434877324e-20,12,0.08509405054021478
"99",83.4596890448634,7.532840871663039e-19,35,0.02937870011305167
"tamari",83.2756410256407,8.258940033583862e-19,11,0.14154158146245424
"karotten",78.74985999772532,7.937526279608602e-18,46,0.08509405054021478
"meersalz",74.17703558254885,7.810186081501953e-17,266,0.23748967568310517
"und",72.66653220064775,1.6621224792000696e-16,224,0.0345286735214782
"eau",67.7195050291844,1.971951931386071e-15,74,0.035773028804673465
"sporen",63.91943425118374,1.3184729044620506e-14,374,0.10535666448045827
"kakaobutter",61.70115315747816,3.9972823718368865e-14,72,0.09941979638552616
"fèves",60.56410256410232,7.057846805036921e-14,8,0.050739998307110665
"reisgrieß",60.56410256410232,7.057846805036921e-14,4,0.05506573122770859
"magnesiumchlorid",60.56410256410232,7.057846805036921e-14,8,0.041578913071641646
"lupine",59.66206770243033,1.1080174726133941e-13,114,0.08866905213712659
"spuren",59.27944257385377,1.3416295027373932e-13,210,0.06806850790091891
"nüssen",58.57652722780329,1.906640122805056e-13,107,0.014943900019481409
"enthalten",58.31642136494937,2.1714508235847395e-13,217,0.04157891307164165
"flocons",55.198358171299446,1.0323544116849612e-12,20,0.08317737760793502
"marin",54.318098811756514,1.6031520299947482e-12,74,0.0850940505402148
"sojaflocken",52.99358974358954,3.108767185212223e-12,5,0.09333464674211822
"ricotta",52.99358974358954,3.108767185212223e-12,7,0.02937870011305167
"kann",52.84805868559556,3.3434117682683973e-12,217,0.083177377607935
"allergenen",51.68336058303372,5.985505666489922e-12,422,0.1204314049536058
"von",51.14971107487056,7.815942660102107e-12,215,0.041578913071641646
"poivre",48.85536886893567,2.4614524153586735e-11,14,0.18058319770196193
"kakao",45.47242026266396,1.335947527618488e-10,98,0.08509405054021478
"fromage",45.42307692307675,1.3693175381697435e-10,2,0.08509405054021482
"sojamehl",45.42307692307675,1.3693175381697435e-10,6,0.1380785095581703
"koagulationsmittel",45.42307692307675,1.3693175381697435e-10,6,0.05562777612578183
"schaaldieren",45.42307692307675,1.3693175381697435e-10,4,0.12872656567814145
"nigari",45.42307692307675,1.3693175381697435e-10,6,0.09116984825278454
"milchpulver",44.68849671669774,1.977043548655571e-10,64,0.08509405054021478
"sesamzaad",44.494744464229136,2.1781561100747276e-10,226,0.24949527599253882
"geölt",44.49374999999961,2.1792394285516744e-10,12,0.09846949471495545
"seigle",44.49374999999961,2.1792394285516744e-10,8,0.11587380404464133
"kakaomasse",43.660102605865724,3.3062004409506393e-10,67,0.04157891307164164
"60",43.267487626964275,4.023318728728193e-10,58,0.08509405054021481
"sel",42.965769040615776,4.678447900040347e-10,237,0.10880077835170884
"épeautre",42.0633881753011,7.346006573882749e-10,34,0.08509405054021481
"noten",41.97291914097472,7.685929806468612e-10,277,0.0848817824358402
"melk",41.49921483963772,9.740023302657926e-10,304,0.05014573939427798
"sultaninen",41.315624999999635,1.0676429166726747e-09,7,0.08509405054021481
"tournesol",41.003089999430784,1.2482228718683829e-09,36,0.04157891307164164
"fr",40.55298383605086,1.5632608356356936e-09,222,0.08509405054021478
"butterreinfett",40.135311842628724,1.9263170500381383e-09,11,0.04650408469466288
"rosinen",39.69768970189664,2.3974867136255824e-09,8,0.0810051590126237
"vanilleextrakt",39.518625356125156,2.6220413585541624e-09,18,0.08509405054021478
"cacao",39.33921506648092,2.8681244193165756e-09,50,0.09782598133438904
"sellerie",39.22565965707662,3.035681688671589e-09,62,0.041578913071641646
"gemüsebrühe",38.35183447988308,4.69899472248179e-09,9,0.11301128745165157
"raisins",38.13749999999966,5.2305468714784205e-09,6,0.08317737760793499
"kakaobohnensplitter",37.85256410256396,6.031427921841155e-09,5,0.019979432427902944
"gefriergetrocknet",37.568222560975144,6.952870225843731e-09,15,0.08509405054021481
"honig",36.14721633085839,1.414919414405376e-08,58,0.009468628326647369
"selderij",35.22914395399068,2.2391778493563082e-08,74,0.041578913071641646
"vollmilchpulver",35.10880523283712,2.3780435873921457e-08,48,0.08509405054021481
"zartbitterschokolade",35.047778885240376,2.4517236341249606e-08,18,0.09358351589183185
"roggenvollkornflocken",34.959374999999696,2.5625253675635418e-08,11,0.08509405054021481
"gerstenvollkornflocken",34.959374999999696,2.5625253675635418e-08,9,0.08509405054021478
"lauch",34.073268774754844,3.9910180812997703e-08,105,0.1042575570743072
"geröstet",33.729160512553726,4.740300297842899e-08,39,0.046527654040880814
"champignons",33.39307379612241,5.607717903154296e-08,10,0.15972006586187568
"zitronensaftkonzentrat",33.200600704388734,6.174206620553491e-08,93,0.10624141922733295
"rohrohrzucker",32.40491040407036,9.191007330204235e-08,189,0.2734077687786921
"seitan",32.28044871794839,9.781143357938031e-08,17,0.06954296174583433
"gepufft",32.23131719229238,1.0024400268440519e-07,18,0.08509405054021478
"volkoren",31.967469287310692,1.1438056673187365e-07,50,0.12800220569842627
"weizenstärke",31.866664495170216,1.2029337963776756e-07,19,0.0796522712438792
"1050",31.78545544501459,1.2527835661237167e-07,19,0.0394393034511467
"buchweizen",31.781249999999723,1.2554205938222746e-07,12,0.08509405054021478
"secs",31.781249999999723,1.2554205938222746e-07,6,0.08509405054021477
"rozijnen",31.781249999999723,1.2554205938222746e-07,4,0.09941979638552619
"égrugé",31.781249999999723,1.2554205938222746e-07,6,0.08509405054021481
"tomatenmark",31.432677338229986,1.4944481105179773e-07,47,0.08464987872559002
"zitronenöl",31.34373045653518,1.5624114401071674e-07,8,0.08509405054021481
"ail",30.398157330474163,2.5068249336413376e-07,16,0.08509405054021478
"gingembre",30.28205128205116,2.656660837411675e-07,2,0.08428486403838588
"brocolis",30.28205128205116,2.656660837411675e-07,2,0.09358351589183185
"paris",30.28205128205116,2.656660837411675e-07,4,0.05696159622723363
"paniermehl",30.28205128205116,2.656660837411675e-07,4,0.08509405054021478
"origan",30.28205128205116,2.656660837411675e-07,4,0.08509405054021481
"olives",30.28205128205116,2.656660837411675e-07,2,0.06248566963512646
"blanc",30.28205128205116,2.656660837411675e-07,6,0.17057184023973077
"hafervollkornﬂocken",30.28205128205116,2.656660837411675e-07,2,0.083177377607935
"weekdieren",30.28205128205116,2.656660837411675e-07,4,0.06998424848230754
"haricots",30.28205128205116,2.656660837411675e-07,4,0.10425755707430724
"haseinüsse",30.28205128205116,2.656660837411675e-07,2,0.08509405054021481
"vis",30.28205128205116,2.656660837411675e-07,4,0.03977633589232735
"sojaschrot",30.28205128205116,2.656660837411675e-07,4,0.08509405054021478
"lecithin",30.258830877370976,2.687684956940385e-07,42,0.128319665145106
"graines",30.17363782051248,2.80464435339358e-07,12,0.1042575570743072
"séchés",30.17363782051248,2.80464435339358e-07,10,0.03538582724927266
