"date_collected","flight_number","departure_gate","arrival_gate","scheduled_departure_t","actual_departure_t","scheduled_arrival_t","actual_arrival_t","scheduled_departure","actual_departure","scheduled_arrival","actual_arrival"
"2011-12-02","UA-233-LAX-JFK","76","9","Fri, Dec 2 4:25 PM","Fri, Dec 2 4:25 PM","Sat, Dec 3 12:29 AM","Sat, Dec 3 12:29 AM","2011-12-03 00:25:00+00","2011-12-03 00:25:00+00","2011-12-03 05:29:00+00","2011-12-03 05:29:00+00"
"2011-12-16","UA-233-LAX-JFK","75B","6","Fri, Dec 16 4:25 PM","Fri, Dec 16 4:25 PM","Sat, Dec 17 12:44 AM","Sat, Dec 17 12:44 AM","2011-12-17 00:25:00+00","2011-12-17 00:25:00+00","2011-12-17 05:44:00+00","2011-12-17 05:44:00+00"
"2011-12-14","UA-233-LAX-JFK","70B","6","Wed, Dec 14 4:25 PM","Wed, Dec 14 4:25 PM","Thu, Dec 15 12:29 AM","Thu, Dec 15 12:29 AM","2011-12-15 00:25:00+00","2011-12-15 00:25:00+00","2011-12-15 05:29:00+00","2011-12-15 05:29:00+00"
"2011-12-09","UA-233-LAX-JFK","77","4","Fri, Dec 9 4:25 PM","Fri, Dec 9 4:25 PM","Sat, Dec 10 12:29 AM","Sat, Dec 10 12:29 AM","2011-12-10 00:25:00+00","2011-12-10 00:25:00+00","2011-12-10 05:29:00+00","2011-12-10 05:29:00+00"
"2011-12-13","UA-233-LAX-JFK","73","3","Tue, Dec 13 4:25 PM","Tue, Dec 13 4:25 PM","Wed, Dec 14 12:29 AM","Wed, Dec 14 12:29 AM","2011-12-14 00:25:00+00","2011-12-14 00:25:00+00","2011-12-14 05:29:00+00","2011-12-14 05:29:00+00"
"2011-12-01","AA-3823-LAX-DEN","44F","A49","12/01/2011 09:00 PM","","12/02/2011 12:15 AM","","2011-12-02 05:00:00+00","","2011-12-02 07:15:00+00",""
"2011-12-03","AA-3823-LAX-DEN","44J","A49","12/03/2011 09:00 PM","","12/04/2011 12:15 AM","","2011-12-04 05:00:00+00","","2011-12-04 07:15:00+00",""
"2011-12-07","AA-3823-LAX-DEN","44F","A49","12/07/2011 09:00 PM","","12/08/2011 12:15 AM","","2011-12-08 05:00:00+00","","2011-12-08 07:15:00+00",""
"2011-12-10","UA-2945-PHL-CLT","C21","B6","Sat, Dec 10 12:00 AM","Sat, Dec 10 5:11 AM","Sat, Dec 10 1:45 PM","Sat, Dec 10 1:36 PM","2011-12-10 17:00:00+00","2011-12-10 10:11:00+00","2011-12-10 18:45:00+00","2011-12-10 18:36:00+00"
"2011-12-30","UA-5487-SFO-MRY","76A","--","Fri, Dec 30 10:37 AM","","Fri, Dec 30 11:24 AM","","2011-12-30 18:37:00+00","","2011-12-30 19:24:00+00",""
